Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1998-08-29,Alaves,Betis,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1998-09-13,Oviedo,Alaves,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1998-09-20,Alaves,Zaragoza,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1998-09-27,Tenerife,Alaves,1,2,A,0.0,2.0,A,,,,,,,,,,,,,
1998-10-04,Alaves,Santander,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1998-10-18,Mallorca,Alaves,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
1998-10-25,Alaves,Extremadura,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1998-10-31,Ath Madrid,Alaves,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1998-11-08,Alaves,Real Madrid,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1998-11-15,La Coruna,Alaves,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
1998-11-21,Alaves,Celta,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1998-11-29,Villareal,Alaves,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1998-12-06,Alaves,Valencia,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1998-12-13,Valladolid,Alaves,3,0,H,0.0,0.0,D,,,,,,,,,,,,,
1998-12-20,Alaves,Salamanca,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-01-03,Barcelona,Alaves,7,1,H,2.0,0.0,H,,,,,,,,,,,,,
1999-01-10,Alaves,Espanol,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1999-01-17,Alaves,Ath Bilbao,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
1999-01-24,Sociedad,Alaves,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1999-01-30,Betis,Alaves,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-02-07,Alaves,Oviedo,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1999-02-14,Zaragoza,Alaves,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1999-02-21,Alaves,Tenerife,3,1,H,2.0,1.0,H,,,,,,,,,,,,,
1999-02-28,Santander,Alaves,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-03-07,Alaves,Mallorca,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-03-14,Extremadura,Alaves,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-03-21,Alaves,Ath Madrid,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-04-04,Real Madrid,Alaves,3,2,H,1.0,2.0,A,,,,,,,,,,,,,
1999-04-11,Alaves,La Coruna,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1999-04-18,Celta,Alaves,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1999-04-25,Alaves,Villareal,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
1999-05-01,Valencia,Alaves,5,0,H,2.0,0.0,H,,,,,,,,,,,,,
1999-05-09,Alaves,Valladolid,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-05-16,Salamanca,Alaves,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-05-22,Alaves,Barcelona,1,4,A,0.0,1.0,A,,,,,,,,,,,,,
1999-05-30,Espanol,Alaves,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1999-06-13,Ath Bilbao,Alaves,5,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-06-20,Alaves,Sociedad,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
1999-08-22,La Coruna,Alaves,4,1,H,3.0,1.0,H,,,,,,,,,,,,,
1999-08-29,Alaves,Malaga,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
1999-09-11,Valencia,Alaves,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
1999-09-18,Alaves,Barcelona,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1999-09-26,Oviedo,Alaves,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-10-03,Alaves,Sevilla,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1999-10-11,Ath Madrid,Alaves,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-10-17,Alaves,Vallecano,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1999-10-24,Sociedad,Alaves,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1999-10-31,Alaves,Celta,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-11-07,Zaragoza,Alaves,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1999-11-28,Espanol,Alaves,2,3,A,1.0,2.0,A,,,,,,,,,,,,,
1999-12-05,Alaves,Mallorca,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1999-12-08,Alaves,Santander,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1999-12-12,Alaves,Betis,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-12-18,Valladolid,Alaves,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1999-12-21,Alaves,Real Madrid,1,3,A,0.0,1.0,A,,,,,,,,,,,,,
2000-01-05,Numancia,Alaves,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-01-09,Alaves,Ath Bilbao,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
2000-01-16,Alaves,La Coruna,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2000-01-23,Malaga,Alaves,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2000-01-30,Alaves,Valencia,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2000-02-06,Barcelona,Alaves,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2000-02-13,Alaves,Oviedo,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-02-20,Sevilla,Alaves,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
2000-02-27,Alaves,Ath Madrid,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
2000-03-05,Vallecano,Alaves,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2000-03-12,Alaves,Sociedad,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
2000-03-19,Celta,Alaves,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2000-03-25,Alaves,Zaragoza,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
