Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Ath Bilbao,Albacete,4,1,H,,,,,,,,,,,,,,,,
1993-09-12,Albacete,Barcelona,0,0,D,,,,,,,,,,,,,,,,
1993-09-19,Zaragoza,Albacete,1,1,D,,,,,,,,,,,,,,,,
1993-09-26,Albacete,Osasuna,2,1,H,,,,,,,,,,,,,,,,
1993-10-03,Valladolid,Albacete,1,0,H,,,,,,,,,,,,,,,,
1993-10-06,Albacete,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1993-10-17,Oviedo,Albacete,1,1,D,,,,,,,,,,,,,,,,
1993-10-24,Albacete,Ath Madrid,2,2,D,,,,,,,,,,,,,,,,
1993-10-31,Santander,Albacete,1,1,D,,,,,,,,,,,,,,,,
1993-11-07,Albacete,Tenerife,2,3,A,,,,,,,,,,,,,,,,
1993-11-10,Lerida,Albacete,0,1,A,,,,,,,,,,,,,,,,
1993-11-21,Albacete,Vallecano,1,1,D,,,,,,,,,,,,,,,,
1993-11-28,Logrones,Albacete,2,2,D,,,,,,,,,,,,,,,,
1993-12-05,Albacete,Valencia,3,1,H,,,,,,,,,,,,,,,,
1993-12-12,Celta,Albacete,1,4,A,,,,,,,,,,,,,,,,
1993-12-19,Albacete,Sp Gijon,3,1,H,,,,,,,,,,,,,,,,
1994-01-02,Real Madrid,Albacete,2,0,H,,,,,,,,,,,,,,,,
1994-01-09,Albacete,Sevilla,2,2,D,,,,,,,,,,,,,,,,
1994-01-16,Sociedad,Albacete,1,1,D,,,,,,,,,,,,,,,,
1994-01-23,Albacete,Ath Bilbao,1,0,H,,,,,,,,,,,,,,,,
1994-01-30,Barcelona,Albacete,2,1,H,,,,,,,,,,,,,,,,
1994-02-06,Albacete,Zaragoza,2,1,H,,,,,,,,,,,,,,,,
1994-02-13,Osasuna,Albacete,3,1,H,,,,,,,,,,,,,,,,
1994-02-20,Albacete,Valladolid,1,1,D,,,,,,,,,,,,,,,,
1994-02-23,La Coruna,Albacete,5,1,H,,,,,,,,,,,,,,,,
1994-02-27,Albacete,Oviedo,5,0,H,,,,,,,,,,,,,,,,
1994-03-06,Ath Madrid,Albacete,0,0,D,,,,,,,,,,,,,,,,
1994-03-13,Albacete,Santander,3,0,H,,,,,,,,,,,,,,,,
1994-03-20,Tenerife,Albacete,2,1,H,,,,,,,,,,,,,,,,
1994-03-27,Albacete,Lerida,2,1,H,,,,,,,,,,,,,,,,
1994-04-03,Vallecano,Albacete,0,0,D,,,,,,,,,,,,,,,,
1994-04-06,Albacete,Logrones,2,2,D,,,,,,,,,,,,,,,,
1994-04-10,Valencia,Albacete,4,0,H,,,,,,,,,,,,,,,,
1994-04-17,Albacete,Celta,0,4,A,,,,,,,,,,,,,,,,
1994-04-24,Sp Gijon,Albacete,1,0,H,,,,,,,,,,,,,,,,
1994-05-01,Albacete,Real Madrid,1,4,A,,,,,,,,,,,,,,,,
1994-05-08,Sevilla,Albacete,2,0,H,,,,,,,,,,,,,,,,
1994-05-15,Albacete,Sociedad,1,1,D,,,,,,,,,,,,,,,,
1994-09-04,Albacete,Celta,1,1,D,,,,,,,,,,,,,,,,
1994-09-11,Betis,Albacete,4,1,H,,,,,,,,,,,,,,,,
1994-09-18,Albacete,Real Madrid,1,1,D,,,,,,,,,,,,,,,,
1994-09-25,Logrones,Albacete,1,1,D,,,,,,,,,,,,,,,,
1994-10-02,Sevilla,Albacete,0,2,A,,,,,,,,,,,,,,,,
1994-10-09,Albacete,Ath Bilbao,1,2,A,,,,,,,,,,,,,,,,
1994-10-16,Sp Gijon,Albacete,3,2,H,,,,,,,,,,,,,,,,
1994-10-23,Albacete,Santander,2,0,H,,,,,,,,,,,,,,,,
1994-10-30,Espanol,Albacete,5,1,H,,,,,,,,,,,,,,,,
1994-11-06,Albacete,Compostela,1,3,A,,,,,,,,,,,,,,,,
1994-11-20,Zaragoza,Albacete,1,0,H,,,,,,,,,,,,,,,,
1994-11-27,Albacete,Ath Madrid,2,2,D,,,,,,,,,,,,,,,,
1994-12-03,Valencia,Albacete,3,3,D,,,,,,,,,,,,,,,,
1994-12-11,Albacete,Tenerife,2,1,H,,,,,,,,,,,,,,,,
1994-12-21,Sociedad,Albacete,2,0,H,,,,,,,,,,,,,,,,
1995-01-08,Albacete,Oviedo,1,0,H,,,,,,,,,,,,,,,,
1995-01-15,Valladolid,Albacete,1,1,D,,,,,,,,,,,,,,,,
1995-01-22,Albacete,Barcelona,2,2,D,,,,,,,,,,,,,,,,
1995-01-29,La Coruna,Albacete,2,1,H,,,,,,,,,,,,,,,,
1995-02-05,Celta,Albacete,0,0,D,,,,,,,,,,,,,,,,
1995-02-12,Albacete,Betis,3,1,H,,,,,,,,,,,,,,,,
1995-02-19,Real Madrid,Albacete,0,0,D,,,,,,,,,,,,,,,,
1995-02-26,Albacete,Logrones,0,0,D,,,,,,,,,,,,,,,,
1995-03-05,Albacete,Sevilla,1,1,D,,,,,,,,,,,,,,,,
1995-03-12,Ath Bilbao,Albacete,1,2,A,,,,,,,,,,,,,,,,
1995-03-19,Albacete,Sp Gijon,1,2,A,,,,,,,,,,,,,,,,
1995-04-02,Santander,Albacete,2,1,H,,,,,,,,,,,,,,,,
1995-04-09,Albacete,Espanol,1,1,D,,,,,,,,,,,,,,,,
1995-04-16,Compostela,Albacete,0,0,D,,,,,,,,,,,,,,,,
1995-04-23,Albacete,Zaragoza,0,3,A,,,,,,,,,,,,,,,,
1995-04-30,Ath Madrid,Albacete,4,0,H,,,,,,,,,,,,,,,,
1995-05-07,Albacete,Valencia,1,0,H,,,,,,,,,,,,,,,,
1995-05-14,Tenerife,Albacete,2,2,D,,,,,,,,,,,,,,,,
1995-05-21,Albacete,Sociedad,0,1,A,,,,,,,,,,,,,,,,
1995-05-27,Oviedo,Albacete,1,3,A,,,,,,,,,,,,,,,,
1995-06-04,Albacete,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1995-06-10,Barcelona,Albacete,0,1,A,,,,,,,,,,,,,,,,
1995-06-18,Albacete,La Coruna,2,8,A,,,,,,,,,,,,,,,,
1995-09-02,Sp Gijon,Albacete,3,0,H,3.0,0.0,H,,,,,,,,,,,,,
1995-09-09,Albacete,Sevilla,3,2,H,2.0,1.0,H,,,,,,,,,,,,,
1995-09-17,Espanol,Albacete,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1995-09-24,Albacete,Celta,4,0,H,0.0,0.0,D,,,,,,,,,,,,,
1995-10-01,La Coruna,Albacete,5,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-10-04,Albacete,Valladolid,4,2,H,2.0,1.0,H,,,,,,,,,,,,,
1995-10-08,Merida,Albacete,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-15,Albacete,Zaragoza,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1995-10-22,Vallecano,Albacete,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
1995-10-28,Albacete,Real Madrid,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1995-11-05,Oviedo,Albacete,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1995-11-12,Albacete,Betis,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-11-18,Barcelona,Albacete,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-11-26,Albacete,Valencia,1,3,A,0.0,1.0,A,,,,,,,,,,,,,
1995-12-03,Compostela,Albacete,3,1,H,2.0,0.0,H,,,,,,,,,,,,,
1995-12-10,Albacete,Salamanca,3,3,D,1.0,1.0,D,,,,,,,,,,,,,
1995-12-17,Tenerife,Albacete,1,3,A,1.0,1.0,D,,,,,,,,,,,,,
1995-12-20,Albacete,Ath Bilbao,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-01-03,Albacete,Sociedad,3,5,A,2.0,3.0,A,,,,,,,,,,,,,
1996-01-07,Santander,Albacete,5,5,D,2.0,2.0,D,,,,,,,,,,,,,
1996-01-13,Albacete,Ath Madrid,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1996-01-21,Albacete,Sp Gijon,1,3,A,1.0,2.0,A,,,,,,,,,,,,,
1996-01-24,Sevilla,Albacete,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1996-01-28,Albacete,Espanol,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-02-04,Celta,Albacete,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1996-02-11,Albacete,La Coruna,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-02-18,Valladolid,Albacete,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-02-25,Albacete,Merida,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-03-03,Zaragoza,Albacete,3,1,H,1.0,1.0,D,,,,,,,,,,,,,
1996-03-10,Albacete,Vallecano,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
1996-03-16,Real Madrid,Albacete,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-03-24,Albacete,Oviedo,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1996-03-27,Betis,Albacete,2,3,A,2.0,1.0,H,,,,,,,,,,,,,
1996-03-31,Albacete,Barcelona,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1996-04-07,Valencia,Albacete,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-04-14,Albacete,Compostela,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1996-04-21,Salamanca,Albacete,2,4,A,1.0,2.0,A,,,,,,,,,,,,,
1996-04-28,Albacete,Tenerife,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-05-05,Ath Bilbao,Albacete,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1996-05-12,Sociedad,Albacete,8,1,H,3.0,1.0,H,,,,,,,,,,,,,
1996-05-19,Albacete,Santander,2,2,D,0.0,2.0,A,,,,,,,,,,,,,
1996-05-25,Ath Madrid,Albacete,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
2003-08-30,Albacete,Osasuna,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
2003-09-03,Ath Madrid,Albacete,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2003-09-14,Albacete,Barcelona,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
