Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2007-08-26,La Coruna,Almeria,0,3,A,0.0,2.0,A,,7.0,13.0,0.0,7.0,9.0,20.0,6.0,5.0,0.0,2.0,0.0,0.0
2007-09-02,Almeria,Valencia,1,2,A,0.0,0.0,D,,11.0,4.0,4.0,3.0,23.0,22.0,5.0,2.0,3.0,2.0,0.0,0.0
2007-09-15,Real Madrid,Almeria,3,1,H,1.0,0.0,H,,11.0,21.0,6.0,8.0,18.0,16.0,4.0,9.0,3.0,1.0,0.0,1.0
2007-09-23,Almeria,Mallorca,1,1,D,1.0,0.0,H,,14.0,20.0,4.0,7.0,25.0,10.0,9.0,6.0,1.0,1.0,0.0,0.0
2007-09-26,Murcia,Almeria,0,1,A,0.0,1.0,A,,7.0,11.0,3.0,6.0,22.0,18.0,5.0,9.0,3.0,2.0,2.0,0.0
2007-09-30,Almeria,Santander,0,1,A,0.0,1.0,A,,11.0,7.0,3.0,3.0,12.0,24.0,4.0,4.0,3.0,1.0,0.0,0.0
2007-10-07,Ath Bilbao,Almeria,1,1,D,1.0,0.0,H,,5.0,16.0,1.0,6.0,20.0,25.0,5.0,5.0,4.0,3.0,1.0,0.0
2007-10-21,Almeria,Osasuna,2,0,H,0.0,0.0,D,,13.0,10.0,5.0,3.0,17.0,11.0,6.0,5.0,2.0,2.0,0.0,1.0
2007-10-28,Barcelona,Almeria,2,0,H,1.0,0.0,H,,14.0,7.0,6.0,3.0,16.0,12.0,11.0,0.0,2.0,3.0,0.0,0.0
2007-10-31,Almeria,Zaragoza,0,1,A,0.0,0.0,D,,19.0,14.0,6.0,4.0,10.0,12.0,10.0,5.0,1.0,4.0,0.0,0.0
2007-11-04,Levante,Almeria,3,0,H,3.0,0.0,H,,11.0,21.0,5.0,6.0,14.0,17.0,6.0,11.0,2.0,1.0,0.0,0.0
2007-11-11,Almeria,Ath Madrid,0,0,D,0.0,0.0,D,,12.0,13.0,7.0,1.0,25.0,13.0,8.0,6.0,4.0,3.0,0.0,0.0
2007-11-25,Villarreal,Almeria,1,1,D,1.0,0.0,H,,9.0,7.0,3.0,2.0,25.0,25.0,7.0,3.0,5.0,4.0,0.0,0.0
2007-12-01,Almeria,Sevilla,1,0,H,0.0,0.0,D,,10.0,16.0,3.0,4.0,26.0,18.0,10.0,12.0,6.0,2.0,0.0,1.0
2007-12-09,Almeria,Valladolid,1,0,H,0.0,0.0,D,,13.0,15.0,3.0,4.0,23.0,19.0,3.0,7.0,3.0,2.0,0.0,1.0
2007-12-16,Betis,Almeria,3,1,H,1.0,1.0,D,,14.0,5.0,4.0,4.0,17.0,10.0,3.0,1.0,3.0,0.0,0.0,2.0
2007-12-22,Almeria,Getafe,0,2,A,0.0,1.0,A,,6.0,7.0,2.0,3.0,29.0,15.0,2.0,2.0,4.0,3.0,1.0,0.0
