Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Ath Bilbao,Albacete,4,1,H,,,,,,,,,,,,,,,,
1993-09-12,Lerida,Ath Bilbao,1,2,A,,,,,,,,,,,,,,,,
1993-09-19,Ath Bilbao,Barcelona,0,0,D,,,,,,,,,,,,,,,,
1993-09-26,Vallecano,Ath Bilbao,1,2,A,,,,,,,,,,,,,,,,
1993-10-03,Ath Bilbao,Zaragoza,2,1,H,,,,,,,,,,,,,,,,
1993-10-06,Logrones,Ath Bilbao,4,2,H,,,,,,,,,,,,,,,,
1993-10-17,Ath Bilbao,Osasuna,1,2,A,,,,,,,,,,,,,,,,
1993-10-24,Valencia,Ath Bilbao,1,0,H,,,,,,,,,,,,,,,,
1993-10-31,Ath Bilbao,Valladolid,3,0,H,,,,,,,,,,,,,,,,
1993-11-07,Celta,Ath Bilbao,1,1,D,,,,,,,,,,,,,,,,
1993-11-10,Ath Bilbao,La Coruna,3,1,H,,,,,,,,,,,,,,,,
1993-11-21,Sp Gijon,Ath Bilbao,0,1,A,,,,,,,,,,,,,,,,
1993-11-28,Ath Bilbao,Oviedo,1,1,D,,,,,,,,,,,,,,,,
1993-12-05,Real Madrid,Ath Bilbao,2,1,H,,,,,,,,,,,,,,,,
1993-12-12,Ath Bilbao,Ath Madrid,3,2,H,,,,,,,,,,,,,,,,
1993-12-19,Sevilla,Ath Bilbao,1,3,A,,,,,,,,,,,,,,,,
1994-01-02,Ath Bilbao,Santander,1,2,A,,,,,,,,,,,,,,,,
1994-01-09,Ath Bilbao,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1994-01-16,Tenerife,Ath Bilbao,2,1,H,,,,,,,,,,,,,,,,
1994-01-23,Albacete,Ath Bilbao,1,0,H,,,,,,,,,,,,,,,,
1994-01-30,Ath Bilbao,Lerida,4,0,H,,,,,,,,,,,,,,,,
1994-02-06,Barcelona,Ath Bilbao,2,3,A,,,,,,,,,,,,,,,,
1994-02-13,Ath Bilbao,Vallecano,0,0,D,,,,,,,,,,,,,,,,
1994-02-20,Zaragoza,Ath Bilbao,1,0,H,,,,,,,,,,,,,,,,
1994-02-23,Ath Bilbao,Logrones,0,0,D,,,,,,,,,,,,,,,,
1994-02-27,Osasuna,Ath Bilbao,0,0,D,,,,,,,,,,,,,,,,
1994-03-06,Ath Bilbao,Valencia,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Valladolid,Ath Bilbao,1,1,D,,,,,,,,,,,,,,,,
1994-03-20,Ath Bilbao,Celta,2,1,H,,,,,,,,,,,,,,,,
1994-03-27,La Coruna,Ath Bilbao,4,1,H,,,,,,,,,,,,,,,,
1994-04-03,Ath Bilbao,Sp Gijon,7,0,H,,,,,,,,,,,,,,,,
1994-04-06,Oviedo,Ath Bilbao,3,0,H,,,,,,,,,,,,,,,,
1994-04-10,Ath Bilbao,Real Madrid,2,1,H,,,,,,,,,,,,,,,,
1994-04-17,Ath Madrid,Ath Bilbao,4,2,H,,,,,,,,,,,,,,,,
1994-04-24,Ath Bilbao,Sevilla,1,1,D,,,,,,,,,,,,,,,,
1994-05-01,Santander,Ath Bilbao,2,2,D,,,,,,,,,,,,,,,,
1994-05-08,Sociedad,Ath Bilbao,0,0,D,,,,,,,,,,,,,,,,
1994-05-15,Ath Bilbao,Tenerife,3,2,H,,,,,,,,,,,,,,,,
1994-09-04,Ath Bilbao,La Coruna,0,2,A,,,,,,,,,,,,,,,,
1994-09-10,Celta,Ath Bilbao,1,1,D,,,,,,,,,,,,,,,,
1994-09-18,Ath Bilbao,Betis,1,0,H,,,,,,,,,,,,,,,,
