Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Ath Madrid,Logrones,1,0,H,,,,,,,,,,,,,,,,
1993-09-12,Valencia,Ath Madrid,2,2,D,,,,,,,,,,,,,,,,
1993-09-19,Ath Madrid,Celta,3,2,H,,,,,,,,,,,,,,,,
1993-09-26,Sp Gijon,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,
1993-10-03,Ath Madrid,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1993-10-06,Sevilla,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,
1993-10-17,Ath Madrid,Sociedad,1,2,A,,,,,,,,,,,,,,,,
1993-10-24,Albacete,Ath Madrid,2,2,D,,,,,,,,,,,,,,,,
1993-10-31,Ath Madrid,Barcelona,4,3,H,,,,,,,,,,,,,,,,
1993-11-07,Zaragoza,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,
1993-11-10,Ath Madrid,Osasuna,3,0,H,,,,,,,,,,,,,,,,
1993-11-21,Valladolid,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,
1993-11-28,Ath Madrid,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1993-12-05,Oviedo,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,
1993-12-12,Ath Bilbao,Ath Madrid,3,2,H,,,,,,,,,,,,,,,,
1993-12-19,Ath Madrid,Santander,4,0,H,,,,,,,,,,,,,,,,
1994-01-02,Tenerife,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,
1994-01-09,Ath Madrid,Lerida,0,0,D,,,,,,,,,,,,,,,,
1994-01-16,Vallecano,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,
