Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1994-09-04,Logrones,Betis,0,0,D,,,,,,,,,,,,,,,,
1994-09-11,Betis,Albacete,4,1,H,,,,,,,,,,,,,,,,
1994-09-18,Ath Bilbao,Betis,1,0,H,,,,,,,,,,,,,,,,
1994-09-25,Betis,Sp Gijon,5,0,H,,,,,,,,,,,,,,,,
1994-10-02,Santander,Betis,0,0,D,,,,,,,,,,,,,,,,
1994-10-09,Betis,Espanol,3,1,H,,,,,,,,,,,,,,,,
1994-10-16,Compostela,Betis,1,1,D,,,,,,,,,,,,,,,,
1994-10-23,Betis,Zaragoza,0,1,A,,,,,,,,,,,,,,,,
1994-10-30,Ath Madrid,Betis,0,2,A,,,,,,,,,,,,,,,,
1994-11-06,Betis,Valencia,1,1,D,,,,,,,,,,,,,,,,
1994-11-20,Tenerife,Betis,1,4,A,,,,,,,,,,,,,,,,
1994-11-27,Betis,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1994-12-04,Oviedo,Betis,0,0,D,,,,,,,,,,,,,,,,
1994-12-11,Betis,Valladolid,1,2,A,,,,,,,,,,,,,,,,
1994-12-21,Barcelona,Betis,1,1,D,,,,,,,,,,,,,,,,
1995-01-08,Betis,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1995-01-15,Celta,Betis,0,2,A,,,,,,,,,,,,,,,,
1995-01-22,Sevilla,Betis,0,1,A,,,,,,,,,,,,,,,,
1995-01-29,Betis,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1995-02-05,Betis,Logrones,1,0,H,,,,,,,,,,,,,,,,
1995-02-12,Albacete,Betis,3,1,H,,,,,,,,,,,,,,,,
1995-02-19,Betis,Ath Bilbao,0,0,D,,,,,,,,,,,,,,,,
1995-02-25,Sp Gijon,Betis,1,1,D,,,,,,,,,,,,,,,,
1995-03-05,Betis,Santander,2,0,H,,,,,,,,,,,,,,,,
1995-03-12,Espanol,Betis,0,0,D,,,,,,,,,,,,,,,,
1995-03-19,Betis,Compostela,1,0,H,,,,,,,,,,,,,,,,
1995-04-01,Zaragoza,Betis,3,0,H,,,,,,,,,,,,,,,,
1995-04-08,Betis,Ath Madrid,2,0,H,,,,,,,,,,,,,,,,
1995-04-16,Valencia,Betis,2,1,H,,,,,,,,,,,,,,,,
1995-04-23,Betis,Tenerife,3,0,H,,,,,,,,,,,,,,,,
1995-04-30,Sociedad,Betis,1,1,D,,,,,,,,,,,,,,,,
1995-05-07,Betis,Oviedo,0,0,D,,,,,,,,,,,,,,,,
1995-05-14,Valladolid,Betis,0,2,A,,,,,,,,,,,,,,,,
1995-05-21,Betis,Barcelona,1,1,D,,,,,,,,,,,,,,,,
1995-05-27,La Coruna,Betis,2,0,H,,,,,,,,,,,,,,,,
1995-06-04,Betis,Celta,1,1,D,,,,,,,,,,,,,,,,
1995-06-11,Betis,Sevilla,2,1,H,,,,,,,,,,,,,,,,
1995-06-18,Real Madrid,Betis,0,2,A,,,,,,,,,,,,,,,,
1995-09-03,Merida,Betis,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1995-09-09,Betis,Zaragoza,3,1,H,2.0,0.0,H,,,,,,,,,,,,,
1995-09-17,Vallecano,Betis,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
1995-09-23,Betis,Real Madrid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-01,Oviedo,Betis,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1995-10-04,Betis,Ath Bilbao,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-07,Betis,Barcelona,1,5,A,0.0,2.0,A,,,,,,,,,,,,,
1995-10-14,Valencia,Betis,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1995-10-22,Betis,Compostela,5,0,H,2.0,0.0,H,,,,,,,,,,,,,
1995-10-29,Salamanca,Betis,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1995-11-05,Betis,Tenerife,3,3,D,2.0,1.0,H,,,,,,,,,,,,,
1995-11-12,Albacete,Betis,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-11-18,Betis,Sociedad,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
1995-11-26,Santander,Betis,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-12-03,Betis,Ath Madrid,2,1,H,2.0,1.0,H,,,,,,,,,,,,,
1995-12-10,Sp Gijon,Betis,2,3,A,1.0,0.0,H,,,,,,,,,,,,,
1995-12-16,Betis,Sevilla,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1995-12-20,Espanol,Betis,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1996-01-03,Betis,Celta,0,3,A,0.0,0.0,D,,,,,,,,,,,,,
1996-01-07,La Coruna,Betis,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
