Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2005-08-28,Cadiz,Real Madrid,1,2,A,0.0,1.0,A,,15.0,17.0,5.0,6.0,19.0,25.0,8.0,8.0,2.0,2.0,0.0,0.0
2005-09-11,Santander,Cadiz,0,1,A,0.0,0.0,D,,8.0,8.0,2.0,5.0,17.0,12.0,4.0,9.0,1.0,1.0,0.0,0.0
2005-09-18,Cadiz,Villarreal,1,1,D,1.0,1.0,D,,9.0,9.0,6.0,3.0,19.0,25.0,5.0,2.0,1.0,4.0,0.0,0.0
2005-09-21,Sevilla,Cadiz,0,0,D,0.0,0.0,D,,25.0,3.0,4.0,1.0,20.0,17.0,14.0,6.0,3.0,6.0,0.0,0.0
2005-09-25,Osasuna,Cadiz,2,0,H,1.0,0.0,H,,19.0,3.0,7.0,0.0,27.0,13.0,5.0,5.0,4.0,2.0,0.0,0.0
2005-10-02,Cadiz,Celta,1,1,D,1.0,1.0,D,,11.0,8.0,6.0,5.0,26.0,18.0,3.0,3.0,2.0,4.0,0.0,0.0
2005-10-16,Espanol,Cadiz,0,2,A,0.0,0.0,D,,7.0,8.0,1.0,4.0,18.0,18.0,4.0,4.0,1.0,3.0,1.0,0.0
2005-10-23,Cadiz,Ath Bilbao,1,0,H,1.0,0.0,H,,11.0,12.0,2.0,0.0,20.0,10.0,3.0,1.0,3.0,0.0,0.0,0.0
2005-10-27,Ath Madrid,Cadiz,3,0,H,1.0,0.0,H,,20.0,7.0,10.0,2.0,21.0,13.0,9.0,5.0,3.0,2.0,0.0,0.0
2005-10-30,Alaves,Cadiz,0,0,D,0.0,0.0,D,,10.0,7.0,6.0,3.0,25.0,19.0,4.0,0.0,1.0,2.0,0.0,0.0
2005-11-06,Cadiz,Mallorca,1,2,A,1.0,1.0,D,,9.0,9.0,4.0,4.0,15.0,21.0,7.0,3.0,3.0,3.0,0.0,1.0
2005-11-20,Cadiz,Valencia,0,1,A,0.0,0.0,D,,11.0,6.0,4.0,2.0,17.0,26.0,10.0,11.0,4.0,6.0,1.0,1.0
2005-11-27,Betis,Cadiz,1,1,D,1.0,0.0,H,,12.0,14.0,5.0,5.0,18.0,8.0,4.0,5.0,4.0,2.0,1.0,0.0
2005-12-04,Cadiz,Zaragoza,1,2,A,1.0,0.0,H,,4.0,6.0,1.0,2.0,15.0,20.0,3.0,4.0,2.0,4.0,0.0,0.0
2005-12-11,La Coruna,Cadiz,1,0,H,0.0,0.0,D,,20.0,8.0,6.0,4.0,23.0,18.0,5.0,5.0,1.0,2.0,0.0,0.0
2005-12-17,Cadiz,Barcelona,1,3,A,0.0,2.0,A,,12.0,19.0,1.0,9.0,13.0,17.0,4.0,8.0,2.0,1.0,0.0,0.0
2005-12-21,Sociedad,Cadiz,2,0,H,1.0,0.0,H,,20.0,8.0,6.0,5.0,19.0,24.0,9.0,4.0,1.0,3.0,0.0,1.0
2006-01-08,Cadiz,Getafe,1,0,H,1.0,0.0,H,,13.0,8.0,6.0,1.0,22.0,21.0,2.0,2.0,4.0,5.0,1.0,1.0
2006-01-15,Malaga,Cadiz,0,2,A,0.0,2.0,A,,5.0,6.0,1.0,2.0,14.0,13.0,2.0,2.0,5.0,1.0,1.0,0.0
2006-01-21,Real Madrid,Cadiz,3,1,H,0.0,0.0,D,,10.0,15.0,5.0,4.0,26.0,18.0,8.0,9.0,4.0,1.0,0.0,0.0
2006-01-28,Cadiz,Santander,1,1,D,0.0,0.0,D,,6.0,6.0,1.0,2.0,19.0,17.0,3.0,6.0,4.0,4.0,0.0,0.0
2006-02-05,Villarreal,Cadiz,1,1,D,0.0,1.0,A,,14.0,12.0,7.0,4.0,21.0,20.0,6.0,3.0,4.0,1.0,1.0,0.0
2006-02-11,Cadiz,Sevilla,0,4,A,0.0,1.0,A,,12.0,12.0,1.0,5.0,17.0,25.0,4.0,8.0,1.0,2.0,0.0,0.0
2006-02-19,Cadiz,Osasuna,1,3,A,1.0,2.0,A,,10.0,7.0,3.0,5.0,10.0,25.0,9.0,1.0,3.0,4.0,1.0,0.0
2006-02-26,Celta,Cadiz,2,0,H,1.0,0.0,H,,15.0,7.0,8.0,3.0,21.0,28.0,5.0,3.0,3.0,2.0,0.0,0.0
2006-03-04,Cadiz,Espanol,2,0,H,0.0,0.0,D,,9.0,17.0,3.0,6.0,24.0,24.0,6.0,5.0,3.0,1.0,0.0,0.0
2006-03-12,Ath Bilbao,Cadiz,1,0,H,0.0,0.0,D,,8.0,6.0,1.0,1.0,19.0,18.0,4.0,8.0,2.0,1.0,1.0,1.0
2006-03-19,Cadiz,Alaves,0,0,D,0.0,0.0,D,,15.0,10.0,5.0,5.0,17.0,20.0,9.0,4.0,2.0,6.0,0.0,0.0
2006-03-22,Mallorca,Cadiz,1,0,H,1.0,0.0,H,,16.0,6.0,9.0,1.0,16.0,28.0,7.0,5.0,4.0,5.0,0.0,0.0
2006-03-26,Cadiz,Ath Madrid,1,1,D,0.0,1.0,A,,14.0,13.0,4.0,5.0,16.0,26.0,6.0,6.0,1.0,4.0,0.0,0.0
2006-04-02,Valencia,Cadiz,5,3,H,3.0,1.0,H,,13.0,9.0,6.0,5.0,16.0,27.0,5.0,5.0,1.0,3.0,0.0,0.0
2006-04-08,Cadiz,Betis,1,1,D,0.0,0.0,D,,13.0,21.0,2.0,4.0,19.0,24.0,5.0,7.0,4.0,2.0,0.0,0.0
2006-04-16,Zaragoza,Cadiz,1,2,A,1.0,1.0,D,,16.0,8.0,8.0,4.0,16.0,29.0,4.0,2.0,2.0,3.0,0.0,0.0
2006-04-23,Cadiz,La Coruna,1,1,D,0.0,1.0,A,,10.0,11.0,3.0,4.0,20.0,23.0,8.0,6.0,4.0,5.0,0.0,2.0
2006-04-29,Barcelona,Cadiz,1,0,H,1.0,0.0,H,,14.0,7.0,4.0,4.0,15.0,19.0,2.0,4.0,1.0,3.0,0.0,0.0
2006-05-03,Cadiz,Sociedad,2,2,D,0.0,1.0,A,,18.0,10.0,5.0,4.0,12.0,25.0,5.0,2.0,1.0,1.0,0.0,0.0
2006-05-07,Getafe,Cadiz,3,1,H,0.0,1.0,A,,6.0,7.0,3.0,3.0,21.0,15.0,2.0,3.0,3.0,0.0,0.0,0.0
2006-05-13,Cadiz,Malaga,5,0,H,1.0,0.0,H,,12.0,13.0,7.0,3.0,15.0,18.0,9.0,3.0,0.0,1.0,0.0,0.0
2020-09-12,Cadiz,Osasuna,0,2,A,0.0,1.0,A,,12.0,6.0,3.0,4.0,14.0,21.0,6.0,2.0,2.0,2.0,0.0,0.0
2020-09-20,Huesca,Cadiz,0,2,A,0.0,1.0,A,,4.0,6.0,0.0,4.0,18.0,23.0,2.0,1.0,3.0,3.0,0.0,0.0
2020-09-27,Cadiz,Sevilla,1,3,A,0.0,0.0,D,,12.0,14.0,5.0,5.0,9.0,14.0,6.0,5.0,4.0,2.0,0.0,0.0
2020-10-01,Ath Bilbao,Cadiz,0,1,A,0.0,0.0,D,,13.0,3.0,4.0,1.0,15.0,16.0,5.0,2.0,3.0,5.0,0.0,2.0
2020-10-04,Cadiz,Granada,1,1,D,0.0,1.0,A,,14.0,13.0,4.0,5.0,16.0,16.0,2.0,5.0,2.0,2.0,0.0,0.0
2020-10-17,Real Madrid,Cadiz,0,1,A,0.0,1.0,A,,14.0,14.0,2.0,5.0,7.0,5.0,4.0,11.0,2.0,0.0,0.0,0.0
2020-10-25,Cadiz,Villarreal,0,0,D,0.0,0.0,D,,5.0,7.0,0.0,2.0,15.0,7.0,0.0,5.0,2.0,2.0,0.0,0.0
2020-10-30,Eibar,Cadiz,0,2,A,0.0,2.0,A,,9.0,6.0,3.0,4.0,10.0,10.0,7.0,2.0,1.0,1.0,0.0,0.0
2020-11-07,Ath Madrid,Cadiz,4,0,H,2.0,0.0,H,,17.0,10.0,7.0,3.0,10.0,9.0,2.0,7.0,1.0,1.0,0.0,0.0
2020-11-22,Cadiz,Sociedad,0,1,A,0.0,0.0,D,,2.0,14.0,0.0,4.0,14.0,14.0,1.0,6.0,2.0,1.0,0.0,0.0
2020-11-28,Elche,Cadiz,1,1,D,1.0,0.0,H,,4.0,7.0,3.0,2.0,16.0,15.0,1.0,9.0,6.0,2.0,1.0,0.0
2020-12-05,Cadiz,Barcelona,2,1,H,1.0,0.0,H,,7.0,21.0,3.0,8.0,10.0,7.0,5.0,13.0,0.0,2.0,0.0,0.0
2020-12-14,Celta,Cadiz,4,0,H,4.0,0.0,H,,8.0,12.0,5.0,2.0,24.0,9.0,1.0,5.0,2.0,1.0,0.0,0.0
2020-12-20,Cadiz,Getafe,0,2,A,0.0,1.0,A,,8.0,6.0,1.0,4.0,6.0,22.0,2.0,4.0,1.0,6.0,0.0,0.0
2020-12-23,Betis,Cadiz,1,0,H,0.0,0.0,D,,6.0,6.0,1.0,3.0,18.0,9.0,5.0,5.0,1.0,1.0,0.0,0.0
2020-12-29,Cadiz,Valladolid,0,0,D,0.0,0.0,D,,8.0,7.0,3.0,1.0,14.0,13.0,1.0,6.0,3.0,2.0,0.0,0.0
2021-01-04,Valencia,Cadiz,1,1,D,0.0,0.0,D,,11.0,9.0,4.0,2.0,11.0,17.0,9.0,7.0,2.0,2.0,0.0,0.0
2021-01-10,Cadiz,Alaves,3,1,H,1.0,1.0,D,,10.0,5.0,7.0,2.0,17.0,10.0,4.0,1.0,1.0,4.0,0.0,1.0
2021-01-19,Cadiz,Levante,2,2,D,2.0,2.0,D,,8.0,8.0,2.0,5.0,13.0,11.0,5.0,2.0,3.0,1.0,0.0,0.0
2021-01-23,Sevilla,Cadiz,3,0,H,2.0,0.0,H,,15.0,9.0,7.0,3.0,12.0,6.0,7.0,6.0,1.0,3.0,0.0,0.0
2021-01-31,Cadiz,Ath Madrid,2,4,A,1.0,2.0,A,,11.0,9.0,6.0,4.0,7.0,7.0,2.0,2.0,1.0,5.0,0.0,0.0
2021-02-07,Sociedad,Cadiz,4,1,H,2.0,0.0,H,,17.0,2.0,6.0,1.0,7.0,7.0,5.0,1.0,0.0,2.0,0.0,1.0
2021-02-15,Cadiz,Ath Bilbao,0,4,A,0.0,3.0,A,,11.0,13.0,2.0,8.0,15.0,13.0,5.0,8.0,3.0,2.0,0.0,0.0
2021-02-21,Barcelona,Cadiz,1,1,D,1.0,0.0,H,,20.0,3.0,4.0,1.0,13.0,12.0,8.0,0.0,0.0,2.0,0.0,0.0
2021-02-28,Cadiz,Betis,0,1,A,0.0,0.0,D,,5.0,9.0,3.0,4.0,9.0,13.0,3.0,7.0,1.0,2.0,0.0,0.0
2021-03-06,Cadiz,Eibar,1,0,H,1.0,0.0,H,,6.0,16.0,2.0,1.0,7.0,11.0,0.0,12.0,2.0,2.0,0.0,0.0
2021-03-13,Alaves,Cadiz,1,1,D,1.0,0.0,H,,9.0,9.0,3.0,1.0,22.0,6.0,2.0,5.0,3.0,3.0,1.0,0.0
2021-03-21,Villarreal,Cadiz,2,1,H,1.0,0.0,H,,13.0,9.0,4.0,3.0,14.0,6.0,5.0,6.0,3.0,3.0,0.0,0.0
2021-04-04,Cadiz,Valencia,2,1,H,1.0,1.0,D,,6.0,12.0,2.0,6.0,10.0,7.0,4.0,13.0,2.0,2.0,0.0,0.0
2021-04-10,Getafe,Cadiz,0,1,A,0.0,0.0,D,,19.0,8.0,4.0,3.0,10.0,13.0,10.0,4.0,3.0,2.0,0.0,0.0
2021-04-18,Cadiz,Celta,0,0,D,0.0,0.0,D,,5.0,11.0,2.0,4.0,6.0,13.0,4.0,7.0,0.0,1.0,0.0,0.0
2021-04-21,Cadiz,Real Madrid,0,3,A,0.0,3.0,A,,14.0,14.0,3.0,4.0,13.0,21.0,7.0,3.0,4.0,3.0,0.0,0.0
2021-04-24,Valladolid,Cadiz,1,1,D,1.0,0.0,H,,13.0,6.0,6.0,2.0,11.0,20.0,5.0,7.0,1.0,3.0,0.0,0.0
2021-05-02,Granada,Cadiz,0,1,A,0.0,1.0,A,,9.0,8.0,2.0,4.0,12.0,10.0,6.0,5.0,7.0,2.0,1.0,0.0
2021-05-08,Cadiz,Huesca,2,1,H,2.0,1.0,H,,11.0,13.0,1.0,5.0,14.0,13.0,3.0,3.0,4.0,0.0,0.0,0.0
2021-05-11,Osasuna,Cadiz,3,2,H,1.0,0.0,H,,14.0,10.0,4.0,4.0,15.0,12.0,3.0,5.0,2.0,2.0,0.0,0.0
2021-05-16,Cadiz,Elche,1,3,A,1.0,0.0,H,,7.0,20.0,3.0,5.0,13.0,15.0,1.0,8.0,3.0,4.0,0.0,0.0
2021-05-21,Levante,Cadiz,2,2,D,1.0,2.0,A,,17.0,6.0,4.0,2.0,17.0,8.0,7.0,0.0,0.0,2.0,0.0,0.0
2021-08-14,Cadiz,Levante,1,1,D,0.0,1.0,A,,7.0,12.0,2.0,3.0,10.0,16.0,2.0,4.0,1.0,5.0,0.0,0.0
2021-08-20,Betis,Cadiz,1,1,D,1.0,1.0,D,,16.0,8.0,7.0,3.0,12.0,10.0,4.0,5.0,4.0,0.0,0.0,0.0
2021-08-29,Cadiz,Osasuna,2,3,A,1.0,0.0,H,,7.0,14.0,3.0,4.0,9.0,6.0,4.0,11.0,4.0,0.0,0.0,0.0
2021-09-12,Cadiz,Sociedad,0,2,A,0.0,0.0,D,,6.0,16.0,1.0,4.0,10.0,9.0,2.0,8.0,4.0,0.0,1.0,0.0
2021-09-17,Celta,Cadiz,1,2,A,0.0,2.0,A,,14.0,7.0,4.0,3.0,8.0,8.0,7.0,1.0,3.0,3.0,0.0,0.0
2021-09-23,Cadiz,Barcelona,0,0,D,0.0,0.0,D,,13.0,6.0,3.0,2.0,16.0,8.0,4.0,5.0,3.0,4.0,0.0,1.0
2021-09-26,Vallecano,Cadiz,3,1,H,2.0,1.0,H,,13.0,6.0,6.0,1.0,11.0,11.0,4.0,3.0,2.0,4.0,0.0,0.0
2021-10-02,Cadiz,Valencia,0,0,D,0.0,0.0,D,,2.0,16.0,1.0,4.0,16.0,11.0,1.0,3.0,3.0,4.0,0.0,0.0
2021-10-18,Espanol,Cadiz,2,0,H,1.0,0.0,H,,14.0,13.0,6.0,2.0,8.0,10.0,7.0,9.0,1.0,0.0,0.0,0.0
2021-10-23,Cadiz,Alaves,0,2,A,0.0,1.0,A,,23.0,8.0,4.0,4.0,11.0,14.0,14.0,3.0,0.0,2.0,0.0,0.0
