Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,La Coruna,Celta,0,0,D,,,,,,,,,,,,,,,,
1993-09-12,Celta,Oviedo,1,1,D,,,,,,,,,,,,,,,,
1993-09-19,Ath Madrid,Celta,3,2,H,,,,,,,,,,,,,,,,
1993-09-26,Celta,Santander,0,0,D,,,,,,,,,,,,,,,,
1993-10-03,Tenerife,Celta,0,0,D,,,,,,,,,,,,,,,,
1993-10-06,Celta,Lerida,1,0,H,,,,,,,,,,,,,,,,
1993-10-17,Vallecano,Celta,1,1,D,,,,,,,,,,,,,,,,
1993-10-24,Celta,Logrones,2,0,H,,,,,,,,,,,,,,,,
1993-10-31,Valencia,Celta,3,0,H,,,,,,,,,,,,,,,,
1993-11-07,Celta,Ath Bilbao,1,1,D,,,,,,,,,,,,,,,,
1993-11-10,Celta,Sp Gijon,0,2,A,,,,,,,,,,,,,,,,
1993-11-21,Real Madrid,Celta,2,1,H,,,,,,,,,,,,,,,,
1993-11-28,Celta,Sevilla,2,1,H,,,,,,,,,,,,,,,,
1993-12-05,Sociedad,Celta,2,1,H,,,,,,,,,,,,,,,,
1993-12-12,Celta,Albacete,1,4,A,,,,,,,,,,,,,,,,
1993-12-19,Barcelona,Celta,1,0,H,,,,,,,,,,,,,,,,
1994-01-02,Celta,Zaragoza,1,0,H,,,,,,,,,,,,,,,,
1994-01-09,Osasuna,Celta,0,1,A,,,,,,,,,,,,,,,,
1994-01-16,Celta,Valladolid,1,2,A,,,,,,,,,,,,,,,,
1994-01-23,Celta,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1994-01-30,Oviedo,Celta,1,0,H,,,,,,,,,,,,,,,,
1994-02-06,Celta,Ath Madrid,3,2,H,,,,,,,,,,,,,,,,
1994-02-13,Santander,Celta,2,1,H,,,,,,,,,,,,,,,,
1994-02-20,Celta,Tenerife,1,0,H,,,,,,,,,,,,,,,,
1994-02-23,Lerida,Celta,0,0,D,,,,,,,,,,,,,,,,
1994-02-27,Celta,Vallecano,0,0,D,,,,,,,,,,,,,,,,
1994-03-06,Logrones,Celta,1,1,D,,,,,,,,,,,,,,,,
1994-03-13,Celta,Valencia,1,2,A,,,,,,,,,,,,,,,,
1994-03-20,Ath Bilbao,Celta,2,1,H,,,,,,,,,,,,,,,,
1994-03-27,Sp Gijon,Celta,2,1,H,,,,,,,,,,,,,,,,
1994-04-03,Celta,Real Madrid,3,2,H,,,,,,,,,,,,,,,,
1994-04-06,Sevilla,Celta,4,1,H,,,,,,,,,,,,,,,,
1994-04-10,Celta,Sociedad,3,2,H,,,,,,,,,,,,,,,,
1994-04-17,Albacete,Celta,0,4,A,,,,,,,,,,,,,,,,
1994-04-24,Celta,Barcelona,0,4,A,,,,,,,,,,,,,,,,
1994-05-01,Zaragoza,Celta,4,1,H,,,,,,,,,,,,,,,,
1994-05-08,Celta,Osasuna,4,0,H,,,,,,,,,,,,,,,,
1994-05-15,Valladolid,Celta,0,0,D,,,,,,,,,,,,,,,,
1994-09-04,Albacete,Celta,1,1,D,,,,,,,,,,,,,,,,
1994-09-10,Celta,Ath Bilbao,1,1,D,,,,,,,,,,,,,,,,
1994-09-18,Sp Gijon,Celta,0,0,D,,,,,,,,,,,,,,,,
1994-09-25,Celta,Santander,2,1,H,,,,,,,,,,,,,,,,
1994-10-02,Espanol,Celta,0,0,D,,,,,,,,,,,,,,,,
1994-10-09,Celta,Compostela,1,2,A,,,,,,,,,,,,,,,,
1994-10-16,Zaragoza,Celta,4,0,H,,,,,,,,,,,,,,,,
1994-10-22,Celta,Ath Madrid,1,0,H,,,,,,,,,,,,,,,,
1994-10-29,Valencia,Celta,1,0,H,,,,,,,,,,,,,,,,
1994-11-06,Celta,Tenerife,3,2,H,,,,,,,,,,,,,,,,
1994-11-20,Sociedad,Celta,2,3,A,,,,,,,,,,,,,,,,
1994-11-27,Celta,Oviedo,0,0,D,,,,,,,,,,,,,,,,
1994-12-04,Valladolid,Celta,1,1,D,,,,,,,,,,,,,,,,
1994-12-11,Celta,Barcelona,2,4,A,,,,,,,,,,,,,,,,
1994-12-21,La Coruna,Celta,1,2,A,,,,,,,,,,,,,,,,
1995-01-08,Celta,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1995-01-15,Celta,Betis,0,2,A,,,,,,,,,,,,,,,,
1995-01-22,Real Madrid,Celta,4,0,H,,,,,,,,,,,,,,,,
1995-01-29,Celta,Logrones,0,1,A,,,,,,,,,,,,,,,,
1995-02-05,Celta,Albacete,0,0,D,,,,,,,,,,,,,,,,
1995-02-12,Ath Bilbao,Celta,1,1,D,,,,,,,,,,,,,,,,
1995-02-19,Celta,Sp Gijon,2,0,H,,,,,,,,,,,,,,,,
1995-02-26,Santander,Celta,2,0,H,,,,,,,,,,,,,,,,
1995-03-05,Celta,Espanol,1,2,A,,,,,,,,,,,,,,,,
1995-03-12,Compostela,Celta,2,0,H,,,,,,,,,,,,,,,,
1995-03-19,Celta,Zaragoza,0,0,D,,,,,,,,,,,,,,,,
1995-04-02,Ath Madrid,Celta,0,2,A,,,,,,,,,,,,,,,,
1995-04-09,Celta,Valencia,0,0,D,,,,,,,,,,,,,,,,
1995-04-16,Tenerife,Celta,3,0,H,,,,,,,,,,,,,,,,
1995-04-23,Celta,Sociedad,2,1,H,,,,,,,,,,,,,,,,
1995-04-30,Oviedo,Celta,2,2,D,,,,,,,,,,,,,,,,
1995-05-07,Celta,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1995-05-14,Barcelona,Celta,1,1,D,,,,,,,,,,,,,,,,
1995-05-21,Celta,La Coruna,0,2,A,,,,,,,,,,,,,,,,
1995-05-28,Sevilla,Celta,2,3,A,,,,,,,,,,,,,,,,
1995-06-04,Betis,Celta,1,1,D,,,,,,,,,,,,,,,,
1995-06-10,Celta,Real Madrid,0,2,A,,,,,,,,,,,,,,,,
1995-06-18,Logrones,Celta,0,3,A,,,,,,,,,,,,,,,,
1995-09-03,Celta,Compostela,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1995-09-10,Salamanca,Celta,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1995-09-17,Celta,Tenerife,2,2,D,2.0,2.0,D,,,,,,,,,,,,,
1995-09-24,Albacete,Celta,4,0,H,0.0,0.0,D,,,,,,,,,,,,,
1995-10-01,Celta,Sociedad,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1995-10-04,Santander,Celta,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1995-10-08,Celta,Ath Madrid,0,3,A,0.0,1.0,A,,,,,,,,,,,,,
1995-10-15,Sp Gijon,Celta,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1995-10-22,Celta,Sevilla,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-10-29,Espanol,Celta,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
