Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1994-09-04,Compostela,Sociedad,0,2,A,,,,,,,,,,,,,,,,
1994-09-11,Oviedo,Compostela,2,2,D,,,,,,,,,,,,,,,,
1994-09-18,Compostela,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1994-09-24,Barcelona,Compostela,4,0,H,,,,,,,,,,,,,,,,
1994-10-01,Compostela,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1994-10-09,Celta,Compostela,1,2,A,,,,,,,,,,,,,,,,
1994-10-16,Compostela,Betis,1,1,D,,,,,,,,,,,,,,,,
1994-10-23,Real Madrid,Compostela,1,1,D,,,,,,,,,,,,,,,,
1994-10-30,Compostela,Logrones,2,0,H,,,,,,,,,,,,,,,,
1994-11-06,Albacete,Compostela,1,3,A,,,,,,,,,,,,,,,,
1994-11-19,Compostela,Ath Bilbao,0,1,A,,,,,,,,,,,,,,,,
1994-11-27,Sp Gijon,Compostela,1,1,D,,,,,,,,,,,,,,,,
1994-12-04,Compostela,Santander,2,1,H,,,,,,,,,,,,,,,,
1994-12-11,Espanol,Compostela,2,0,H,,,,,,,,,,,,,,,,
1994-12-21,Sevilla,Compostela,3,0,H,,,,,,,,,,,,,,,,
1995-01-08,Compostela,Zaragoza,3,2,H,,,,,,,,,,,,,,,,
1995-01-15,Ath Madrid,Compostela,1,1,D,,,,,,,,,,,,,,,,
1995-01-22,Compostela,Valencia,1,1,D,,,,,,,,,,,,,,,,
1995-01-29,Tenerife,Compostela,2,0,H,,,,,,,,,,,,,,,,
1995-02-05,Sociedad,Compostela,1,1,D,,,,,,,,,,,,,,,,
1995-02-12,Compostela,Oviedo,1,1,D,,,,,,,,,,,,,,,,
1995-02-19,Valladolid,Compostela,2,0,H,,,,,,,,,,,,,,,,
1995-02-25,Compostela,Barcelona,1,2,A,,,,,,,,,,,,,,,,
1995-03-05,La Coruna,Compostela,1,0,H,,,,,,,,,,,,,,,,
1995-03-12,Compostela,Celta,2,0,H,,,,,,,,,,,,,,,,
1995-03-19,Betis,Compostela,1,0,H,,,,,,,,,,,,,,,,
1995-04-02,Compostela,Real Madrid,1,1,D,,,,,,,,,,,,,,,,
1995-04-09,Logrones,Compostela,0,4,A,,,,,,,,,,,,,,,,
1995-04-16,Compostela,Albacete,0,0,D,,,,,,,,,,,,,,,,
1995-04-23,Ath Bilbao,Compostela,1,0,H,,,,,,,,,,,,,,,,
1995-04-30,Compostela,Sp Gijon,3,2,H,,,,,,,,,,,,,,,,
1995-05-07,Santander,Compostela,2,2,D,,,,,,,,,,,,,,,,
1995-05-14,Compostela,Espanol,1,1,D,,,,,,,,,,,,,,,,
1995-05-21,Compostela,Sevilla,0,4,A,,,,,,,,,,,,,,,,
1995-05-28,Zaragoza,Compostela,5,3,H,,,,,,,,,,,,,,,,
1995-06-04,Compostela,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,
1995-06-10,Valencia,Compostela,4,1,H,,,,,,,,,,,,,,,,
