Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2014-08-25,Real Madrid,Cordoba,2,0,H,1.0,0.0,H,,14.0,8.0,8.0,2.0,9.0,13.0,8.0,5.0,1.0,2.0,0.0,0.0
2014-08-30,Cordoba,Celta,1,1,D,0.0,0.0,D,,6.0,9.0,1.0,4.0,14.0,17.0,1.0,6.0,1.0,4.0,0.0,0.0
2014-09-12,Almeria,Cordoba,1,1,D,1.0,1.0,D,,12.0,11.0,2.0,4.0,14.0,22.0,8.0,2.0,4.0,4.0,0.0,0.0
2014-09-21,Cordoba,Sevilla,1,3,A,0.0,1.0,A,,9.0,15.0,3.0,8.0,11.0,24.0,7.0,4.0,6.0,2.0,0.0,0.0
2014-09-25,Valencia,Cordoba,3,0,H,2.0,0.0,H,,17.0,2.0,7.0,1.0,11.0,23.0,3.0,3.0,1.0,3.0,0.0,0.0
2014-09-28,Cordoba,Espanol,0,0,D,0.0,0.0,D,,10.0,4.0,4.0,2.0,13.0,26.0,3.0,5.0,2.0,6.0,0.0,0.0
2014-10-03,Getafe,Cordoba,1,1,D,0.0,0.0,D,,18.0,10.0,5.0,3.0,12.0,11.0,8.0,3.0,1.0,2.0,0.0,0.0
2014-10-18,Cordoba,Malaga,1,2,A,0.0,2.0,A,,8.0,8.0,2.0,4.0,16.0,21.0,6.0,13.0,2.0,3.0,0.0,0.0
2014-10-25,Cordoba,Sociedad,1,1,D,0.0,1.0,A,,7.0,7.0,3.0,1.0,13.0,12.0,5.0,4.0,3.0,2.0,0.0,0.0
2014-11-01,Ath Madrid,Cordoba,4,2,H,1.0,0.0,H,,16.0,8.0,8.0,4.0,12.0,13.0,4.0,5.0,0.0,2.0,0.0,0.0
2014-11-07,Cordoba,La Coruna,0,0,D,0.0,0.0,D,,14.0,6.0,6.0,2.0,10.0,5.0,3.0,2.0,4.0,0.0,0.0,1.0
2014-11-23,Elche,Cordoba,2,2,D,0.0,1.0,A,,17.0,10.0,6.0,3.0,16.0,14.0,6.0,2.0,3.0,4.0,0.0,0.0
2014-11-30,Cordoba,Villarreal,0,2,A,0.0,1.0,A,,11.0,10.0,2.0,7.0,7.0,13.0,9.0,8.0,2.0,2.0,0.0,0.0
2014-12-06,Ath Bilbao,Cordoba,0,1,A,0.0,1.0,A,,15.0,7.0,3.0,3.0,13.0,14.0,15.0,4.0,4.0,6.0,0.0,0.0
2014-12-13,Cordoba,Levante,0,0,D,0.0,0.0,D,,13.0,12.0,4.0,3.0,6.0,19.0,7.0,6.0,0.0,3.0,0.0,0.0
2014-12-20,Barcelona,Cordoba,5,0,H,1.0,0.0,H,,16.0,7.0,9.0,2.0,14.0,5.0,8.0,0.0,1.0,0.0,0.0,0.0
2015-01-05,Cordoba,Granada,2,0,H,2.0,0.0,H,,5.0,12.0,3.0,1.0,22.0,17.0,0.0,4.0,2.0,0.0,0.0,0.0
2015-01-12,Vallecano,Cordoba,0,1,A,0.0,1.0,A,,21.0,9.0,4.0,3.0,10.0,9.0,6.0,2.0,3.0,2.0,0.0,0.0
2015-01-16,Cordoba,Eibar,1,1,D,1.0,0.0,H,,14.0,6.0,5.0,1.0,18.0,12.0,2.0,3.0,4.0,3.0,1.0,1.0
2015-01-24,Cordoba,Real Madrid,1,2,A,1.0,1.0,D,,16.0,13.0,4.0,4.0,15.0,13.0,3.0,9.0,1.0,3.0,1.0,1.0
2015-01-31,Celta,Cordoba,1,0,H,0.0,0.0,D,,19.0,8.0,9.0,3.0,10.0,10.0,8.0,2.0,2.0,6.0,0.0,0.0
2015-02-08,Cordoba,Almeria,1,2,A,1.0,0.0,H,,14.0,8.0,7.0,2.0,15.0,17.0,6.0,6.0,2.0,5.0,0.0,0.0
2015-02-14,Sevilla,Cordoba,3,0,H,2.0,0.0,H,,18.0,10.0,6.0,3.0,15.0,16.0,8.0,1.0,0.0,1.0,1.0,1.0
2015-02-21,Cordoba,Valencia,1,2,A,0.0,1.0,A,,11.0,17.0,4.0,7.0,17.0,15.0,6.0,2.0,1.0,2.0,0.0,0.0
2015-02-27,Espanol,Cordoba,1,0,H,1.0,0.0,H,,12.0,16.0,4.0,4.0,22.0,14.0,2.0,6.0,5.0,4.0,0.0,0.0
2015-03-09,Cordoba,Getafe,1,2,A,0.0,0.0,D,,18.0,15.0,4.0,7.0,11.0,10.0,5.0,6.0,3.0,2.0,0.0,0.0
2015-03-15,Malaga,Cordoba,2,0,H,0.0,0.0,D,,19.0,4.0,6.0,2.0,11.0,15.0,2.0,3.0,0.0,2.0,0.0,0.0
2015-03-22,Sociedad,Cordoba,3,1,H,1.0,1.0,D,,19.0,11.0,3.0,6.0,9.0,16.0,9.0,5.0,1.0,5.0,0.0,3.0
2015-04-04,Cordoba,Ath Madrid,0,2,A,0.0,2.0,A,,11.0,8.0,2.0,4.0,12.0,9.0,3.0,5.0,2.0,1.0,0.0,0.0
2015-04-08,La Coruna,Cordoba,1,1,D,0.0,0.0,D,,8.0,16.0,2.0,7.0,12.0,16.0,6.0,5.0,3.0,2.0,1.0,0.0
2015-04-12,Cordoba,Elche,0,2,A,0.0,1.0,A,,14.0,7.0,2.0,3.0,9.0,26.0,8.0,3.0,0.0,2.0,1.0,0.0
2015-04-19,Villarreal,Cordoba,0,0,D,0.0,0.0,D,,28.0,9.0,7.0,4.0,14.0,16.0,12.0,3.0,1.0,4.0,0.0,0.0
2015-04-24,Cordoba,Ath Bilbao,0,1,A,0.0,0.0,D,,22.0,15.0,2.0,4.0,13.0,19.0,9.0,5.0,2.0,3.0,0.0,0.0
2015-04-28,Levante,Cordoba,1,0,H,1.0,0.0,H,,13.0,8.0,3.0,1.0,17.0,10.0,6.0,5.0,3.0,3.0,0.0,0.0
2015-05-02,Cordoba,Barcelona,0,8,A,0.0,2.0,A,,5.0,27.0,1.0,11.0,11.0,3.0,5.0,8.0,2.0,0.0,0.0,0.0
2015-05-09,Granada,Cordoba,2,0,H,1.0,0.0,H,,21.0,4.0,8.0,1.0,16.0,12.0,8.0,1.0,2.0,2.0,0.0,2.0
2015-05-17,Cordoba,Vallecano,1,2,A,0.0,1.0,A,,14.0,22.0,2.0,10.0,5.0,13.0,5.0,8.0,0.0,0.0,0.0,0.0
2015-05-23,Eibar,Cordoba,3,0,H,3.0,0.0,H,,12.0,15.0,6.0,5.0,13.0,7.0,4.0,5.0,1.0,0.0,0.0,0.0
