Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2014-08-24,Eibar,Sociedad,1,0,H,1.0,0.0,H,,12.0,19.0,5.0,4.0,13.0,14.0,5.0,6.0,4.0,1.0,0.0,0.0
2014-08-30,Ath Madrid,Eibar,2,1,H,2.0,1.0,H,,15.0,8.0,6.0,2.0,12.0,18.0,5.0,5.0,3.0,0.0,0.0,0.0
2014-09-15,Eibar,La Coruna,0,1,A,0.0,1.0,A,,14.0,4.0,2.0,1.0,11.0,23.0,4.0,8.0,0.0,5.0,0.0,0.0
2014-09-19,Elche,Eibar,0,2,A,0.0,2.0,A,,15.0,8.0,6.0,4.0,9.0,10.0,10.0,7.0,2.0,1.0,0.0,0.0
2014-09-24,Eibar,Villarreal,1,1,D,1.0,0.0,H,,7.0,15.0,3.0,4.0,14.0,17.0,2.0,10.0,4.0,4.0,0.0,0.0
2014-09-27,Ath Bilbao,Eibar,0,0,D,0.0,0.0,D,,13.0,10.0,1.0,2.0,13.0,22.0,6.0,2.0,5.0,6.0,0.0,0.0
2014-10-04,Eibar,Levante,3,3,D,0.0,2.0,A,,14.0,13.0,6.0,5.0,12.0,16.0,4.0,4.0,3.0,1.0,0.0,0.0
2014-10-18,Barcelona,Eibar,3,0,H,0.0,0.0,D,,27.0,4.0,12.0,2.0,9.0,13.0,12.0,3.0,2.0,2.0,0.0,0.0
2014-10-25,Eibar,Granada,1,1,D,1.0,1.0,D,,7.0,8.0,3.0,3.0,14.0,14.0,7.0,8.0,3.0,4.0,0.0,0.0
2014-11-03,Vallecano,Eibar,2,3,A,0.0,1.0,A,,16.0,8.0,6.0,5.0,10.0,14.0,11.0,2.0,1.0,2.0,0.0,0.0
2014-11-08,Malaga,Eibar,2,1,H,0.0,1.0,A,,15.0,7.0,8.0,3.0,9.0,15.0,5.0,3.0,3.0,2.0,0.0,1.0
2014-11-22,Eibar,Real Madrid,0,4,A,0.0,2.0,A,,10.0,19.0,2.0,8.0,16.0,9.0,4.0,2.0,4.0,2.0,0.0,0.0
2014-11-29,Celta,Eibar,0,1,A,0.0,1.0,A,,29.0,8.0,9.0,2.0,10.0,21.0,15.0,1.0,4.0,5.0,0.0,0.0
2014-12-08,Eibar,Almeria,5,2,H,3.0,1.0,H,,17.0,14.0,8.0,3.0,18.0,12.0,7.0,3.0,4.0,3.0,0.0,0.0
2014-12-14,Sevilla,Eibar,0,0,D,0.0,0.0,D,,16.0,6.0,2.0,2.0,11.0,17.0,11.0,2.0,3.0,6.0,0.0,0.0
2014-12-20,Eibar,Valencia,0,1,A,0.0,1.0,A,,8.0,10.0,2.0,3.0,16.0,8.0,2.0,5.0,7.0,3.0,0.0,0.0
2015-01-04,Espanol,Eibar,1,2,A,0.0,2.0,A,,15.0,12.0,6.0,6.0,9.0,15.0,6.0,3.0,1.0,1.0,0.0,0.0
2015-01-10,Eibar,Getafe,2,1,H,1.0,0.0,H,,12.0,7.0,5.0,3.0,19.0,12.0,2.0,3.0,2.0,1.0,0.0,0.0
2015-01-16,Cordoba,Eibar,1,1,D,1.0,0.0,H,,14.0,6.0,5.0,1.0,18.0,12.0,2.0,3.0,4.0,3.0,1.0,1.0
2015-01-24,Sociedad,Eibar,1,0,H,0.0,0.0,D,,19.0,9.0,4.0,4.0,6.0,17.0,9.0,5.0,2.0,2.0,0.0,0.0
2015-01-31,Eibar,Ath Madrid,1,3,A,0.0,3.0,A,,11.0,8.0,3.0,5.0,14.0,16.0,6.0,8.0,3.0,3.0,0.0,0.0
2015-02-06,La Coruna,Eibar,2,0,H,0.0,0.0,D,,15.0,4.0,5.0,2.0,12.0,21.0,5.0,3.0,2.0,3.0,0.0,0.0
2015-02-16,Eibar,Elche,0,1,A,0.0,0.0,D,,18.0,6.0,7.0,2.0,13.0,12.0,5.0,3.0,3.0,1.0,1.0,0.0
2015-02-22,Villarreal,Eibar,1,0,H,0.0,0.0,D,,21.0,10.0,6.0,1.0,5.0,3.0,8.0,3.0,2.0,0.0,0.0,0.0
2015-03-01,Eibar,Ath Bilbao,0,1,A,0.0,1.0,A,,6.0,13.0,2.0,8.0,16.0,14.0,5.0,6.0,3.0,2.0,0.0,0.0
2015-03-06,Levante,Eibar,2,1,H,0.0,0.0,D,,12.0,14.0,4.0,3.0,11.0,17.0,6.0,7.0,4.0,5.0,0.0,1.0
2015-03-14,Eibar,Barcelona,0,2,A,0.0,1.0,A,,13.0,12.0,2.0,4.0,14.0,3.0,6.0,3.0,1.0,0.0,0.0,0.0
2015-03-21,Granada,Eibar,0,0,D,0.0,0.0,D,,17.0,4.0,4.0,1.0,14.0,17.0,7.0,5.0,4.0,1.0,0.0,0.0
2015-04-03,Eibar,Vallecano,1,2,A,1.0,2.0,A,,12.0,13.0,4.0,8.0,15.0,15.0,4.0,4.0,3.0,3.0,1.0,0.0
