Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2013-08-19,Vallecano,Elche,3,0,H,2.0,0.0,H,,11.0,8.0,5.0,1.0,16.0,11.0,3.0,4.0,2.0,2.0,0.0,0.0
2013-08-24,Elche,Sociedad,1,1,D,1.0,0.0,H,,12.0,11.0,2.0,4.0,9.0,12.0,4.0,2.0,4.0,3.0,0.0,0.0
2013-08-30,Almeria,Elche,2,2,D,2.0,1.0,H,,9.0,15.0,5.0,9.0,18.0,18.0,4.0,5.0,3.0,5.0,1.0,0.0
2013-09-16,Elche,Valladolid,0,0,D,0.0,0.0,D,,10.0,8.0,5.0,4.0,18.0,9.0,10.0,4.0,4.0,1.0,0.0,0.0
2013-09-20,Osasuna,Elche,2,1,H,1.0,0.0,H,,8.0,13.0,3.0,4.0,17.0,7.0,5.0,8.0,2.0,1.0,0.0,0.0
2013-09-25,Elche,Real Madrid,1,2,A,0.0,0.0,D,,11.0,12.0,3.0,5.0,23.0,9.0,4.0,5.0,8.0,2.0,1.0,0.0
2013-09-29,Celta,Elche,0,1,A,0.0,0.0,D,,7.0,14.0,1.0,4.0,17.0,16.0,7.0,4.0,1.0,3.0,0.0,0.0
2013-10-05,Elche,Espanol,2,1,H,1.0,0.0,H,,12.0,13.0,6.0,3.0,13.0,19.0,4.0,5.0,1.0,1.0,0.0,1.0
2013-10-20,Betis,Elche,1,2,A,1.0,2.0,A,,15.0,7.0,7.0,4.0,22.0,8.0,6.0,7.0,4.0,2.0,0.0,1.0
2013-10-26,Elche,Granada,0,1,A,0.0,1.0,A,,8.0,14.0,1.0,3.0,12.0,8.0,5.0,4.0,2.0,3.0,0.0,0.0
2013-10-31,Ath Bilbao,Elche,2,2,D,0.0,1.0,A,,17.0,11.0,5.0,6.0,11.0,10.0,8.0,3.0,3.0,2.0,0.0,0.0
2013-11-04,Elche,Villarreal,0,1,A,0.0,0.0,D,,5.0,16.0,0.0,6.0,19.0,11.0,9.0,9.0,3.0,3.0,0.0,0.0
2013-11-09,Getafe,Elche,1,1,D,1.0,0.0,H,,10.0,10.0,2.0,5.0,17.0,16.0,4.0,7.0,3.0,6.0,0.0,0.0
2013-11-24,Elche,Valencia,2,1,H,0.0,0.0,D,,9.0,25.0,3.0,8.0,14.0,10.0,2.0,7.0,3.0,2.0,0.0,0.0
2013-11-30,Elche,Ath Madrid,0,2,A,0.0,0.0,D,,10.0,12.0,2.0,4.0,14.0,13.0,9.0,6.0,2.0,4.0,0.0,0.0
2013-12-13,Levante,Elche,2,1,H,1.0,1.0,D,,9.0,7.0,3.0,2.0,11.0,9.0,5.0,3.0,4.0,4.0,0.0,0.0
2013-12-20,Elche,Malaga,0,1,A,0.0,1.0,A,,8.0,6.0,2.0,2.0,17.0,14.0,7.0,2.0,3.0,4.0,1.0,0.0
2014-01-05,Barcelona,Elche,4,0,H,2.0,0.0,H,,13.0,3.0,6.0,0.0,12.0,17.0,1.0,2.0,2.0,2.0,0.0,0.0
2014-01-11,Elche,Sevilla,1,1,D,0.0,0.0,D,,10.0,10.0,3.0,3.0,7.0,23.0,8.0,5.0,2.0,3.0,0.0,0.0
2014-01-18,Elche,Vallecano,2,0,H,1.0,0.0,H,,15.0,7.0,10.0,1.0,13.0,7.0,7.0,1.0,2.0,2.0,0.0,1.0
2014-01-27,Sociedad,Elche,4,0,H,2.0,0.0,H,,7.0,18.0,5.0,6.0,9.0,8.0,4.0,6.0,1.0,2.0,0.0,0.0
2014-02-02,Elche,Almeria,1,0,H,0.0,0.0,D,,13.0,10.0,5.0,3.0,14.0,18.0,8.0,3.0,3.0,3.0,1.0,0.0
2014-02-09,Valladolid,Elche,2,2,D,0.0,1.0,A,,13.0,9.0,3.0,4.0,15.0,15.0,9.0,2.0,2.0,2.0,0.0,0.0
2014-02-14,Elche,Osasuna,0,0,D,0.0,0.0,D,,11.0,8.0,2.0,3.0,10.0,11.0,7.0,7.0,3.0,3.0,0.0,0.0
2014-02-22,Real Madrid,Elche,3,0,H,1.0,0.0,H,,16.0,5.0,7.0,2.0,14.0,19.0,9.0,1.0,1.0,3.0,0.0,0.0
2014-03-01,Elche,Celta,1,0,H,0.0,0.0,D,,9.0,12.0,1.0,3.0,13.0,15.0,3.0,12.0,5.0,3.0,0.0,0.0
2014-03-09,Espanol,Elche,3,1,H,2.0,0.0,H,,12.0,12.0,6.0,3.0,16.0,11.0,5.0,5.0,1.0,3.0,0.0,0.0
2014-03-16,Elche,Betis,0,0,D,0.0,0.0,D,,12.0,9.0,1.0,3.0,15.0,18.0,6.0,3.0,4.0,3.0,0.0,0.0
2014-03-22,Granada,Elche,1,0,H,0.0,0.0,D,,9.0,10.0,4.0,4.0,15.0,18.0,5.0,3.0,1.0,3.0,0.0,1.0
2014-03-25,Elche,Ath Bilbao,0,0,D,0.0,0.0,D,,12.0,8.0,2.0,1.0,25.0,17.0,7.0,2.0,2.0,2.0,0.0,0.0
2014-03-30,Villarreal,Elche,1,1,D,1.0,1.0,D,,10.0,7.0,3.0,2.0,16.0,14.0,6.0,5.0,1.0,1.0,0.0,0.0
2014-04-06,Elche,Getafe,1,0,H,0.0,0.0,D,,16.0,9.0,3.0,3.0,20.0,16.0,6.0,2.0,3.0,2.0,0.0,0.0
2014-04-13,Valencia,Elche,2,1,H,1.0,1.0,D,,8.0,11.0,4.0,5.0,15.0,15.0,6.0,2.0,3.0,2.0,1.0,0.0
2014-04-18,Ath Madrid,Elche,2,0,H,0.0,0.0,D,,14.0,8.0,4.0,3.0,7.0,12.0,7.0,6.0,2.0,4.0,0.0,1.0
2014-04-25,Elche,Levante,1,1,D,0.0,0.0,D,,22.0,10.0,3.0,6.0,14.0,17.0,7.0,2.0,2.0,4.0,0.0,0.0
2014-05-03,Malaga,Elche,0,1,A,0.0,1.0,A,,7.0,10.0,2.0,3.0,18.0,13.0,8.0,2.0,1.0,4.0,0.0,2.0
2014-05-11,Elche,Barcelona,0,0,D,0.0,0.0,D,,6.0,20.0,0.0,6.0,16.0,16.0,2.0,11.0,3.0,3.0,0.0,0.0
2014-05-18,Sevilla,Elche,3,1,H,1.0,0.0,H,,15.0,14.0,5.0,4.0,10.0,11.0,6.0,5.0,2.0,0.0,0.0,0.0
2014-08-24,Barcelona,Elche,3,0,H,1.0,0.0,H,,12.0,3.0,6.0,0.0,11.0,13.0,3.0,1.0,0.0,1.0,1.0,0.0
2014-08-31,Elche,Granada,1,1,D,0.0,0.0,D,,15.0,5.0,3.0,4.0,12.0,17.0,8.0,4.0,4.0,4.0,0.0,0.0
2014-09-14,Vallecano,Elche,2,3,A,1.0,1.0,D,,14.0,12.0,4.0,5.0,11.0,23.0,6.0,5.0,2.0,2.0,0.0,0.0
2014-09-19,Elche,Eibar,0,2,A,0.0,2.0,A,,15.0,8.0,6.0,4.0,9.0,10.0,10.0,7.0,2.0,1.0,0.0,0.0
2014-09-23,Real Madrid,Elche,5,1,H,3.0,1.0,H,,23.0,10.0,12.0,3.0,15.0,15.0,8.0,2.0,2.0,1.0,0.0,0.0
2014-09-26,Elche,Celta,0,1,A,0.0,0.0,D,,14.0,16.0,3.0,4.0,12.0,14.0,0.0,4.0,4.0,2.0,0.0,0.0
