Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1994-09-04,Espanol,Oviedo,4,2,H,,,,,,,,,,,,,,,,
1994-09-11,Valladolid,Espanol,0,4,A,,,,,,,,,,,,,,,,
1994-09-18,Espanol,Barcelona,0,0,D,,,,,,,,,,,,,,,,
1994-09-24,La Coruna,Espanol,1,1,D,,,,,,,,,,,,,,,,
1994-10-02,Espanol,Celta,0,0,D,,,,,,,,,,,,,,,,
1994-10-09,Betis,Espanol,3,1,H,,,,,,,,,,,,,,,,
1994-10-15,Espanol,Real Madrid,1,2,A,,,,,,,,,,,,,,,,
1994-10-23,Logrones,Espanol,1,1,D,,,,,,,,,,,,,,,,
1994-10-30,Espanol,Albacete,5,1,H,,,,,,,,,,,,,,,,
1994-11-06,Ath Bilbao,Espanol,1,3,A,,,,,,,,,,,,,,,,
1994-11-20,Espanol,Sp Gijon,1,1,D,,,,,,,,,,,,,,,,
1994-11-27,Santander,Espanol,0,0,D,,,,,,,,,,,,,,,,
1994-12-04,Sevilla,Espanol,3,0,H,,,,,,,,,,,,,,,,
1994-12-11,Espanol,Compostela,2,0,H,,,,,,,,,,,,,,,,
1994-12-21,Zaragoza,Espanol,1,0,H,,,,,,,,,,,,,,,,
1995-01-08,Espanol,Ath Madrid,2,0,H,,,,,,,,,,,,,,,,
1995-01-15,Valencia,Espanol,0,0,D,,,,,,,,,,,,,,,,
1995-01-22,Espanol,Tenerife,0,0,D,,,,,,,,,,,,,,,,
1995-01-29,Sociedad,Espanol,2,0,H,,,,,,,,,,,,,,,,
1995-02-05,Oviedo,Espanol,3,0,H,,,,,,,,,,,,,,,,
1995-02-12,Espanol,Valladolid,3,0,H,,,,,,,,,,,,,,,,
1995-02-18,Barcelona,Espanol,3,0,H,,,,,,,,,,,,,,,,
1995-02-26,Espanol,La Coruna,1,0,H,,,,,,,,,,,,,,,,
1995-03-05,Celta,Espanol,1,2,A,,,,,,,,,,,,,,,,
1995-03-12,Espanol,Betis,0,0,D,,,,,,,,,,,,,,,,
1995-03-19,Real Madrid,Espanol,1,0,H,,,,,,,,,,,,,,,,
1995-04-02,Espanol,Logrones,2,0,H,,,,,,,,,,,,,,,,
1995-04-09,Albacete,Espanol,1,1,D,,,,,,,,,,,,,,,,
1995-04-16,Espanol,Ath Bilbao,3,1,H,,,,,,,,,,,,,,,,
1995-04-23,Sp Gijon,Espanol,0,0,D,,,,,,,,,,,,,,,,
1995-04-30,Espanol,Santander,2,0,H,,,,,,,,,,,,,,,,
1995-05-07,Espanol,Sevilla,2,2,D,,,,,,,,,,,,,,,,
1995-05-14,Compostela,Espanol,1,1,D,,,,,,,,,,,,,,,,
1995-05-20,Espanol,Zaragoza,2,0,H,,,,,,,,,,,,,,,,
1995-05-28,Ath Madrid,Espanol,3,1,H,,,,,,,,,,,,,,,,
1995-06-03,Espanol,Valencia,5,0,H,,,,,,,,,,,,,,,,
1995-06-11,Tenerife,Espanol,1,1,D,,,,,,,,,,,,,,,,
1995-06-18,Espanol,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1995-09-03,Espanol,Salamanca,3,1,H,2.0,1.0,H,,,,,,,,,,,,,
1995-09-10,Tenerife,Espanol,1,4,A,0.0,2.0,A,,,,,,,,,,,,,
1995-09-17,Espanol,Albacete,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1995-09-24,Sociedad,Espanol,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1995-10-01,Espanol,Santander,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1995-10-05,Ath Madrid,Espanol,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1995-10-08,Espanol,Sp Gijon,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-14,Sevilla,Espanol,0,3,A,0.0,2.0,A,,,,,,,,,,,,,
1995-10-22,Ath Bilbao,Espanol,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-29,Espanol,Celta,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1995-11-05,La Coruna,Espanol,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1995-11-12,Espanol,Valladolid,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
1995-11-19,Merida,Espanol,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1995-11-26,Espanol,Zaragoza,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1995-12-02,Vallecano,Espanol,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-12-10,Espanol,Real Madrid,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
1995-12-17,Oviedo,Espanol,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
1995-12-20,Espanol,Betis,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1996-01-04,Barcelona,Espanol,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1996-01-07,Espanol,Valencia,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-01-14,Compostela,Espanol,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1996-01-21,Salamanca,Espanol,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1996-01-24,Espanol,Tenerife,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
1996-01-28,Albacete,Espanol,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-02-04,Espanol,Sociedad,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-02-11,Santander,Espanol,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1996-02-18,Espanol,Ath Madrid,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
1996-02-25,Sp Gijon,Espanol,2,3,A,1.0,1.0,D,,,,,,,,,,,,,
1996-03-02,Espanol,Sevilla,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1996-03-10,Espanol,Ath Bilbao,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-03-17,Celta,Espanol,4,2,H,4.0,0.0,H,,,,,,,,,,,,,
1996-03-24,Espanol,La Coruna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-03-27,Valladolid,Espanol,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-03-31,Espanol,Merida,3,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-04-06,Zaragoza,Espanol,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1996-04-14,Espanol,Vallecano,4,2,H,1.0,1.0,D,,,,,,,,,,,,,
1996-04-21,Real Madrid,Espanol,1,2,A,0.0,0.0,D,,,,,,,,,,,,,
1996-05-05,Betis,Espanol,2,3,A,1.0,2.0,A,,,,,,,,,,,,,
1996-05-08,Espanol,Oviedo,5,0,H,2.0,0.0,H,,,,,,,,,,,,,
1996-05-15,Espanol,Barcelona,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1996-05-19,Valencia,Espanol,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-05-25,Espanol,Compostela,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-09-02,Espanol,Sp Gijon,2,3,A,2.0,0.0,H,,,,,,,,,,,,,
1996-09-07,Barcelona,Espanol,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
1996-09-15,Espanol,Valladolid,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-09-21,Ath Bilbao,Espanol,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1996-09-28,Espanol,Extremadura,5,1,H,3.0,0.0,H,,,,,,,,,,,,,
1996-10-01,Real Madrid,Espanol,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
1996-10-12,Espanol,Celta,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-10-19,La Coruna,Espanol,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-10-23,Espanol,Hercules,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
1996-10-26,Betis,Espanol,1,2,A,1.0,2.0,A,,,,,,,,,,,,,
1996-11-03,Espanol,Vallecano,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-11-10,Oviedo,Espanol,3,1,H,1.0,1.0,D,,,,,,,,,,,,,
1996-11-16,Ath Madrid,Espanol,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
1996-11-24,Espanol,Santander,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-12-01,Sociedad,Espanol,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-12-08,Espanol,Zaragoza,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1996-12-22,Tenerife,Espanol,5,1,H,2.0,0.0,H,,,,,,,,,,,,,
1997-01-05,Espanol,Compostela,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
1997-01-12,Logrones,Espanol,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-01-20,Espanol,Sevilla,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-01-25,Valencia,Espanol,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1997-02-02,Sp Gijon,Espanol,4,3,H,2.0,1.0,H,,,,,,,,,,,,,
1997-02-09,Espanol,Barcelona,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-02-16,Valladolid,Espanol,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1997-02-19,Espanol,Ath Bilbao,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
1997-02-23,Extremadura,Espanol,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-03-03,Espanol,Real Madrid,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
1997-03-09,Celta,Espanol,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
1997-03-15,Espanol,La Coruna,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1997-03-23,Hercules,Espanol,1,2,A,1.0,0.0,H,,,,,,,,,,,,,
1997-03-30,Espanol,Betis,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-04-06,Vallecano,Espanol,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1997-04-14,Espanol,Oviedo,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-04-17,Espanol,Ath Madrid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-04-20,Santander,Espanol,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1997-05-04,Espanol,Sociedad,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-05-11,Zaragoza,Espanol,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-05-18,Espanol,Tenerife,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-05-25,Compostela,Espanol,3,1,H,2.0,0.0,H,,,,,,,,,,,,,
1997-06-01,Espanol,Logrones,5,1,H,3.0,0.0,H,,,,,,,,,,,,,
1997-06-15,Sevilla,Espanol,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
1997-06-21,Espanol,Valencia,3,2,H,0.0,1.0,A,,,,,,,,,,,,,
1997-08-31,Ath Bilbao,Espanol,1,3,A,1.0,3.0,A,,,,,,,,,,,,,
1997-09-07,Espanol,Celta,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1997-09-14,Oviedo,Espanol,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
