Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1996-09-01,Hercules,Extremadura,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1996-09-09,Extremadura,Betis,0,3,A,0.0,0.0,D,,,,,,,,,,,,,
1996-09-15,Vallecano,Extremadura,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1996-09-22,Extremadura,Oviedo,0,2,A,0.0,2.0,A,,,,,,,,,,,,,
1996-09-28,Espanol,Extremadura,5,1,H,3.0,0.0,H,,,,,,,,,,,,,
1996-10-02,Extremadura,Santander,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
1996-10-13,Sociedad,Extremadura,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1996-10-19,Extremadura,Zaragoza,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1996-10-23,Tenerife,Extremadura,2,1,H,2.0,1.0,H,,,,,,,,,,,,,
1996-10-27,Extremadura,Compostela,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1996-11-03,Logrones,Extremadura,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-11-10,Extremadura,Sevilla,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1996-11-16,Valencia,Extremadura,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-11-23,Extremadura,Sp Gijon,1,2,A,0.0,0.0,D,,,,,,,,,,,,,
1996-12-02,Barcelona,Extremadura,3,0,H,3.0,0.0,H,,,,,,,,,,,,,
1996-12-08,Extremadura,Valladolid,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1996-12-22,Ath Bilbao,Extremadura,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-01-05,Extremadura,Ath Madrid,2,4,A,0.0,1.0,A,,,,,,,,,,,,,
1997-01-12,Extremadura,Real Madrid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-01-19,Celta,Extremadura,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1997-01-25,Extremadura,La Coruna,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-02-03,Extremadura,Hercules,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-02-09,Betis,Extremadura,3,1,H,0.0,0.0,D,,,,,,,,,,,,,
1997-02-16,Extremadura,Vallecano,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-02-19,Oviedo,Extremadura,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-02-23,Extremadura,Espanol,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-03-02,Santander,Extremadura,2,3,A,0.0,2.0,A,,,,,,,,,,,,,
1997-03-09,Extremadura,Sociedad,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
