Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2004-08-29,Zaragoza,Getafe,3,1,H,1.0,1.0,D,,,,,,,,,,,,,
2004-09-12,Getafe,Mallorca,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
2004-09-19,Numancia,Getafe,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-09-22,Getafe,Espanol,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-09-26,Osasuna,Getafe,2,1,H,2.0,1.0,H,,,,,,,,,,,,,
2004-10-03,Getafe,Ath Bilbao,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
2004-10-16,La Coruna,Getafe,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2004-10-24,Getafe,Betis,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
2004-10-31,Real Madrid,Getafe,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-11-07,Getafe,Valencia,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-11-13,Getafe,Malaga,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2004-11-21,Albacete,Getafe,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2004-11-27,Getafe,Barcelona,1,2,A,0.0,2.0,A,,,,,,,,,,,,,
2004-12-05,Levante,Getafe,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2004-12-12,Getafe,Villarreal,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
2004-12-19,Sociedad,Getafe,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2004-12-22,Getafe,Santander,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
2005-01-08,Sevilla,Getafe,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2005-01-15,Getafe,Ath Madrid,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
2005-01-23,Getafe,Zaragoza,3,0,H,3.0,0.0,H,,,,,,,,,,,,,
2005-01-30,Mallorca,Getafe,3,1,H,2.0,1.0,H,,,,,,,,,,,,,
2005-02-06,Getafe,Numancia,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
