Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2006-08-27,Espanol,Gimnastic,0,1,A,0.0,0.0,D,,20.0,18.0,6.0,7.0,25.0,27.0,6.0,7.0,2.0,3.0,0.0,0.0
2006-09-10,Gimnastic,Celta,1,2,A,0.0,0.0,D,,7.0,8.0,2.0,2.0,19.0,20.0,6.0,3.0,0.0,4.0,0.0,0.0
2006-09-17,Osasuna,Gimnastic,2,0,H,1.0,0.0,H,,10.0,8.0,2.0,1.0,13.0,26.0,5.0,6.0,1.0,1.0,0.0,0.0
2006-09-24,Gimnastic,Santander,2,2,D,1.0,0.0,H,,11.0,14.0,5.0,7.0,20.0,15.0,5.0,5.0,2.0,4.0,0.0,0.0
2006-10-01,Valencia,Gimnastic,4,0,H,1.0,0.0,H,,16.0,10.0,7.0,1.0,15.0,16.0,2.0,9.0,2.0,3.0,0.0,0.0
2006-10-15,Gimnastic,Ath Bilbao,2,3,A,0.0,2.0,A,,12.0,14.0,5.0,3.0,19.0,14.0,5.0,6.0,1.0,2.0,1.0,0.0
2006-10-22,Sevilla,Gimnastic,2,1,H,2.0,0.0,H,,12.0,8.0,9.0,5.0,2.0,4.0,1.0,2.0,3.0,4.0,0.0,0.0
2006-10-28,Gimnastic,Real Madrid,1,3,A,1.0,1.0,D,,14.0,12.0,4.0,5.0,29.0,14.0,12.0,6.0,3.0,1.0,0.0,0.0
2006-11-05,Recreativo,Gimnastic,2,1,H,1.0,1.0,D,,15.0,8.0,9.0,2.0,13.0,27.0,9.0,2.0,1.0,4.0,0.0,1.0
2006-11-12,Gimnastic,La Coruna,0,0,D,0.0,0.0,D,,7.0,12.0,2.0,4.0,14.0,14.0,5.0,3.0,1.0,1.0,0.0,0.0
2006-11-19,Zaragoza,Gimnastic,3,0,H,0.0,0.0,D,,11.0,12.0,6.0,4.0,18.0,20.0,1.0,13.0,1.0,2.0,0.0,0.0
2006-11-26,Gimnastic,Mallorca,2,3,A,1.0,0.0,H,,15.0,20.0,5.0,9.0,21.0,15.0,4.0,12.0,4.0,0.0,0.0,0.0
2006-12-03,Villarreal,Gimnastic,2,0,H,2.0,0.0,H,,10.0,9.0,4.0,2.0,14.0,27.0,0.0,6.0,2.0,2.0,0.0,0.0
2006-12-10,Gimnastic,Levante,2,1,H,1.0,1.0,D,,9.0,11.0,3.0,3.0,26.0,24.0,4.0,8.0,2.0,2.0,0.0,0.0
2006-12-17,Sociedad,Gimnastic,3,2,H,0.0,1.0,A,,12.0,9.0,4.0,3.0,25.0,33.0,4.0,2.0,2.0,7.0,0.0,0.0
2006-12-20,Gimnastic,Betis,0,1,A,0.0,0.0,D,,15.0,17.0,2.0,5.0,20.0,25.0,8.0,2.0,2.0,0.0,0.0,0.0
2007-01-06,Ath Madrid,Gimnastic,0,0,D,0.0,0.0,D,,19.0,12.0,6.0,2.0,15.0,21.0,7.0,8.0,2.0,3.0,1.0,0.0
2007-01-14,Gimnastic,Getafe,1,3,A,0.0,2.0,A,,7.0,16.0,4.0,7.0,24.0,18.0,4.0,4.0,1.0,2.0,0.0,0.0
2007-01-21,Barcelona,Gimnastic,3,0,H,1.0,0.0,H,,11.0,5.0,5.0,0.0,18.0,23.0,1.0,1.0,1.0,2.0,0.0,0.0
2007-01-28,Gimnastic,Espanol,4,0,H,4.0,0.0,H,,15.0,9.0,6.0,4.0,28.0,26.0,6.0,13.0,2.0,3.0,0.0,0.0
2007-02-04,Celta,Gimnastic,1,1,D,0.0,0.0,D,,9.0,8.0,5.0,3.0,13.0,14.0,4.0,6.0,2.0,1.0,0.0,0.0
2007-02-11,Gimnastic,Osasuna,2,3,A,1.0,1.0,D,,13.0,12.0,8.0,4.0,19.0,19.0,5.0,2.0,2.0,3.0,0.0,0.0
2007-02-18,Santander,Gimnastic,4,1,H,0.0,0.0,D,,15.0,7.0,6.0,2.0,20.0,18.0,4.0,2.0,1.0,1.0,0.0,0.0
2007-02-25,Gimnastic,Valencia,1,1,D,0.0,0.0,D,,10.0,11.0,3.0,4.0,21.0,21.0,7.0,7.0,6.0,2.0,0.0,0.0
2007-03-04,Ath Bilbao,Gimnastic,0,2,A,0.0,1.0,A,,20.0,4.0,3.0,2.0,15.0,22.0,9.0,0.0,1.0,1.0,0.0,1.0
2007-03-11,Gimnastic,Sevilla,1,0,H,0.0,0.0,D,,9.0,13.0,3.0,6.0,21.0,16.0,7.0,9.0,2.0,3.0,0.0,0.0
2007-03-18,Real Madrid,Gimnastic,2,0,H,0.0,0.0,D,,20.0,6.0,8.0,0.0,24.0,13.0,5.0,0.0,2.0,2.0,0.0,1.0
2007-04-01,Gimnastic,Recreativo,1,1,D,1.0,1.0,D,,11.0,14.0,3.0,6.0,19.0,24.0,5.0,5.0,6.0,1.0,1.0,0.0
2007-04-08,La Coruna,Gimnastic,1,0,H,0.0,0.0,D,,13.0,13.0,2.0,0.0,14.0,13.0,3.0,4.0,2.0,2.0,1.0,0.0
2007-04-15,Gimnastic,Zaragoza,1,0,H,0.0,0.0,D,,9.0,7.0,4.0,1.0,21.0,15.0,6.0,6.0,3.0,4.0,0.0,0.0
2007-04-22,Mallorca,Gimnastic,1,0,H,1.0,0.0,H,,10.0,10.0,2.0,2.0,21.0,17.0,3.0,5.0,1.0,4.0,0.0,0.0
2007-04-29,Gimnastic,Villarreal,0,3,A,0.0,1.0,A,,11.0,10.0,2.0,8.0,21.0,14.0,8.0,1.0,1.0,3.0,0.0,0.0
2007-05-06,Levante,Gimnastic,2,0,H,2.0,0.0,H,,15.0,5.0,4.0,2.0,26.0,18.0,4.0,2.0,2.0,3.0,0.0,0.0
2007-05-13,Gimnastic,Sociedad,1,3,A,1.0,2.0,A,,13.0,14.0,5.0,7.0,22.0,15.0,4.0,2.0,1.0,4.0,0.0,0.0
2007-05-19,Betis,Gimnastic,1,1,D,0.0,0.0,D,,17.0,9.0,8.0,3.0,24.0,21.0,7.0,6.0,3.0,1.0,1.0,0.0
2007-05-27,Gimnastic,Ath Madrid,0,2,A,0.0,1.0,A,,16.0,9.0,5.0,3.0,20.0,20.0,13.0,4.0,3.0,3.0,1.0,0.0
2007-06-10,Getafe,Gimnastic,0,1,A,0.0,0.0,D,,15.0,6.0,6.0,1.0,20.0,20.0,4.0,2.0,3.0,0.0,0.0,0.0
2007-06-17,Gimnastic,Barcelona,1,5,A,0.0,3.0,A,,10.0,23.0,2.0,12.0,23.0,8.0,2.0,6.0,1.0,0.0,0.0,0.0
