Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2017-08-19,Girona,Ath Madrid,2,2,D,2.0,0.0,H,,13.0,9.0,6.0,3.0,15.0,15.0,6.0,0.0,2.0,4.0,0.0,1.0
2017-08-26,Girona,Malaga,1,0,H,1.0,0.0,H,,15.0,7.0,4.0,2.0,11.0,15.0,2.0,3.0,3.0,4.0,0.0,0.0
2017-09-10,Ath Bilbao,Girona,2,0,H,1.0,0.0,H,,7.0,11.0,4.0,7.0,19.0,18.0,6.0,4.0,4.0,6.0,0.0,0.0
2017-09-17,Girona,Sevilla,0,1,A,0.0,0.0,D,,13.0,13.0,0.0,8.0,14.0,19.0,8.0,1.0,2.0,5.0,0.0,0.0
2017-09-20,Leganes,Girona,0,0,D,0.0,0.0,D,,12.0,10.0,1.0,0.0,19.0,20.0,6.0,3.0,2.0,3.0,0.0,0.0
2017-09-23,Girona,Barcelona,0,3,A,0.0,1.0,A,,13.0,9.0,2.0,5.0,21.0,5.0,9.0,3.0,3.0,0.0,0.0,0.0
2017-09-29,Celta,Girona,3,3,D,2.0,2.0,D,,16.0,10.0,9.0,6.0,9.0,17.0,5.0,6.0,2.0,5.0,0.0,0.0
2017-10-15,Girona,Villarreal,1,2,A,1.0,2.0,A,,14.0,5.0,3.0,2.0,12.0,20.0,8.0,1.0,3.0,4.0,0.0,0.0
2017-10-23,La Coruna,Girona,1,2,A,0.0,1.0,A,,15.0,13.0,6.0,6.0,9.0,16.0,9.0,7.0,3.0,8.0,0.0,0.0
2017-10-29,Girona,Real Madrid,2,1,H,0.0,1.0,A,,15.0,15.0,4.0,6.0,21.0,11.0,2.0,7.0,2.0,1.0,0.0,0.0
2017-11-05,Levante,Girona,1,2,A,0.0,0.0,D,,7.0,10.0,4.0,5.0,10.0,16.0,7.0,2.0,3.0,4.0,0.0,0.0
2017-11-17,Girona,Sociedad,1,1,D,0.0,1.0,A,,14.0,14.0,4.0,5.0,28.0,10.0,3.0,6.0,4.0,2.0,0.0,0.0
2017-11-25,Betis,Girona,2,2,D,0.0,1.0,A,,12.0,13.0,6.0,7.0,9.0,16.0,3.0,5.0,2.0,1.0,0.0,0.0
2017-12-04,Girona,Alaves,2,3,A,0.0,0.0,D,,11.0,9.0,3.0,4.0,8.0,13.0,6.0,5.0,1.0,2.0,0.0,0.0
