Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2011-08-27,Granada,Betis,0,1,A,0.0,0.0,D,,11.0,18.0,2.0,3.0,12.0,16.0,8.0,5.0,2.0,2.0,0.0,0.0
2011-09-12,Malaga,Granada,4,0,H,2.0,0.0,H,,20.0,12.0,9.0,4.0,12.0,11.0,4.0,3.0,1.0,2.0,0.0,0.0
2011-09-17,Granada,Villarreal,1,0,H,0.0,0.0,D,,8.0,14.0,2.0,4.0,17.0,11.0,0.0,7.0,7.0,2.0,0.0,0.0
2011-09-20,Sociedad,Granada,1,0,H,0.0,0.0,D,,14.0,15.0,4.0,4.0,16.0,16.0,5.0,4.0,5.0,2.0,0.0,0.0
2011-09-25,Granada,Osasuna,1,1,D,0.0,1.0,A,,10.0,20.0,2.0,6.0,20.0,12.0,4.0,6.0,3.0,3.0,0.0,0.0
2011-10-01,Valencia,Granada,1,0,H,1.0,0.0,H,,23.0,14.0,11.0,5.0,14.0,1.0,10.0,4.0,2.0,0.0,0.0,0.0
2011-10-15,Granada,Ath Madrid,0,0,D,0.0,0.0,D,,18.0,20.0,3.0,8.0,13.0,17.0,10.0,8.0,3.0,5.0,0.0,0.0
2011-10-22,Sp Gijon,Granada,2,0,H,2.0,0.0,H,,16.0,19.0,5.0,5.0,15.0,11.0,5.0,5.0,2.0,1.0,0.0,0.0
2011-10-25,Granada,Barcelona,0,1,A,0.0,1.0,A,,2.0,17.0,0.0,7.0,14.0,9.0,2.0,10.0,3.0,4.0,2.0,0.0
2011-10-31,Sevilla,Granada,1,2,A,1.0,0.0,H,,31.0,15.0,13.0,4.0,7.0,12.0,4.0,7.0,1.0,1.0,0.0,0.0
2011-11-06,Granada,Santander,0,0,D,0.0,0.0,D,,16.0,14.0,3.0,2.0,13.0,20.0,5.0,5.0,4.0,5.0,0.0,1.0
2011-11-27,Ath Bilbao,Granada,0,1,A,0.0,1.0,A,,18.0,13.0,4.0,5.0,11.0,15.0,8.0,3.0,2.0,4.0,0.0,0.0
2011-12-04,Granada,Zaragoza,1,0,H,1.0,0.0,H,,11.0,18.0,5.0,5.0,8.0,16.0,5.0,6.0,2.0,2.0,0.0,0.0
2011-12-07,Granada,Mallorca,2,2,D,0.0,1.0,A,,13.0,11.0,6.0,4.0,10.0,23.0,3.0,5.0,4.0,3.0,0.0,0.0
2011-12-11,Getafe,Granada,1,0,H,0.0,0.0,D,,19.0,7.0,7.0,2.0,12.0,9.0,5.0,3.0,4.0,2.0,0.0,0.0
2011-12-18,Granada,Levante,2,1,H,2.0,0.0,H,,17.0,13.0,6.0,4.0,10.0,9.0,4.0,6.0,1.0,5.0,0.0,0.0
2012-01-07,Real Madrid,Granada,5,1,H,2.0,1.0,H,,35.0,12.0,12.0,4.0,13.0,9.0,10.0,8.0,1.0,1.0,0.0,0.0
