Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1996-09-01,Hercules,Extremadura,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1996-09-08,Real Madrid,Hercules,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1996-09-15,Hercules,Celta,0,2,A,0.0,2.0,A,,,,,,,,,,,,,
1996-09-22,La Coruna,Hercules,4,0,H,3.0,0.0,H,,,,,,,,,,,,,
1996-09-30,Ath Madrid,Hercules,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-10-02,Hercules,Betis,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1996-10-13,Vallecano,Hercules,2,1,H,2.0,1.0,H,,,,,,,,,,,,,
1996-10-19,Hercules,Oviedo,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1996-10-23,Espanol,Hercules,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
1996-10-27,Hercules,Santander,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1996-11-03,Sociedad,Hercules,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1996-11-10,Hercules,Zaragoza,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1996-11-16,Tenerife,Hercules,3,1,H,0.0,0.0,D,,,,,,,,,,,,,
1996-11-24,Hercules,Compostela,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-12-01,Logrones,Hercules,3,2,H,2.0,2.0,D,,,,,,,,,,,,,
1996-12-09,Hercules,Sevilla,3,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-12-23,Valencia,Hercules,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1997-01-05,Hercules,Sp Gijon,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1997-01-13,Barcelona,Hercules,2,3,A,2.0,2.0,D,,,,,,,,,,,,,
1997-01-19,Hercules,Valladolid,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-01-26,Ath Bilbao,Hercules,5,0,H,2.0,0.0,H,,,,,,,,,,,,,
1997-02-03,Extremadura,Hercules,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-02-09,Hercules,Real Madrid,2,3,A,2.0,2.0,D,,,,,,,,,,,,,
1997-02-16,Celta,Hercules,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1997-02-19,Hercules,La Coruna,1,3,A,1.0,2.0,A,,,,,,,,,,,,,
1997-02-22,Hercules,Ath Madrid,0,2,A,0.0,2.0,A,,,,,,,,,,,,,
1997-03-02,Betis,Hercules,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
