Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2018-08-19,Eibar,Huesca,1,2,A,0.0,2.0,A,,18.0,8.0,6.0,6.0,12.0,13.0,7.0,0.0,1.0,1.0,0.0,0.0
2018-08-27,Ath Bilbao,Huesca,2,2,D,0.0,0.0,D,,14.0,9.0,4.0,4.0,17.0,17.0,3.0,2.0,2.0,2.0,0.0,0.0
2018-09-02,Barcelona,Huesca,8,2,H,3.0,2.0,H,,31.0,7.0,15.0,3.0,6.0,12.0,9.0,4.0,1.0,2.0,0.0,0.0
2018-09-14,Huesca,Vallecano,0,1,A,0.0,1.0,A,,14.0,14.0,4.0,2.0,16.0,18.0,6.0,3.0,2.0,1.0,0.0,0.0
2018-09-21,Huesca,Sociedad,0,1,A,0.0,0.0,D,,13.0,7.0,3.0,1.0,16.0,12.0,7.0,5.0,5.0,3.0,0.0,2.0
2018-09-25,Ath Madrid,Huesca,3,0,H,3.0,0.0,H,,17.0,8.0,5.0,1.0,1.0,14.0,4.0,3.0,0.0,2.0,0.0,0.0
2018-09-30,Huesca,Girona,1,1,D,0.0,1.0,A,,13.0,14.0,6.0,4.0,14.0,14.0,5.0,5.0,4.0,2.0,0.0,0.0
2018-10-07,Valladolid,Huesca,1,0,H,1.0,0.0,H,,9.0,11.0,3.0,1.0,9.0,13.0,6.0,2.0,1.0,2.0,0.0,0.0
2018-10-21,Huesca,Espanol,0,2,A,0.0,1.0,A,,10.0,6.0,2.0,2.0,21.0,14.0,6.0,4.0,3.0,3.0,0.0,0.0
2018-10-28,Sevilla,Huesca,2,1,H,0.0,0.0,D,,15.0,11.0,4.0,2.0,9.0,14.0,4.0,2.0,2.0,3.0,0.0,0.0
2018-11-04,Huesca,Getafe,1,1,D,0.0,0.0,D,,18.0,8.0,7.0,2.0,18.0,13.0,10.0,2.0,5.0,3.0,0.0,0.0
2018-11-11,Alaves,Huesca,2,1,H,1.0,1.0,D,,13.0,9.0,5.0,2.0,20.0,13.0,5.0,4.0,3.0,4.0,0.0,0.0
2018-11-24,Huesca,Levante,2,2,D,1.0,1.0,D,,32.0,5.0,12.0,3.0,11.0,8.0,7.0,2.0,4.0,3.0,1.0,0.0
2018-12-01,Celta,Huesca,2,0,H,1.0,0.0,H,,12.0,8.0,5.0,3.0,14.0,14.0,4.0,4.0,2.0,3.0,0.0,0.0
2018-12-09,Huesca,Real Madrid,0,1,A,0.0,1.0,A,,11.0,5.0,4.0,4.0,12.0,10.0,11.0,6.0,2.0,2.0,0.0,0.0
2018-12-16,Huesca,Villarreal,2,2,D,1.0,0.0,H,,30.0,10.0,13.0,5.0,12.0,11.0,13.0,2.0,4.0,5.0,0.0,1.0
2018-12-23,Valencia,Huesca,2,1,H,1.0,0.0,H,,19.0,11.0,8.0,4.0,14.0,15.0,12.0,5.0,7.0,4.0,0.0,0.0
2019-01-05,Huesca,Betis,2,1,H,0.0,0.0,D,,11.0,7.0,6.0,1.0,21.0,7.0,4.0,6.0,3.0,2.0,0.0,0.0
2019-01-12,Leganes,Huesca,1,0,H,0.0,0.0,D,,14.0,9.0,7.0,3.0,11.0,9.0,4.0,4.0,3.0,3.0,0.0,0.0
2019-01-19,Huesca,Ath Madrid,0,3,A,0.0,1.0,A,,14.0,15.0,3.0,8.0,15.0,13.0,6.0,5.0,2.0,2.0,0.0,0.0
2019-01-27,Sociedad,Huesca,0,0,D,0.0,0.0,D,,8.0,8.0,1.0,1.0,9.0,22.0,5.0,2.0,0.0,3.0,0.0,0.0
2019-02-01,Huesca,Valladolid,4,0,H,1.0,0.0,H,,11.0,9.0,7.0,4.0,17.0,11.0,7.0,7.0,6.0,2.0,0.0,0.0
2019-02-09,Girona,Huesca,0,2,A,0.0,2.0,A,,13.0,6.0,7.0,6.0,9.0,18.0,13.0,2.0,3.0,1.0,1.0,0.0
2019-02-18,Huesca,Ath Bilbao,0,1,A,0.0,1.0,A,,12.0,9.0,2.0,4.0,16.0,11.0,3.0,5.0,5.0,1.0,0.0,0.0
