Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,La Coruna,Celta,0,0,D,,,,,,,,,,,,,,,,
1993-09-12,Sp Gijon,La Coruna,0,2,A,,,,,,,,,,,,,,,,
1993-09-19,La Coruna,Real Madrid,4,0,H,,,,,,,,,,,,,,,,
1993-09-26,Sevilla,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1993-10-03,La Coruna,Sociedad,0,1,A,,,,,,,,,,,,,,,,
1993-10-06,Albacete,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1993-10-17,La Coruna,Barcelona,1,0,H,,,,,,,,,,,,,,,,
1993-10-24,Zaragoza,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1993-10-31,La Coruna,Osasuna,3,1,H,,,,,,,,,,,,,,,,
1993-11-07,Valladolid,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1993-11-10,Ath Bilbao,La Coruna,3,1,H,,,,,,,,,,,,,,,,
1993-11-21,La Coruna,Oviedo,4,0,H,,,,,,,,,,,,,,,,
1993-11-28,Ath Madrid,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1993-12-05,La Coruna,Santander,1,0,H,,,,,,,,,,,,,,,,
1993-12-12,Tenerife,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1993-12-19,La Coruna,Lerida,2,0,H,,,,,,,,,,,,,,,,
1994-01-02,Vallecano,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1994-01-09,La Coruna,Logrones,3,0,H,,,,,,,,,,,,,,,,
1994-01-16,Valencia,La Coruna,1,3,A,,,,,,,,,,,,,,,,
1994-01-23,Celta,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1994-01-30,La Coruna,Sp Gijon,2,1,H,,,,,,,,,,,,,,,,
1994-02-06,Real Madrid,La Coruna,2,0,H,,,,,,,,,,,,,,,,
1994-02-13,La Coruna,Sevilla,2,0,H,,,,,,,,,,,,,,,,
1994-02-20,Sociedad,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1994-02-23,La Coruna,Albacete,5,1,H,,,,,,,,,,,,,,,,
1994-02-27,Barcelona,La Coruna,3,0,H,,,,,,,,,,,,,,,,
1994-03-06,La Coruna,Zaragoza,1,1,D,,,,,,,,,,,,,,,,
1994-03-13,Osasuna,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1994-03-20,La Coruna,Valladolid,0,0,D,,,,,,,,,,,,,,,,
1994-03-27,La Coruna,Ath Bilbao,4,1,H,,,,,,,,,,,,,,,,
1994-04-03,Oviedo,La Coruna,2,5,A,,,,,,,,,,,,,,,,
1994-04-06,La Coruna,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,
1994-04-10,Santander,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1994-04-17,La Coruna,Tenerife,2,0,H,,,,,,,,,,,,,,,,
1994-04-24,Lerida,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1994-05-01,La Coruna,Vallecano,0,0,D,,,,,,,,,,,,,,,,
1994-05-08,Logrones,La Coruna,0,2,A,,,,,,,,,,,,,,,,
1994-05-15,La Coruna,Valencia,0,0,D,,,,,,,,,,,,,,,,
1994-09-04,Ath Bilbao,La Coruna,0,2,A,,,,,,,,,,,,,,,,
1994-09-10,La Coruna,Sp Gijon,2,1,H,,,,,,,,,,,,,,,,
1994-09-18,Santander,La Coruna,1,2,A,,,,,,,,,,,,,,,,
1994-09-24,La Coruna,Espanol,1,1,D,,,,,,,,,,,,,,,,
1994-10-01,Compostela,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1994-10-09,La Coruna,Zaragoza,3,3,D,,,,,,,,,,,,,,,,
1994-10-15,Ath Madrid,La Coruna,1,1,D,,,,,,,,,,,,,,,,
1994-10-23,La Coruna,Valencia,3,1,H,,,,,,,,,,,,,,,,
1994-10-29,Tenerife,La Coruna,1,1,D,,,,,,,,,,,,,,,,
1994-11-06,La Coruna,Sociedad,3,1,H,,,,,,,,,,,,,,,,
1994-11-19,Oviedo,La Coruna,2,0,H,,,,,,,,,,,,,,,,
1994-11-27,La Coruna,Valladolid,4,0,H,,,,,,,,,,,,,,,,
1994-12-03,Barcelona,La Coruna,1,1,D,,,,,,,,,,,,,,,,
1994-12-11,La Coruna,Sevilla,5,1,H,,,,,,,,,,,,,,,,
1994-12-21,La Coruna,Celta,1,2,A,,,,,,,,,,,,,,,,
1995-01-08,Betis,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1995-01-14,La Coruna,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1995-01-21,Logrones,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1995-01-29,La Coruna,Albacete,2,1,H,,,,,,,,,,,,,,,,
1995-02-04,La Coruna,Ath Bilbao,0,0,D,,,,,,,,,,,,,,,,
1995-02-12,Sp Gijon,La Coruna,3,1,H,,,,,,,,,,,,,,,,
1995-02-19,La Coruna,Santander,3,0,H,,,,,,,,,,,,,,,,
1995-02-26,Espanol,La Coruna,1,0,H,,,,,,,,,,,,,,,,
1995-03-05,La Coruna,Compostela,1,0,H,,,,,,,,,,,,,,,,
1995-03-12,Zaragoza,La Coruna,1,0,H,,,,,,,,,,,,,,,,
1995-03-18,La Coruna,Ath Madrid,0,1,A,,,,,,,,,,,,,,,,
1995-04-01,Valencia,La Coruna,1,2,A,,,,,,,,,,,,,,,,
1995-04-09,La Coruna,Tenerife,4,1,H,,,,,,,,,,,,,,,,
1995-04-16,Sociedad,La Coruna,1,3,A,,,,,,,,,,,,,,,,
1995-04-23,La Coruna,Oviedo,2,2,D,,,,,,,,,,,,,,,,
1995-04-30,Valladolid,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1995-05-06,La Coruna,Barcelona,1,0,H,,,,,,,,,,,,,,,,
1995-05-13,Sevilla,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1995-05-21,Celta,La Coruna,0,2,A,,,,,,,,,,,,,,,,
1995-05-27,La Coruna,Betis,2,0,H,,,,,,,,,,,,,,,,
1995-06-03,Real Madrid,La Coruna,2,1,H,,,,,,,,,,,,,,,,
1995-06-10,La Coruna,Logrones,5,0,H,,,,,,,,,,,,,,,,
1995-06-18,Albacete,La Coruna,2,8,A,,,,,,,,,,,,,,,,
1995-09-02,La Coruna,Valencia,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1995-09-10,Compostela,La Coruna,4,0,H,2.0,0.0,H,,,,,,,,,,,,,
1995-09-17,La Coruna,Salamanca,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-09-24,Tenerife,La Coruna,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-01,La Coruna,Albacete,5,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-10-04,Sociedad,La Coruna,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1995-10-08,La Coruna,Santander,2,3,A,0.0,1.0,A,,,,,,,,,,,,,
1995-10-14,Ath Madrid,La Coruna,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-10-22,La Coruna,Sp Gijon,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-10-28,Sevilla,La Coruna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-11-05,La Coruna,Espanol,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1995-11-11,Celta,La Coruna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-11-19,Ath Bilbao,La Coruna,1,0,H,,,,,,,,,,,,,,,,
1995-11-26,La Coruna,Valladolid,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
1995-12-03,Merida,La Coruna,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
1995-12-10,La Coruna,Zaragoza,2,3,A,1.0,2.0,A,,,,,,,,,,,,,
1995-12-17,Vallecano,La Coruna,0,6,A,0.0,3.0,A,,,,,,,,,,,,,
1995-12-21,La Coruna,Real Madrid,3,0,H,3.0,0.0,H,,,,,,,,,,,,,
1996-01-03,Oviedo,La Coruna,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
1996-01-07,La Coruna,Betis,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-01-14,Barcelona,La Coruna,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1996-01-20,Valencia,La Coruna,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
1996-01-24,La Coruna,Compostela,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-01-27,Salamanca,La Coruna,0,5,A,0.0,3.0,A,,,,,,,,,,,,,
1996-02-04,La Coruna,Tenerife,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1996-02-11,Albacete,La Coruna,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-02-18,La Coruna,Sociedad,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1996-02-24,Santander,La Coruna,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1996-03-03,La Coruna,Ath Madrid,2,2,D,0.0,1.0,A,,,,,,,,,,,,,
1996-03-10,Sp Gijon,La Coruna,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1996-03-17,La Coruna,Sevilla,3,2,H,2.0,1.0,H,,,,,,,,,,,,,
1996-03-24,Espanol,La Coruna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-03-27,La Coruna,Celta,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1996-03-31,La Coruna,Ath Bilbao,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-04-07,Valladolid,La Coruna,2,2,D,2.0,1.0,H,,,,,,,,,,,,,
1996-04-14,La Coruna,Merida,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
1996-04-21,Zaragoza,La Coruna,2,3,A,1.0,2.0,A,,,,,,,,,,,,,
1996-04-28,La Coruna,Vallecano,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-05-05,Real Madrid,La Coruna,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-05-12,La Coruna,Oviedo,0,4,A,0.0,1.0,A,,,,,,,,,,,,,
1996-05-19,Betis,La Coruna,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-05-26,La Coruna,Barcelona,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1996-08-31,La Coruna,Real Madrid,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1996-09-08,Celta,La Coruna,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1996-09-15,Ath Madrid,La Coruna,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
1996-09-22,La Coruna,Hercules,4,0,H,3.0,0.0,H,,,,,,,,,,,,,
1996-09-28,Betis,La Coruna,1,2,A,1.0,0.0,H,,,,,,,,,,,,,
1996-10-02,La Coruna,Vallecano,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1996-10-13,Oviedo,La Coruna,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1996-10-19,La Coruna,Espanol,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-10-23,Santander,La Coruna,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1996-10-27,La Coruna,Sociedad,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-11-03,Zaragoza,La Coruna,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
1996-11-10,La Coruna,Tenerife,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-11-16,Compostela,La Coruna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-11-24,La Coruna,Logrones,4,1,H,2.0,1.0,H,,,,,,,,,,,,,
1996-12-01,Sevilla,La Coruna,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1996-12-08,La Coruna,Valencia,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-12-22,Sp Gijon,La Coruna,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1997-01-04,La Coruna,Barcelona,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1997-01-12,Valladolid,La Coruna,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1997-01-19,La Coruna,Ath Bilbao,2,2,D,2.0,1.0,H,,,,,,,,,,,,,
1997-01-25,Extremadura,La Coruna,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-02-02,Real Madrid,La Coruna,3,2,H,1.0,1.0,D,,,,,,,,,,,,,
1997-02-09,La Coruna,Celta,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
1997-02-16,La Coruna,Ath Madrid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-02-19,Hercules,La Coruna,1,3,A,1.0,2.0,A,,,,,,,,,,,,,
1997-02-23,La Coruna,Betis,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1997-03-01,Vallecano,La Coruna,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
1997-03-09,La Coruna,Oviedo,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1997-03-15,Espanol,La Coruna,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1997-03-23,La Coruna,Santander,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1997-03-29,Sociedad,La Coruna,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1997-04-06,La Coruna,Zaragoza,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-04-12,Tenerife,La Coruna,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1997-04-16,La Coruna,Compostela,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-04-20,Logrones,La Coruna,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
1997-05-03,La Coruna,Sevilla,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-05-12,Valencia,La Coruna,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1997-05-18,La Coruna,Sp Gijon,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-05-24,Barcelona,La Coruna,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-06-01,La Coruna,Valladolid,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
1997-06-16,Ath Bilbao,La Coruna,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-06-22,La Coruna,Extremadura,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-08-31,Tenerife,La Coruna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-09-07,La Coruna,Mallorca,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1997-09-13,Barcelona,La Coruna,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1997-09-28,La Coruna,Santander,4,1,H,2.0,1.0,H,,,,,,,,,,,,,
1997-10-05,Real Madrid,La Coruna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-10-15,La Coruna,Valladolid,1,3,A,1.0,3.0,A,,,,,,,,,,,,,
1997-10-18,Ath Bilbao,La Coruna,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1997-10-25,La Coruna,Celta,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1997-11-02,Oviedo,La Coruna,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1997-11-09,La Coruna,Merida,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
