Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2000-09-10,Las Palmas,Alaves,0,3,A,0.0,1.0,A,,,,,,,,,,,,,
2000-09-17,Oviedo,Las Palmas,2,2,D,0.0,1.0,A,,,,,,,,,,,,,
2000-09-23,Las Palmas,Valladolid,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
2000-10-01,Valencia,Las Palmas,5,1,H,2.0,0.0,H,,,,,,,,,,,,,
2000-10-14,Las Palmas,Malaga,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
2000-10-22,Ath Bilbao,Las Palmas,0,3,A,0.0,1.0,A,,,,,,,,,,,,,
2000-10-28,Las Palmas,Santander,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2000-10-31,La Coruna,Las Palmas,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-11-04,Las Palmas,Barcelona,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2000-11-12,Real Madrid,Las Palmas,5,1,H,2.0,1.0,H,,,,,,,,,,,,,
2000-11-18,Las Palmas,Mallorca,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2000-11-26,Numancia,Las Palmas,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2000-12-03,Sociedad,Las Palmas,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2000-12-09,Las Palmas,Villarreal,1,5,A,0.0,2.0,A,,,,,,,,,,,,,
2000-12-16,Zaragoza,Las Palmas,3,1,H,0.0,0.0,D,,,,,,,,,,,,,
2000-12-20,Las Palmas,Osasuna,3,2,H,0.0,0.0,D,,,,,,,,,,,,,
2001-01-07,Celta,Las Palmas,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2001-01-14,Las Palmas,Espanol,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-01-21,Vallecano,Las Palmas,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
2001-01-28,Alaves,Las Palmas,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2001-02-04,Las Palmas,Oviedo,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2001-02-11,Valladolid,Las Palmas,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2001-02-17,Las Palmas,Valencia,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
2001-02-25,Malaga,Las Palmas,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
2001-03-04,Las Palmas,Ath Bilbao,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2001-03-11,Santander,Las Palmas,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
2001-03-17,Las Palmas,La Coruna,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
2001-04-01,Barcelona,Las Palmas,4,1,H,2.0,1.0,H,,,,,,,,,,,,,
2001-04-08,Las Palmas,Real Madrid,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2001-04-15,Mallorca,Las Palmas,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
2001-04-22,Las Palmas,Numancia,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
2001-04-29,Las Palmas,Sociedad,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2001-05-06,Villarreal,Las Palmas,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
