Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2016-08-22,Celta,Leganes,0,1,A,0.0,0.0,D,,10.0,15.0,2.0,6.0,5.0,13.0,8.0,4.0,4.0,1.0,0.0,1.0
2016-08-27,Leganes,Ath Madrid,0,0,D,0.0,0.0,D,,6.0,10.0,1.0,3.0,19.0,5.0,1.0,8.0,3.0,1.0,0.0,0.0
2016-09-11,Sp Gijon,Leganes,2,1,H,2.0,0.0,H,,7.0,9.0,4.0,2.0,12.0,16.0,3.0,5.0,0.0,2.0,0.0,0.0
2016-09-17,Leganes,Barcelona,1,5,A,0.0,3.0,A,,15.0,10.0,6.0,7.0,28.0,7.0,2.0,5.0,4.0,2.0,0.0,0.0
2016-09-22,La Coruna,Leganes,1,2,A,1.0,0.0,H,,12.0,8.0,5.0,2.0,20.0,18.0,7.0,1.0,0.0,3.0,0.0,0.0
2016-09-25,Leganes,Valencia,1,2,A,1.0,1.0,D,,7.0,10.0,3.0,4.0,19.0,17.0,1.0,5.0,4.0,4.0,0.0,0.0
2016-10-01,Granada,Leganes,0,1,A,0.0,0.0,D,,8.0,9.0,1.0,3.0,13.0,20.0,6.0,4.0,1.0,0.0,0.0,0.0
2016-10-15,Leganes,Sevilla,2,3,A,0.0,1.0,A,,19.0,5.0,6.0,4.0,17.0,20.0,5.0,2.0,2.0,5.0,0.0,0.0
2016-10-23,Malaga,Leganes,4,0,H,2.0,0.0,H,,24.0,14.0,8.0,5.0,12.0,15.0,5.0,8.0,1.0,3.0,0.0,0.0
2016-10-28,Leganes,Sociedad,0,2,A,0.0,1.0,A,,7.0,9.0,4.0,5.0,19.0,15.0,1.0,4.0,5.0,2.0,0.0,0.0
2016-11-06,Real Madrid,Leganes,3,0,H,2.0,0.0,H,,17.0,7.0,7.0,3.0,7.0,20.0,2.0,2.0,3.0,5.0,0.0,0.0
2016-11-21,Leganes,Osasuna,2,0,H,1.0,0.0,H,,15.0,5.0,5.0,2.0,13.0,17.0,3.0,2.0,2.0,3.0,0.0,0.0
2016-11-26,Espanol,Leganes,3,0,H,0.0,0.0,D,,8.0,8.0,4.0,3.0,19.0,16.0,3.0,4.0,1.0,2.0,0.0,0.0
2016-12-03,Leganes,Villarreal,0,0,D,0.0,0.0,D,,11.0,9.0,4.0,3.0,21.0,16.0,2.0,4.0,6.0,3.0,0.0,0.0
2016-12-10,Las Palmas,Leganes,1,1,D,1.0,0.0,H,,5.0,11.0,1.0,6.0,17.0,18.0,6.0,4.0,3.0,3.0,0.0,0.0
2016-12-18,Leganes,Eibar,1,1,D,1.0,0.0,H,,8.0,15.0,2.0,4.0,10.0,10.0,3.0,6.0,2.0,2.0,1.0,0.0
2017-01-08,Betis,Leganes,2,0,H,0.0,0.0,D,,16.0,9.0,3.0,3.0,10.0,20.0,4.0,2.0,2.0,6.0,0.0,0.0
2017-01-14,Leganes,Ath Bilbao,0,0,D,0.0,0.0,D,,15.0,10.0,5.0,2.0,20.0,11.0,4.0,8.0,3.0,3.0,0.0,0.0
