Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Tenerife,Lerida,1,0,H,,,,,,,,,,,,,,,,
1993-09-12,Lerida,Ath Bilbao,1,2,A,,,,,,,,,,,,,,,,
1993-09-19,Lerida,Vallecano,0,1,A,,,,,,,,,,,,,,,,
1993-09-26,Logrones,Lerida,2,1,H,,,,,,,,,,,,,,,,
1993-10-03,Lerida,Valencia,1,1,D,,,,,,,,,,,,,,,,
1993-10-06,Celta,Lerida,1,0,H,,,,,,,,,,,,,,,,
1993-10-17,Lerida,Sp Gijon,1,1,D,,,,,,,,,,,,,,,,
1993-10-24,Real Madrid,Lerida,5,0,H,,,,,,,,,,,,,,,,
1993-10-31,Lerida,Sevilla,0,3,A,,,,,,,,,,,,,,,,
1993-11-07,Sociedad,Lerida,1,3,A,,,,,,,,,,,,,,,,
1993-11-10,Lerida,Albacete,0,1,A,,,,,,,,,,,,,,,,
1993-11-21,Barcelona,Lerida,0,1,A,,,,,,,,,,,,,,,,
1993-11-28,Lerida,Zaragoza,0,1,A,,,,,,,,,,,,,,,,
1993-12-05,Osasuna,Lerida,1,0,H,,,,,,,,,,,,,,,,
1993-12-12,Lerida,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1993-12-19,La Coruna,Lerida,2,0,H,,,,,,,,,,,,,,,,
1994-01-02,Lerida,Oviedo,1,1,D,,,,,,,,,,,,,,,,
1994-01-09,Ath Madrid,Lerida,0,0,D,,,,,,,,,,,,,,,,
1994-01-16,Lerida,Santander,0,0,D,,,,,,,,,,,,,,,,
1994-01-23,Lerida,Tenerife,1,1,D,,,,,,,,,,,,,,,,
1994-01-30,Ath Bilbao,Lerida,4,0,H,,,,,,,,,,,,,,,,
1994-02-06,Vallecano,Lerida,1,2,A,,,,,,,,,,,,,,,,
1994-02-13,Lerida,Logrones,1,1,D,,,,,,,,,,,,,,,,
1994-02-20,Valencia,Lerida,3,3,D,,,,,,,,,,,,,,,,
1994-02-23,Lerida,Celta,0,0,D,,,,,,,,,,,,,,,,
1994-02-27,Sp Gijon,Lerida,1,1,D,,,,,,,,,,,,,,,,
1994-03-06,Lerida,Real Madrid,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Sevilla,Lerida,2,1,H,,,,,,,,,,,,,,,,
1994-03-20,Lerida,Sociedad,1,0,H,,,,,,,,,,,,,,,,
1994-03-27,Albacete,Lerida,2,1,H,,,,,,,,,,,,,,,,
1994-04-03,Lerida,Barcelona,1,2,A,,,,,,,,,,,,,,,,
1994-04-06,Zaragoza,Lerida,1,1,D,,,,,,,,,,,,,,,,
1994-04-10,Lerida,Osasuna,1,2,A,,,,,,,,,,,,,,,,
1994-04-17,Valladolid,Lerida,0,2,A,,,,,,,,,,,,,,,,
1994-04-24,Lerida,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1994-05-01,Oviedo,Lerida,0,0,D,,,,,,,,,,,,,,,,
1994-05-08,Lerida,Ath Madrid,0,1,A,,,,,,,,,,,,,,,,
1994-05-15,Santander,Lerida,2,1,H,,,,,,,,,,,,,,,,
