Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2004-08-29,Sociedad,Levante,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
2004-09-12,Levante,Santander,3,1,H,0.0,1.0,A,,,,,,,,,,,,,
2004-09-19,Sevilla,Levante,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-09-22,Levante,Ath Madrid,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-09-26,Zaragoza,Levante,4,3,H,1.0,2.0,A,,,,,,,,,,,,,
2004-10-03,Levante,Mallorca,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
2004-10-17,Numancia,Levante,1,3,A,0.0,1.0,A,,,,,,,,,,,,,
2004-10-24,Levante,Espanol,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
2004-10-31,Osasuna,Levante,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2004-11-07,Levante,Ath Bilbao,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2004-11-13,La Coruna,Levante,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2004-11-21,Levante,Betis,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
2004-11-28,Real Madrid,Levante,5,0,H,1.0,0.0,H,,,,,,,,,,,,,
2004-12-05,Levante,Getafe,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2004-12-12,Malaga,Levante,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2004-12-18,Levante,Albacete,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
2004-12-21,Barcelona,Levante,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2005-01-08,Valencia,Levante,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
2005-01-16,Levante,Villarreal,2,4,A,0.0,2.0,A,,,,,,,,,,,,,
2005-01-23,Levante,Sociedad,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2005-01-30,Santander,Levante,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
2005-02-06,Levante,Sevilla,0,3,A,0.0,1.0,A,,,,,,,,,,,,,
2005-02-13,Ath Madrid,Levante,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2005-02-20,Levante,Zaragoza,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2005-02-26,Mallorca,Levante,1,2,A,0.0,0.0,D,,,,,,,,,,,,,
2005-03-02,Levante,Numancia,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
2005-03-06,Espanol,Levante,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
2005-03-13,Levante,Osasuna,4,0,H,3.0,0.0,H,,,,,,,,,,,,,
2005-03-20,Ath Bilbao,Levante,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
2005-04-03,Levante,La Coruna,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2005-04-10,Betis,Levante,2,2,D,2.0,1.0,H,,,,,,,,,,,,,
2005-04-17,Levante,Real Madrid,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
2005-04-24,Getafe,Levante,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2005-05-01,Levante,Malaga,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2005-05-08,Albacete,Levante,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
2005-05-14,Levante,Barcelona,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2005-05-22,Levante,Valencia,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2005-05-29,Villarreal,Levante,4,1,H,2.0,1.0,H,,,,,,,,,,,,,
2006-08-29,Sevilla,Levante,4,0,H,2.0,0.0,H,,18.0,6.0,10.0,3.0,1.0,3.0,6.0,1.0,1.0,3.0,0.0,0.0
2006-09-10,Levante,Real Madrid,1,4,A,1.0,2.0,A,,10.0,15.0,2.0,6.0,21.0,13.0,1.0,0.0,3.0,1.0,2.0,0.0
2006-09-17,Recreativo,Levante,0,1,A,0.0,0.0,D,,18.0,8.0,4.0,2.0,16.0,26.0,6.0,5.0,0.0,4.0,0.0,0.0
2006-09-24,Levante,La Coruna,2,0,H,1.0,0.0,H,,9.0,13.0,5.0,2.0,21.0,25.0,1.0,4.0,1.0,3.0,1.0,1.0
2006-10-01,Zaragoza,Levante,2,2,D,0.0,2.0,A,,22.0,14.0,6.0,5.0,12.0,21.0,11.0,3.0,0.0,2.0,0.0,0.0
2006-10-15,Levante,Mallorca,0,1,A,0.0,1.0,A,,9.0,5.0,1.0,1.0,28.0,13.0,5.0,2.0,4.0,4.0,1.0,0.0
2006-10-21,Villarreal,Levante,1,1,D,0.0,0.0,D,,10.0,15.0,2.0,3.0,19.0,21.0,2.0,5.0,3.0,4.0,0.0,0.0
2006-10-29,Levante,Espanol,0,0,D,0.0,0.0,D,,12.0,7.0,4.0,0.0,27.0,19.0,8.0,0.0,3.0,3.0,0.0,0.0
