Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Ath Madrid,Logrones,1,0,H,,,,,,,,,,,,,,,,
1993-09-12,Logrones,Santander,0,1,A,,,,,,,,,,,,,,,,
1993-09-19,Tenerife,Logrones,2,0,H,,,,,,,,,,,,,,,,
1993-09-26,Logrones,Lerida,2,1,H,,,,,,,,,,,,,,,,
1993-10-03,Vallecano,Logrones,3,1,H,,,,,,,,,,,,,,,,
1993-10-06,Logrones,Ath Bilbao,4,2,H,,,,,,,,,,,,,,,,
1993-10-17,Logrones,Valencia,2,0,H,,,,,,,,,,,,,,,,
1993-10-24,Celta,Logrones,2,0,H,,,,,,,,,,,,,,,,
1993-10-31,Logrones,Sp Gijon,1,2,A,,,,,,,,,,,,,,,,
1993-11-07,Real Madrid,Logrones,2,1,H,,,,,,,,,,,,,,,,
1993-11-10,Logrones,Sevilla,1,1,D,,,,,,,,,,,,,,,,
1993-11-21,Sociedad,Logrones,2,2,D,,,,,,,,,,,,,,,,
1993-11-28,Logrones,Albacete,2,2,D,,,,,,,,,,,,,,,,
1993-12-05,Barcelona,Logrones,2,2,D,,,,,,,,,,,,,,,,
1993-12-12,Logrones,Zaragoza,2,2,D,,,,,,,,,,,,,,,,
1993-12-19,Osasuna,Logrones,1,3,A,,,,,,,,,,,,,,,,
1994-01-02,Logrones,Valladolid,0,0,D,,,,,,,,,,,,,,,,
1994-01-09,La Coruna,Logrones,3,0,H,,,,,,,,,,,,,,,,
1994-01-16,Logrones,Oviedo,2,2,D,,,,,,,,,,,,,,,,
1994-01-23,Logrones,Ath Madrid,1,0,H,,,,,,,,,,,,,,,,
1994-01-30,Santander,Logrones,0,0,D,,,,,,,,,,,,,,,,
1994-02-06,Logrones,Tenerife,1,2,A,,,,,,,,,,,,,,,,
1994-02-13,Lerida,Logrones,1,1,D,,,,,,,,,,,,,,,,
1994-02-20,Logrones,Vallecano,1,1,D,,,,,,,,,,,,,,,,
1994-02-23,Ath Bilbao,Logrones,0,0,D,,,,,,,,,,,,,,,,
1994-02-27,Valencia,Logrones,3,1,H,,,,,,,,,,,,,,,,
1994-03-06,Logrones,Celta,1,1,D,,,,,,,,,,,,,,,,
1994-03-13,Sp Gijon,Logrones,1,2,A,,,,,,,,,,,,,,,,
1994-03-20,Logrones,Real Madrid,3,4,A,,,,,,,,,,,,,,,,
1994-03-27,Sevilla,Logrones,4,1,H,,,,,,,,,,,,,,,,
1994-04-03,Logrones,Sociedad,2,0,H,,,,,,,,,,,,,,,,
1994-04-06,Albacete,Logrones,2,2,D,,,,,,,,,,,,,,,,
1994-04-10,Logrones,Barcelona,0,0,D,,,,,,,,,,,,,,,,
1994-04-17,Zaragoza,Logrones,1,1,D,,,,,,,,,,,,,,,,
1994-04-24,Logrones,Osasuna,3,2,H,,,,,,,,,,,,,,,,
