Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1999-08-22,Malaga,Espanol,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-08-29,Alaves,Malaga,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
1999-09-12,Malaga,Betis,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-09-18,Valladolid,Malaga,4,2,H,1.0,1.0,D,,,,,,,,,,,,,
1999-09-25,Malaga,Real Madrid,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1999-10-02,Numancia,Malaga,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1999-10-12,Malaga,Ath Bilbao,3,4,A,1.0,1.0,D,,,,,,,,,,,,,
1999-10-16,La Coruna,Malaga,4,1,H,1.0,1.0,D,,,,,,,,,,,,,
1999-10-24,Mallorca,Malaga,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
1999-10-30,Malaga,Valencia,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1999-11-07,Barcelona,Malaga,1,2,A,1.0,2.0,A,,,,,,,,,,,,,
1999-11-21,Malaga,Oviedo,4,0,H,2.0,0.0,H,,,,,,,,,,,,,
1999-11-27,Sevilla,Malaga,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1999-12-05,Malaga,Ath Madrid,2,3,A,1.0,2.0,A,,,,,,,,,,,,,
1999-12-12,Vallecano,Malaga,4,1,H,2.0,1.0,H,,,,,,,,,,,,,
1999-12-19,Malaga,Sociedad,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1999-12-22,Celta,Malaga,2,4,A,1.0,1.0,D,,,,,,,,,,,,,
2000-01-05,Malaga,Zaragoza,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-01-09,Santander,Malaga,2,3,A,1.0,1.0,D,,,,,,,,,,,,,
2000-01-16,Espanol,Malaga,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
2000-01-23,Malaga,Alaves,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2000-01-30,Betis,Malaga,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-02-06,Malaga,Valladolid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-02-12,Real Madrid,Malaga,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2000-02-20,Malaga,Numancia,3,1,H,1.0,1.0,D,,,,,,,,,,,,,
2000-02-27,Ath Bilbao,Malaga,2,2,D,1.0,2.0,A,,,,,,,,,,,,,
2000-03-05,Malaga,La Coruna,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-03-12,Malaga,Mallorca,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-03-18,Valencia,Malaga,2,2,D,0.0,0.0,D,,,,,,,,,,,,,
2000-03-25,Malaga,Barcelona,1,2,A,1.0,0.0,H,,,,,,,,,,,,,
2000-04-02,Oviedo,Malaga,2,2,D,2.0,1.0,H,,,,,,,,,,,,,
2000-04-09,Malaga,Sevilla,3,0,H,0.0,0.0,D,,,,,,,,,,,,,
2000-04-16,Ath Madrid,Malaga,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
2000-04-22,Malaga,Vallecano,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-04-30,Sociedad,Malaga,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
2000-05-07,Malaga,Celta,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2000-05-14,Zaragoza,Malaga,3,2,H,1.0,1.0,D,,,,,,,,,,,,,
2000-05-20,Malaga,Santander,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-09-09,Barcelona,Malaga,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
2000-09-16,Malaga,Real Madrid,3,3,D,1.0,1.0,D,,,,,,,,,,,,,
2000-09-24,Mallorca,Malaga,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2000-10-01,Malaga,Numancia,1,3,A,1.0,2.0,A,,,,,,,,,,,,,
2000-10-14,Las Palmas,Malaga,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
2000-10-22,Malaga,Villarreal,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
2000-10-28,Zaragoza,Malaga,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2000-11-01,Malaga,Osasuna,3,1,H,2.0,1.0,H,,,,,,,,,,,,,
2000-11-04,Celta,Malaga,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2000-11-12,Malaga,Espanol,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-11-19,Vallecano,Malaga,4,2,H,2.0,1.0,H,,,,,,,,,,,,,
2000-11-26,Malaga,Alaves,3,1,H,2.0,0.0,H,,,,,,,,,,,,,
2000-12-03,Oviedo,Malaga,3,2,H,1.0,2.0,A,,,,,,,,,,,,,
2000-12-10,Malaga,Valladolid,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
2000-12-17,Valencia,Malaga,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-12-20,Malaga,Sociedad,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
2001-01-06,Malaga,Ath Bilbao,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
2001-01-14,Santander,Malaga,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2001-01-21,Malaga,La Coruna,1,3,A,1.0,1.0,D,,,,,,,,,,,,,
2001-01-27,Malaga,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2001-02-04,Real Madrid,Malaga,4,3,H,3.0,2.0,H,,,,,,,,,,,,,
2001-02-11,Malaga,Mallorca,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2001-02-18,Numancia,Malaga,3,2,H,1.0,0.0,H,,,,,,,,,,,,,
2001-02-25,Malaga,Las Palmas,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
2001-03-04,Villarreal,Malaga,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
2001-03-11,Malaga,Zaragoza,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-03-18,Osasuna,Malaga,3,3,D,1.0,2.0,A,,,,,,,,,,,,,
2001-03-31,Malaga,Celta,1,4,A,1.0,2.0,A,,,,,,,,,,,,,
2001-04-08,Espanol,Malaga,1,2,A,1.0,0.0,H,,,,,,,,,,,,,
2001-04-15,Malaga,Vallecano,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
2001-04-22,Alaves,Malaga,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
2001-04-29,Malaga,Oviedo,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
2001-05-06,Valladolid,Malaga,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2001-05-13,Malaga,Valencia,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
2001-05-20,Sociedad,Malaga,4,0,H,2.0,0.0,H,,,,,,,,,,,,,
2001-05-27,Ath Bilbao,Malaga,1,3,A,0.0,1.0,A,,,,,,,,,,,,,
2001-06-10,Malaga,Santander,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2001-06-17,La Coruna,Malaga,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-08-26,Malaga,Betis,3,2,H,1.0,1.0,D,,,,,,,,,,,,,
2001-09-08,Real Madrid,Malaga,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2001-09-16,Malaga,Valladolid,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
2001-09-22,Las Palmas,Malaga,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2001-09-29,Malaga,Ath Bilbao,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
2001-10-03,Alaves,Malaga,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2001-10-07,Malaga,Celta,2,2,D,2.0,0.0,H,,,,,,,,,,,,,
2001-10-14,Villarreal,Malaga,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
2001-10-20,Malaga,Barcelona,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2001-10-28,Zaragoza,Malaga,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
2001-11-04,Malaga,Sevilla,1,3,A,1.0,1.0,D,,,,,,,,,,,,,
2001-11-11,Vallecano,Malaga,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
2001-11-18,Malaga,Osasuna,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
2001-11-25,Tenerife,Malaga,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2001-12-02,Malaga,Sociedad,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-12-09,Mallorca,Malaga,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
2001-12-16,Malaga,La Coruna,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2001-12-22,Valencia,Malaga,2,1,H,2.0,1.0,H,,,,,,,,,,,,,
2002-01-06,Malaga,Espanol,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2002-01-13,Betis,Malaga,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2002-01-19,Malaga,Real Madrid,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2002-01-27,Valladolid,Malaga,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2002-02-03,Malaga,Las Palmas,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
2002-02-06,Ath Bilbao,Malaga,3,2,H,2.0,1.0,H,,,,,,,,,,,,,
2002-02-10,Malaga,Alaves,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2002-02-17,Celta,Malaga,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2002-02-24,Malaga,Villarreal,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2002-03-03,Barcelona,Malaga,5,1,H,3.0,0.0,H,,,,,,,,,,,,,
2002-03-10,Malaga,Zaragoza,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
2002-03-17,Sevilla,Malaga,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
2002-03-23,Malaga,Vallecano,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2002-03-31,Osasuna,Malaga,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
2002-04-07,Malaga,Tenerife,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
2002-04-14,Sociedad,Malaga,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
2002-04-21,Malaga,Mallorca,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2002-04-28,La Coruna,Malaga,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
2002-05-05,Malaga,Valencia,0,2,A,0.0,2.0,A,,,,,,,,,,,,,
2002-05-11,Espanol,Malaga,1,2,A,0.0,2.0,A,,,,,,,,,,,,,
2002-09-01,Recreativo,Malaga,2,3,A,2.0,1.0,H,,,,,,,,,,,,,
