Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1997-08-31,Mallorca,Valencia,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1997-09-07,La Coruna,Mallorca,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1997-09-15,Mallorca,Sp Gijon,6,2,H,2.0,1.0,H,,,,,,,,,,,,,
1997-09-28,Tenerife,Mallorca,1,4,A,1.0,2.0,A,,,,,,,,,,,,,
1997-10-05,Compostela,Mallorca,2,2,D,2.0,1.0,H,,,,,,,,,,,,,
1997-10-14,Mallorca,Barcelona,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1997-10-19,Santander,Mallorca,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1997-10-27,Mallorca,Real Madrid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-11-01,Valladolid,Mallorca,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-11-09,Mallorca,Ath Bilbao,4,0,H,3.0,0.0,H,,,,,,,,,,,,,
1997-11-12,Celta,Mallorca,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-11-16,Mallorca,Oviedo,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1997-11-23,Merida,Mallorca,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-11-30,Mallorca,Zaragoza,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
1997-12-06,Espanol,Mallorca,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-12-13,Mallorca,Betis,1,2,A,1.0,2.0,A,,,,,,,,,,,,,
1997-12-17,Ath Madrid,Mallorca,2,3,A,1.0,2.0,A,,,,,,,,,,,,,
1997-12-22,Mallorca,Salamanca,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1998-01-04,Sociedad,Mallorca,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1998-01-12,Valencia,Mallorca,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1998-01-18,Mallorca,La Coruna,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1998-01-25,Sp Gijon,Mallorca,1,3,A,1.0,2.0,A,,,,,,,,,,,,,
