Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1995-09-03,Merida,Betis,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1995-09-09,Barcelona,Merida,2,2,D,1.0,1.0,D,,,,,,,,,,,,,
1995-09-17,Merida,Valencia,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
1995-09-24,Compostela,Merida,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-10-01,Merida,Salamanca,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-04,Tenerife,Merida,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-10-08,Merida,Albacete,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-15,Sociedad,Merida,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
1995-10-22,Merida,Santander,3,1,H,3.0,1.0,H,,,,,,,,,,,,,
1995-10-29,Ath Madrid,Merida,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1995-11-05,Merida,Sp Gijon,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-11-12,Sevilla,Merida,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-11-19,Merida,Espanol,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1995-11-26,Celta,Merida,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-12-03,Merida,La Coruna,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
1995-12-10,Valladolid,Merida,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1995-12-17,Ath Bilbao,Merida,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1995-12-20,Merida,Zaragoza,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1996-01-03,Vallecano,Merida,4,1,H,3.0,0.0,H,,,,,,,,,,,,,
1996-01-07,Merida,Real Madrid,2,2,D,1.0,2.0,A,,,,,,,,,,,,,
1996-01-14,Oviedo,Merida,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-01-21,Betis,Merida,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1996-01-25,Merida,Barcelona,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1996-01-28,Valencia,Merida,4,1,H,2.0,0.0,H,,,,,,,,,,,,,
1996-02-04,Merida,Compostela,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
1996-02-11,Salamanca,Merida,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1996-02-18,Merida,Tenerife,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
1996-02-25,Albacete,Merida,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-03-02,Merida,Sociedad,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
1996-03-10,Santander,Merida,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-03-17,Merida,Ath Madrid,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1996-03-23,Sp Gijon,Merida,3,1,H,1.0,1.0,D,,,,,,,,,,,,,
1996-03-27,Merida,Sevilla,3,2,H,2.0,0.0,H,,,,,,,,,,,,,
1996-03-31,Espanol,Merida,3,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-04-07,Merida,Celta,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1996-04-14,La Coruna,Merida,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
1996-04-21,Merida,Valladolid,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-04-28,Merida,Ath Bilbao,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-05-05,Zaragoza,Merida,3,1,H,1.0,1.0,D,,,,,,,,,,,,,
1996-05-12,Merida,Vallecano,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1996-05-19,Real Madrid,Merida,4,0,H,3.0,0.0,H,,,,,,,,,,,,,
1996-05-26,Merida,Oviedo,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
1997-08-31,Oviedo,Merida,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
1997-09-07,Merida,Compostela,3,3,D,0.0,3.0,A,,,,,,,,,,,,,
1997-09-14,Merida,Zaragoza,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1997-09-29,Espanol,Merida,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-10-06,Merida,Betis,1,3,A,1.0,1.0,D,,,,,,,,,,,,,
1997-10-15,Ath Madrid,Merida,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-10-19,Merida,Salamanca,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1997-10-26,Sociedad,Merida,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1997-11-03,Merida,Valencia,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-11-09,La Coruna,Merida,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1997-11-12,Merida,Sp Gijon,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1997-11-16,Tenerife,Merida,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1997-11-23,Merida,Mallorca,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1997-12-01,Barcelona,Merida,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
