Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1999-08-22,Numancia,Valladolid,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-08-29,Real Madrid,Numancia,4,1,H,0.0,0.0,D,,,,,,,,,,,,,
1999-09-12,Mallorca,Numancia,3,0,H,3.0,0.0,H,,,,,,,,,,,,,
1999-09-19,Numancia,Ath Bilbao,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1999-09-26,La Coruna,Numancia,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
1999-10-02,Numancia,Malaga,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1999-10-13,Valencia,Numancia,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-10-16,Numancia,Barcelona,3,3,D,0.0,1.0,A,,,,,,,,,,,,,
1999-10-24,Oviedo,Numancia,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-10-31,Numancia,Sevilla,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-11-07,Ath Madrid,Numancia,2,2,D,2.0,0.0,H,,,,,,,,,,,,,
1999-11-21,Numancia,Vallecano,3,1,H,0.0,0.0,D,,,,,,,,,,,,,
1999-11-28,Sociedad,Numancia,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
1999-12-05,Numancia,Celta,3,1,H,1.0,0.0,H,,,,,,,,,,,,,
1999-12-12,Zaragoza,Numancia,3,3,D,1.0,1.0,D,,,,,,,,,,,,,
1999-12-19,Numancia,Santander,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1999-12-22,Espanol,Numancia,3,1,H,0.0,1.0,A,,,,,,,,,,,,,
2000-01-05,Numancia,Alaves,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-01-09,Betis,Numancia,1,2,A,1.0,0.0,H,,,,,,,,,,,,,
2000-01-16,Valladolid,Numancia,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
2000-01-23,Numancia,Real Madrid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-01-30,Numancia,Mallorca,3,1,H,3.0,1.0,H,,,,,,,,,,,,,
2000-02-06,Ath Bilbao,Numancia,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
2000-02-13,Numancia,La Coruna,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2000-02-20,Malaga,Numancia,3,1,H,1.0,1.0,D,,,,,,,,,,,,,
2000-02-26,Numancia,Valencia,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
2000-03-04,Barcelona,Numancia,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-03-12,Numancia,Oviedo,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
2000-03-19,Sevilla,Numancia,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-03-25,Numancia,Ath Madrid,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-04-02,Vallecano,Numancia,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-04-09,Numancia,Sociedad,1,2,A,0.0,0.0,D,,,,,,,,,,,,,
2000-04-16,Celta,Numancia,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-04-22,Numancia,Zaragoza,1,2,A,1.0,2.0,A,,,,,,,,,,,,,
2000-04-30,Santander,Numancia,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2000-05-06,Numancia,Espanol,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-05-14,Alaves,Numancia,2,2,D,0.0,1.0,A,,,,,,,,,,,,,
2000-05-20,Numancia,Betis,1,2,A,0.0,0.0,D,,,,,,,,,,,,,
2000-09-10,Numancia,Oviedo,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2000-09-16,Valladolid,Numancia,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-09-24,Numancia,Valencia,0,3,A,0.0,0.0,D,,,,,,,,,,,,,
2000-10-01,Malaga,Numancia,1,3,A,1.0,2.0,A,,,,,,,,,,,,,
2000-10-15,Numancia,Ath Bilbao,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-10-22,Santander,Numancia,4,2,H,2.0,1.0,H,,,,,,,,,,,,,
2000-10-28,Numancia,La Coruna,1,2,A,0.0,2.0,A,,,,,,,,,,,,,
2000-11-01,Barcelona,Numancia,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2000-11-04,Numancia,Real Madrid,3,1,H,2.0,1.0,H,,,,,,,,,,,,,
2000-11-12,Mallorca,Numancia,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
2000-11-19,Sociedad,Numancia,4,1,H,3.0,0.0,H,,,,,,,,,,,,,
2000-11-26,Numancia,Las Palmas,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2000-12-03,Villarreal,Numancia,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-12-09,Numancia,Zaragoza,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
2000-12-17,Osasuna,Numancia,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
2000-12-20,Numancia,Celta,4,2,H,2.0,1.0,H,,,,,,,,,,,,,
2001-01-07,Espanol,Numancia,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
