Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Osasuna,Real Madrid,1,4,A,,,,,,,,,,,,,,,,
1993-09-12,Sevilla,Osasuna,1,1,D,,,,,,,,,,,,,,,,
1993-09-19,Osasuna,Sociedad,0,2,A,,,,,,,,,,,,,,,,
1993-09-26,Albacete,Osasuna,2,1,H,,,,,,,,,,,,,,,,
1993-10-03,Osasuna,Barcelona,2,3,A,,,,,,,,,,,,,,,,
1993-10-06,Zaragoza,Osasuna,2,1,H,,,,,,,,,,,,,,,,
1993-10-17,Ath Bilbao,Osasuna,1,2,A,,,,,,,,,,,,,,,,
1993-10-24,Osasuna,Valladolid,2,0,H,,,,,,,,,,,,,,,,
1993-10-31,La Coruna,Osasuna,3,1,H,,,,,,,,,,,,,,,,
1993-11-07,Osasuna,Oviedo,2,0,H,,,,,,,,,,,,,,,,
1993-11-10,Ath Madrid,Osasuna,3,0,H,,,,,,,,,,,,,,,,
1993-11-21,Osasuna,Santander,0,0,D,,,,,,,,,,,,,,,,
1993-11-28,Tenerife,Osasuna,1,0,H,,,,,,,,,,,,,,,,
1993-12-05,Osasuna,Lerida,1,0,H,,,,,,,,,,,,,,,,
1993-12-12,Vallecano,Osasuna,1,0,H,,,,,,,,,,,,,,,,
1993-12-19,Osasuna,Logrones,1,3,A,,,,,,,,,,,,,,,,
1994-01-02,Valencia,Osasuna,0,0,D,,,,,,,,,,,,,,,,
1994-01-09,Osasuna,Celta,0,1,A,,,,,,,,,,,,,,,,
1994-01-16,Sp Gijon,Osasuna,7,1,H,,,,,,,,,,,,,,,,
1994-01-23,Real Madrid,Osasuna,0,0,D,,,,,,,,,,,,,,,,
1994-01-30,Osasuna,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1994-02-06,Sociedad,Osasuna,1,0,H,,,,,,,,,,,,,,,,
1994-02-13,Osasuna,Albacete,3,1,H,,,,,,,,,,,,,,,,
1994-02-20,Barcelona,Osasuna,8,1,H,,,,,,,,,,,,,,,,
1994-02-23,Osasuna,Zaragoza,0,0,D,,,,,,,,,,,,,,,,
1994-02-27,Osasuna,Ath Bilbao,0,0,D,,,,,,,,,,,,,,,,
1994-03-06,Valladolid,Osasuna,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Osasuna,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1994-03-20,Oviedo,Osasuna,1,0,H,,,,,,,,,,,,,,,,
1994-03-27,Osasuna,Ath Madrid,0,1,A,,,,,,,,,,,,,,,,
1994-04-03,Santander,Osasuna,3,1,H,,,,,,,,,,,,,,,,
1994-04-06,Osasuna,Tenerife,1,0,H,,,,,,,,,,,,,,,,
1994-04-10,Lerida,Osasuna,1,2,A,,,,,,,,,,,,,,,,
1994-04-17,Osasuna,Vallecano,1,1,D,,,,,,,,,,,,,,,,
1994-04-24,Logrones,Osasuna,3,2,H,,,,,,,,,,,,,,,,
1994-05-01,Osasuna,Valencia,3,3,D,,,,,,,,,,,,,,,,
1994-05-08,Celta,Osasuna,4,0,H,,,,,,,,,,,,,,,,
1994-05-15,Osasuna,Sp Gijon,3,0,H,,,,,,,,,,,,,,,,
