Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Oviedo,Valencia,0,3,A,,,,,,,,,,,,,,,,
1993-09-12,Celta,Oviedo,1,1,D,,,,,,,,,,,,,,,,
1993-09-19,Oviedo,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,
1993-09-26,Real Madrid,Oviedo,0,1,A,,,,,,,,,,,,,,,,
1993-10-03,Oviedo,Sevilla,0,2,A,,,,,,,,,,,,,,,,
1993-10-06,Sociedad,Oviedo,2,2,D,,,,,,,,,,,,,,,,
1993-10-17,Oviedo,Albacete,1,1,D,,,,,,,,,,,,,,,,
1993-10-24,Barcelona,Oviedo,1,0,H,,,,,,,,,,,,,,,,
1993-10-31,Oviedo,Zaragoza,2,1,H,,,,,,,,,,,,,,,,
1993-11-07,Osasuna,Oviedo,2,0,H,,,,,,,,,,,,,,,,
1993-11-10,Oviedo,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1993-11-21,La Coruna,Oviedo,4,0,H,,,,,,,,,,,,,,,,
1993-11-28,Ath Bilbao,Oviedo,1,1,D,,,,,,,,,,,,,,,,
1993-12-05,Oviedo,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,
1993-12-12,Santander,Oviedo,1,2,A,,,,,,,,,,,,,,,,
1993-12-19,Oviedo,Tenerife,1,0,H,,,,,,,,,,,,,,,,
1994-01-02,Lerida,Oviedo,1,1,D,,,,,,,,,,,,,,,,
1994-01-09,Oviedo,Vallecano,5,0,H,,,,,,,,,,,,,,,,
1994-01-16,Logrones,Oviedo,2,2,D,,,,,,,,,,,,,,,,
1994-01-23,Valencia,Oviedo,2,2,D,,,,,,,,,,,,,,,,
1994-01-30,Oviedo,Celta,1,0,H,,,,,,,,,,,,,,,,
1994-02-06,Sp Gijon,Oviedo,0,0,D,,,,,,,,,,,,,,,,
1994-02-13,Oviedo,Real Madrid,0,1,A,,,,,,,,,,,,,,,,
1994-02-20,Sevilla,Oviedo,2,0,H,,,,,,,,,,,,,,,,
1994-02-23,Oviedo,Sociedad,2,1,H,,,,,,,,,,,,,,,,
1994-02-27,Albacete,Oviedo,5,0,H,,,,,,,,,,,,,,,,
1994-03-06,Oviedo,Barcelona,1,3,A,,,,,,,,,,,,,,,,
1994-03-13,Zaragoza,Oviedo,2,1,H,,,,,,,,,,,,,,,,
1994-03-20,Oviedo,Osasuna,1,0,H,,,,,,,,,,,,,,,,
1994-03-27,Valladolid,Oviedo,0,0,D,,,,,,,,,,,,,,,,
1994-04-03,Oviedo,La Coruna,2,5,A,,,,,,,,,,,,,,,,
1994-04-06,Oviedo,Ath Bilbao,3,0,H,,,,,,,,,,,,,,,,
1994-04-10,Ath Madrid,Oviedo,0,3,A,,,,,,,,,,,,,,,,
1994-04-17,Oviedo,Santander,3,0,H,,,,,,,,,,,,,,,,
1994-04-24,Tenerife,Oviedo,2,2,D,,,,,,,,,,,,,,,,
1994-05-01,Oviedo,Lerida,0,0,D,,,,,,,,,,,,,,,,
1994-05-08,Vallecano,Oviedo,0,0,D,,,,,,,,,,,,,,,,
1994-05-15,Oviedo,Logrones,1,2,A,,,,,,,,,,,,,,,,
1994-09-04,Espanol,Oviedo,4,2,H,,,,,,,,,,,,,,,,
