Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Osasuna,Real Madrid,1,4,A,,,,,,,,,,,,,,,,
1993-09-12,Real Madrid,Valladolid,1,3,A,,,,,,,,,,,,,,,,
1993-09-19,La Coruna,Real Madrid,4,0,H,,,,,,,,,,,,,,,,
1993-09-26,Real Madrid,Oviedo,0,1,A,,,,,,,,,,,,,,,,
1993-10-03,Ath Madrid,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1993-10-06,Real Madrid,Santander,2,1,H,,,,,,,,,,,,,,,,
1993-10-17,Tenerife,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1993-10-24,Real Madrid,Lerida,5,0,H,,,,,,,,,,,,,,,,
1993-10-31,Vallecano,Real Madrid,0,2,A,,,,,,,,,,,,,,,,
1993-11-07,Real Madrid,Logrones,2,1,H,,,,,,,,,,,,,,,,
1993-11-10,Valencia,Real Madrid,0,3,A,,,,,,,,,,,,,,,,
1993-11-21,Real Madrid,Celta,2,1,H,,,,,,,,,,,,,,,,
1993-11-28,Sp Gijon,Real Madrid,2,1,H,,,,,,,,,,,,,,,,
1993-12-05,Real Madrid,Ath Bilbao,2,1,H,,,,,,,,,,,,,,,,
1993-12-12,Real Madrid,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1993-12-19,Sociedad,Real Madrid,2,0,H,,,,,,,,,,,,,,,,
1994-01-02,Real Madrid,Albacete,2,0,H,,,,,,,,,,,,,,,,
1994-01-09,Barcelona,Real Madrid,5,0,H,,,,,,,,,,,,,,,,
1994-01-16,Real Madrid,Zaragoza,3,2,H,,,,,,,,,,,,,,,,
1994-01-23,Real Madrid,Osasuna,0,0,D,,,,,,,,,,,,,,,,
1994-01-30,Valladolid,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1994-02-06,Real Madrid,La Coruna,2,0,H,,,,,,,,,,,,,,,,
1994-02-13,Oviedo,Real Madrid,0,1,A,,,,,,,,,,,,,,,,
1994-02-20,Real Madrid,Ath Madrid,1,0,H,,,,,,,,,,,,,,,,
1994-02-23,Santander,Real Madrid,1,3,A,,,,,,,,,,,,,,,,
1994-02-27,Real Madrid,Tenerife,1,1,D,,,,,,,,,,,,,,,,
1994-03-06,Lerida,Real Madrid,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Real Madrid,Vallecano,5,2,H,,,,,,,,,,,,,,,,
1994-03-20,Logrones,Real Madrid,3,4,A,,,,,,,,,,,,,,,,
1994-03-27,Real Madrid,Valencia,3,2,H,,,,,,,,,,,,,,,,
1994-04-03,Celta,Real Madrid,3,2,H,,,,,,,,,,,,,,,,
1994-04-06,Real Madrid,Sp Gijon,2,2,D,,,,,,,,,,,,,,,,
1994-04-10,Ath Bilbao,Real Madrid,2,1,H,,,,,,,,,,,,,,,,
1994-04-17,Sevilla,Real Madrid,0,1,A,,,,,,,,,,,,,,,,
1994-04-24,Real Madrid,Sociedad,0,1,A,,,,,,,,,,,,,,,,
1994-05-01,Albacete,Real Madrid,1,4,A,,,,,,,,,,,,,,,,
1994-05-08,Real Madrid,Barcelona,0,1,A,,,,,,,,,,,,,,,,
1994-05-15,Zaragoza,Real Madrid,4,1,H,,,,,,,,,,,,,,,,
1994-09-03,Sevilla,Real Madrid,1,4,A,,,,,,,,,,,,,,,,
1994-09-10,Real Madrid,Logrones,2,0,H,,,,,,,,,,,,,,,,
1994-09-18,Albacete,Real Madrid,1,1,D,,,,,,,,,,,,,,,,
1994-09-24,Real Madrid,Ath Bilbao,4,0,H,,,,,,,,,,,,,,,,
1994-10-02,Sp Gijon,Real Madrid,1,0,H,,,,,,,,,,,,,,,,
1994-10-09,Real Madrid,Santander,3,1,H,,,,,,,,,,,,,,,,
1994-10-15,Espanol,Real Madrid,1,2,A,,,,,,,,,,,,,,,,
1994-10-23,Real Madrid,Compostela,1,1,D,,,,,,,,,,,,,,,,
1994-10-29,Zaragoza,Real Madrid,3,2,H,,,,,,,,,,,,,,,,
1994-11-05,Real Madrid,Ath Madrid,4,2,H,,,,,,,,,,,,,,,,
1994-11-19,Valencia,Real Madrid,1,2,A,,,,,,,,,,,,,,,,
1994-11-27,Real Madrid,Tenerife,4,2,H,,,,,,,,,,,,,,,,
1994-12-03,Sociedad,Real Madrid,1,1,D,,,,,,,,,,,,,,,,
1994-12-11,Real Madrid,Oviedo,2,0,H,,,,,,,,,,,,,,,,
1994-12-22,Valladolid,Real Madrid,0,5,A,,,,,,,,,,,,,,,,
1995-01-07,Real Madrid,Barcelona,5,0,H,,,,,,,,,,,,,,,,
1995-01-14,La Coruna,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1995-01-22,Real Madrid,Celta,4,0,H,,,,,,,,,,,,,,,,
1995-01-29,Betis,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1995-02-05,Real Madrid,Sevilla,2,0,H,,,,,,,,,,,,,,,,
1995-02-12,Logrones,Real Madrid,1,4,A,,,,,,,,,,,,,,,,
1995-02-19,Real Madrid,Albacete,0,0,D,,,,,,,,,,,,,,,,
1995-02-26,Ath Bilbao,Real Madrid,1,1,D,,,,,,,,,,,,,,,,
1995-03-05,Real Madrid,Sp Gijon,4,0,H,,,,,,,,,,,,,,,,
1995-03-12,Santander,Real Madrid,3,1,H,,,,,,,,,,,,,,,,
1995-03-19,Real Madrid,Espanol,1,0,H,,,,,,,,,,,,,,,,
1995-04-02,Compostela,Real Madrid,1,1,D,,,,,,,,,,,,,,,,
1995-04-09,Real Madrid,Zaragoza,3,0,H,,,,,,,,,,,,,,,,
1995-04-15,Ath Madrid,Real Madrid,0,2,A,,,,,,,,,,,,,,,,
1995-04-22,Real Madrid,Valencia,3,1,H,,,,,,,,,,,,,,,,
1995-04-30,Tenerife,Real Madrid,0,1,A,,,,,,,,,,,,,,,,
1995-05-07,Real Madrid,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1995-05-14,Oviedo,Real Madrid,3,2,H,,,,,,,,,,,,,,,,
1995-05-21,Real Madrid,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1995-05-27,Barcelona,Real Madrid,1,0,H,,,,,,,,,,,,,,,,
1995-06-03,Real Madrid,La Coruna,2,1,H,,,,,,,,,,,,,,,,
1995-06-10,Celta,Real Madrid,0,2,A,,,,,,,,,,,,,,,,
1995-06-18,Real Madrid,Betis,0,2,A,,,,,,,,,,,,,,,,
1995-09-03,Vallecano,Real Madrid,1,5,A,0.0,1.0,A,,,,,,,,,,,,,
