Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2002-09-01,Recreativo,Malaga,2,3,A,2.0,1.0,H,,,,,,,,,,,,,
2002-09-14,Valencia,Recreativo,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
2002-09-22,Recreativo,Celta,0,3,A,0.0,1.0,A,,,,,,,,,,,,,
2002-09-29,Ath Madrid,Recreativo,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
2002-10-05,Recreativo,Ath Bilbao,1,2,A,0.0,0.0,D,,,,,,,,,,,,,
2002-10-20,Espanol,Recreativo,2,0,H,0.0,0.0,D,,,,,,,,,,,,,
2002-10-26,Recreativo,Betis,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
2002-11-03,Osasuna,Recreativo,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2002-11-10,Recreativo,Valladolid,1,3,A,0.0,2.0,A,,,,,,,,,,,,,
2002-11-17,Alaves,Recreativo,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
2002-11-24,Recreativo,Santander,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
2002-12-01,Villarreal,Recreativo,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2002-12-07,Recreativo,La Coruna,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
2002-12-15,Real Madrid,Recreativo,4,2,H,1.0,2.0,A,,,,,,,,,,,,,
2002-12-22,Recreativo,Sociedad,1,3,A,1.0,1.0,D,,,,,,,,,,,,,
2003-01-05,Barcelona,Recreativo,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
2003-01-12,Recreativo,Sevilla,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2003-01-19,Mallorca,Recreativo,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2003-01-26,Recreativo,Vallecano,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
2003-02-02,Malaga,Recreativo,4,0,H,0.0,0.0,D,,,,,,,,,,,,,
2003-02-09,Recreativo,Valencia,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2003-02-16,Celta,Recreativo,4,1,H,1.0,0.0,H,,,,,,,,,,,,,
2003-02-23,Recreativo,Ath Madrid,3,0,H,0.0,0.0,D,,,,,,,,,,,,,
2003-03-01,Ath Bilbao,Recreativo,2,3,A,0.0,3.0,A,,,,,,,,,,,,,
2003-03-09,Recreativo,Espanol,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2003-03-16,Betis,Recreativo,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2003-03-23,Recreativo,Osasuna,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2003-04-06,Valladolid,Recreativo,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2003-04-13,Recreativo,Alaves,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2003-04-20,Santander,Recreativo,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2003-04-27,Recreativo,Villarreal,5,0,H,1.0,0.0,H,,,,,,,,,,,,,
2003-05-04,La Coruna,Recreativo,5,0,H,4.0,0.0,H,,,,,,,,,,,,,
2003-05-10,Recreativo,Real Madrid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2003-05-18,Sociedad,Recreativo,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2003-05-25,Recreativo,Barcelona,1,3,A,0.0,1.0,A,,,,,,,,,,,,,
2003-06-01,Sevilla,Recreativo,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
