Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1995-09-03,Espanol,Salamanca,3,1,H,2.0,1.0,H,,,,,,,,,,,,,
1995-09-10,Salamanca,Celta,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1995-09-17,La Coruna,Salamanca,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-09-24,Salamanca,Valladolid,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-01,Merida,Salamanca,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-10-04,Salamanca,Zaragoza,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
1995-10-08,Vallecano,Salamanca,1,4,A,0.0,0.0,D,,,,,,,,,,,,,
1995-10-15,Salamanca,Real Madrid,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
1995-10-22,Oviedo,Salamanca,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1995-10-29,Salamanca,Betis,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1995-11-05,Barcelona,Salamanca,4,1,H,3.0,0.0,H,,,,,,,,,,,,,
1995-11-12,Salamanca,Valencia,4,0,H,2.0,0.0,H,,,,,,,,,,,,,
1995-11-19,Compostela,Salamanca,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1995-11-26,Salamanca,Ath Bilbao,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1995-12-03,Salamanca,Tenerife,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
1995-12-10,Albacete,Salamanca,3,3,D,1.0,1.0,D,,,,,,,,,,,,,
1995-12-17,Salamanca,Sociedad,3,3,D,3.0,1.0,H,,,,,,,,,,,,,
1995-12-20,Santander,Salamanca,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1996-01-03,Salamanca,Ath Madrid,1,3,A,0.0,0.0,D,,,,,,,,,,,,,
1996-01-07,Sp Gijon,Salamanca,3,2,H,2.0,1.0,H,,,,,,,,,,,,,
1996-01-14,Salamanca,Sevilla,4,1,H,2.0,0.0,H,,,,,,,,,,,,,
1996-01-21,Salamanca,Espanol,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1996-01-24,Celta,Salamanca,2,1,H,2.0,1.0,H,,,,,,,,,,,,,
1996-01-27,Salamanca,La Coruna,0,5,A,0.0,3.0,A,,,,,,,,,,,,,
1996-02-04,Valladolid,Salamanca,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1996-02-11,Salamanca,Merida,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1996-02-17,Zaragoza,Salamanca,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1996-02-25,Salamanca,Vallecano,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
1996-03-02,Real Madrid,Salamanca,5,0,H,2.0,0.0,H,,,,,,,,,,,,,
