Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Santander,Vallecano,1,0,H,,,,,,,,,,,,,,,,
1993-09-12,Logrones,Santander,0,1,A,,,,,,,,,,,,,,,,
1993-09-19,Santander,Valencia,0,1,A,,,,,,,,,,,,,,,,
1993-09-26,Celta,Santander,0,0,D,,,,,,,,,,,,,,,,
1993-10-03,Santander,Sp Gijon,2,0,H,,,,,,,,,,,,,,,,
1993-10-06,Real Madrid,Santander,2,1,H,,,,,,,,,,,,,,,,
1993-10-17,Santander,Sevilla,1,0,H,,,,,,,,,,,,,,,,
1993-10-24,Sociedad,Santander,2,0,H,,,,,,,,,,,,,,,,
1993-10-31,Santander,Albacete,1,1,D,,,,,,,,,,,,,,,,
1993-11-07,Barcelona,Santander,2,1,H,,,,,,,,,,,,,,,,
1993-11-10,Santander,Zaragoza,2,0,H,,,,,,,,,,,,,,,,
1993-11-21,Osasuna,Santander,0,0,D,,,,,,,,,,,,,,,,
1993-11-28,Santander,Valladolid,5,1,H,,,,,,,,,,,,,,,,
1993-12-05,La Coruna,Santander,1,0,H,,,,,,,,,,,,,,,,
1993-12-12,Santander,Oviedo,1,2,A,,,,,,,,,,,,,,,,
1993-12-19,Ath Madrid,Santander,4,0,H,,,,,,,,,,,,,,,,
1994-01-02,Ath Bilbao,Santander,1,2,A,,,,,,,,,,,,,,,,
1994-01-09,Santander,Tenerife,1,0,H,,,,,,,,,,,,,,,,
1994-01-16,Lerida,Santander,0,0,D,,,,,,,,,,,,,,,,
1994-01-23,Vallecano,Santander,1,1,D,,,,,,,,,,,,,,,,
1994-01-30,Santander,Logrones,0,0,D,,,,,,,,,,,,,,,,
1994-02-06,Valencia,Santander,2,1,H,,,,,,,,,,,,,,,,
1994-02-13,Santander,Celta,2,1,H,,,,,,,,,,,,,,,,
1994-02-20,Sp Gijon,Santander,0,2,A,,,,,,,,,,,,,,,,
1994-02-23,Santander,Real Madrid,1,3,A,,,,,,,,,,,,,,,,
1994-02-27,Sevilla,Santander,2,1,H,,,,,,,,,,,,,,,,
1994-03-06,Santander,Sociedad,4,1,H,,,,,,,,,,,,,,,,
1994-03-13,Albacete,Santander,3,0,H,,,,,,,,,,,,,,,,
1994-03-20,Santander,Barcelona,1,1,D,,,,,,,,,,,,,,,,
1994-03-27,Zaragoza,Santander,2,0,H,,,,,,,,,,,,,,,,
1994-04-03,Santander,Osasuna,3,1,H,,,,,,,,,,,,,,,,
1994-04-06,Valladolid,Santander,0,3,A,,,,,,,,,,,,,,,,
1994-04-10,Santander,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1994-04-17,Oviedo,Santander,3,0,H,,,,,,,,,,,,,,,,
1994-04-24,Santander,Ath Madrid,2,0,H,,,,,,,,,,,,,,,,
1994-05-01,Santander,Ath Bilbao,2,2,D,,,,,,,,,,,,,,,,
1994-05-08,Tenerife,Santander,1,0,H,,,,,,,,,,,,,,,,
1994-05-15,Santander,Lerida,2,1,H,,,,,,,,,,,,,,,,
1994-09-04,Santander,Valladolid,0,0,D,,,,,,,,,,,,,,,,
1994-09-10,Barcelona,Santander,2,1,H,,,,,,,,,,,,,,,,
1994-09-18,Santander,La Coruna,1,2,A,,,,,,,,,,,,,,,,
1994-09-25,Celta,Santander,2,1,H,,,,,,,,,,,,,,,,
1994-10-02,Santander,Betis,0,0,D,,,,,,,,,,,,,,,,
