Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Zaragoza,Sevilla,1,2,A,,,,,,,,,,,,,,,,
1993-09-12,Sevilla,Osasuna,1,1,D,,,,,,,,,,,,,,,,
1993-09-19,Valladolid,Sevilla,2,2,D,,,,,,,,,,,,,,,,
1993-09-26,Sevilla,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1993-10-03,Oviedo,Sevilla,0,2,A,,,,,,,,,,,,,,,,
1993-10-06,Sevilla,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,
1993-10-17,Santander,Sevilla,1,0,H,,,,,,,,,,,,,,,,
1993-10-24,Sevilla,Tenerife,4,0,H,,,,,,,,,,,,,,,,
1993-10-31,Lerida,Sevilla,0,3,A,,,,,,,,,,,,,,,,
1993-11-07,Sevilla,Vallecano,3,1,H,,,,,,,,,,,,,,,,
1993-11-10,Logrones,Sevilla,1,1,D,,,,,,,,,,,,,,,,
1993-11-21,Sevilla,Valencia,0,1,A,,,,,,,,,,,,,,,,
1993-11-28,Celta,Sevilla,2,1,H,,,,,,,,,,,,,,,,
1993-12-05,Sevilla,Sp Gijon,1,2,A,,,,,,,,,,,,,,,,
1993-12-12,Real Madrid,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1993-12-19,Sevilla,Ath Bilbao,1,3,A,,,,,,,,,,,,,,,,
1994-01-02,Sevilla,Sociedad,1,0,H,,,,,,,,,,,,,,,,
1994-01-09,Albacete,Sevilla,2,2,D,,,,,,,,,,,,,,,,
1994-01-16,Sevilla,Barcelona,0,0,D,,,,,,,,,,,,,,,,
1994-01-23,Sevilla,Zaragoza,0,1,A,,,,,,,,,,,,,,,,
1994-01-30,Osasuna,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1994-02-06,Sevilla,Valladolid,3,3,D,,,,,,,,,,,,,,,,
1994-02-13,La Coruna,Sevilla,2,0,H,,,,,,,,,,,,,,,,
1994-02-20,Sevilla,Oviedo,2,0,H,,,,,,,,,,,,,,,,
1994-02-23,Ath Madrid,Sevilla,2,4,A,,,,,,,,,,,,,,,,
1994-02-27,Sevilla,Santander,2,1,H,,,,,,,,,,,,,,,,
1994-03-06,Tenerife,Sevilla,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Sevilla,Lerida,2,1,H,,,,,,,,,,,,,,,,
1994-03-20,Vallecano,Sevilla,2,1,H,,,,,,,,,,,,,,,,
1994-03-27,Sevilla,Logrones,4,1,H,,,,,,,,,,,,,,,,
1994-04-03,Valencia,Sevilla,1,1,D,,,,,,,,,,,,,,,,
1994-04-06,Sevilla,Celta,4,1,H,,,,,,,,,,,,,,,,
1994-04-10,Sp Gijon,Sevilla,0,1,A,,,,,,,,,,,,,,,,
1994-04-17,Sevilla,Real Madrid,0,1,A,,,,,,,,,,,,,,,,
1994-04-24,Ath Bilbao,Sevilla,1,1,D,,,,,,,,,,,,,,,,
1994-05-01,Sociedad,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1994-05-08,Sevilla,Albacete,2,0,H,,,,,,,,,,,,,,,,
1994-05-15,Barcelona,Sevilla,5,2,H,,,,,,,,,,,,,,,,
1994-09-03,Sevilla,Real Madrid,1,4,A,,,,,,,,,,,,,,,,
1994-09-11,Valencia,Sevilla,0,1,A,,,,,,,,,,,,,,,,
1994-09-18,Sevilla,Logrones,1,0,H,,,,,,,,,,,,,,,,
1994-09-25,Tenerife,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1994-10-02,Sevilla,Albacete,0,2,A,,,,,,,,,,,,,,,,
1994-10-09,Sociedad,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1994-10-15,Sevilla,Ath Bilbao,0,0,D,,,,,,,,,,,,,,,,
1994-10-23,Oviedo,Sevilla,1,0,H,,,,,,,,,,,,,,,,
1994-10-30,Sevilla,Sp Gijon,5,1,H,,,,,,,,,,,,,,,,
1994-11-06,Valladolid,Sevilla,0,4,A,,,,,,,,,,,,,,,,
1994-11-20,Sevilla,Santander,1,3,A,,,,,,,,,,,,,,,,
1994-11-27,Barcelona,Sevilla,0,1,A,,,,,,,,,,,,,,,,
1994-12-04,Sevilla,Espanol,3,0,H,,,,,,,,,,,,,,,,
1994-12-11,La Coruna,Sevilla,5,1,H,,,,,,,,,,,,,,,,
1994-12-21,Sevilla,Compostela,3,0,H,,,,,,,,,,,,,,,,
1995-01-08,Celta,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1995-01-15,Sevilla,Zaragoza,2,1,H,,,,,,,,,,,,,,,,
1995-01-22,Sevilla,Betis,0,1,A,,,,,,,,,,,,,,,,
1995-01-29,Ath Madrid,Sevilla,2,2,D,,,,,,,,,,,,,,,,
1995-02-05,Real Madrid,Sevilla,2,0,H,,,,,,,,,,,,,,,,
1995-02-12,Sevilla,Valencia,1,1,D,,,,,,,,,,,,,,,,
1995-02-19,Logrones,Sevilla,0,2,A,,,,,,,,,,,,,,,,
1995-02-26,Sevilla,Tenerife,1,2,A,,,,,,,,,,,,,,,,
1995-03-05,Albacete,Sevilla,1,1,D,,,,,,,,,,,,,,,,
1995-03-12,Sevilla,Sociedad,2,0,H,,,,,,,,,,,,,,,,
1995-03-18,Ath Bilbao,Sevilla,0,2,A,,,,,,,,,,,,,,,,
1995-04-02,Sevilla,Oviedo,1,1,D,,,,,,,,,,,,,,,,
1995-04-09,Sp Gijon,Sevilla,3,0,H,,,,,,,,,,,,,,,,
1995-04-16,Sevilla,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1995-04-23,Santander,Sevilla,0,3,A,,,,,,,,,,,,,,,,
1995-04-30,Sevilla,Barcelona,4,2,H,,,,,,,,,,,,,,,,
1995-05-07,Espanol,Sevilla,2,2,D,,,,,,,,,,,,,,,,
1995-05-13,Sevilla,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1995-05-21,Compostela,Sevilla,0,4,A,,,,,,,,,,,,,,,,
1995-05-28,Sevilla,Celta,2,3,A,,,,,,,,,,,,,,,,
1995-06-04,Zaragoza,Sevilla,0,1,A,,,,,,,,,,,,,,,,
1995-06-11,Betis,Sevilla,2,1,H,,,,,,,,,,,,,,,,
1995-06-18,Sevilla,Ath Madrid,2,2,D,,,,,,,,,,,,,,,,
1995-09-03,Sevilla,Tenerife,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1995-09-09,Albacete,Sevilla,3,2,H,2.0,1.0,H,,,,,,,,,,,,,
1995-09-17,Sevilla,Sociedad,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1995-09-23,Santander,Sevilla,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
