Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Barcelona,Sociedad,3,0,H,,,,,,,,,,,,,,,,
1993-09-12,Sociedad,Zaragoza,2,2,D,,,,,,,,,,,,,,,,
1993-09-19,Osasuna,Sociedad,0,2,A,,,,,,,,,,,,,,,,
1993-09-26,Sociedad,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1993-10-03,La Coruna,Sociedad,0,1,A,,,,,,,,,,,,,,,,
1993-10-06,Sociedad,Oviedo,2,2,D,,,,,,,,,,,,,,,,
1993-10-17,Ath Madrid,Sociedad,1,2,A,,,,,,,,,,,,,,,,
1993-10-24,Sociedad,Santander,2,0,H,,,,,,,,,,,,,,,,
1993-10-31,Tenerife,Sociedad,2,1,H,,,,,,,,,,,,,,,,
1993-11-07,Sociedad,Lerida,1,3,A,,,,,,,,,,,,,,,,
1993-11-10,Vallecano,Sociedad,4,1,H,,,,,,,,,,,,,,,,
1993-11-21,Sociedad,Logrones,2,2,D,,,,,,,,,,,,,,,,
1993-11-28,Valencia,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1993-12-05,Sociedad,Celta,2,1,H,,,,,,,,,,,,,,,,
1993-12-12,Sp Gijon,Sociedad,3,2,H,,,,,,,,,,,,,,,,
1993-12-19,Sociedad,Real Madrid,2,0,H,,,,,,,,,,,,,,,,
1994-01-02,Sevilla,Sociedad,1,0,H,,,,,,,,,,,,,,,,
1994-01-09,Ath Bilbao,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1994-01-16,Sociedad,Albacete,1,1,D,,,,,,,,,,,,,,,,
1994-01-23,Sociedad,Barcelona,2,1,H,,,,,,,,,,,,,,,,
1994-01-30,Zaragoza,Sociedad,3,0,H,,,,,,,,,,,,,,,,
1994-02-06,Sociedad,Osasuna,1,0,H,,,,,,,,,,,,,,,,
1994-02-13,Valladolid,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1994-02-20,Sociedad,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1994-02-23,Oviedo,Sociedad,2,1,H,,,,,,,,,,,,,,,,
1994-02-27,Sociedad,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,
1994-03-06,Santander,Sociedad,4,1,H,,,,,,,,,,,,,,,,
1994-03-13,Sociedad,Tenerife,2,1,H,,,,,,,,,,,,,,,,
1994-03-20,Lerida,Sociedad,1,0,H,,,,,,,,,,,,,,,,
1994-03-27,Sociedad,Vallecano,1,1,D,,,,,,,,,,,,,,,,
1994-04-03,Logrones,Sociedad,2,0,H,,,,,,,,,,,,,,,,
1994-04-06,Sociedad,Valencia,0,0,D,,,,,,,,,,,,,,,,
1994-04-10,Celta,Sociedad,3,2,H,,,,,,,,,,,,,,,,
1994-04-17,Sociedad,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,
1994-04-24,Real Madrid,Sociedad,0,1,A,,,,,,,,,,,,,,,,
1994-05-01,Sociedad,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1994-05-08,Sociedad,Ath Bilbao,0,0,D,,,,,,,,,,,,,,,,
1994-05-15,Albacete,Sociedad,1,1,D,,,,,,,,,,,,,,,,
1994-09-04,Compostela,Sociedad,0,2,A,,,,,,,,,,,,,,,,
1994-09-11,Sociedad,Zaragoza,1,2,A,,,,,,,,,,,,,,,,
1994-09-18,Ath Madrid,Sociedad,2,1,H,,,,,,,,,,,,,,,,
1994-09-25,Sociedad,Valencia,0,2,A,,,,,,,,,,,,,,,,
1994-10-02,Tenerife,Sociedad,3,0,H,,,,,,,,,,,,,,,,
1994-10-09,Sociedad,Sevilla,0,0,D,,,,,,,,,,,,,,,,
1994-10-16,Sociedad,Oviedo,3,1,H,,,,,,,,,,,,,,,,
1994-10-23,Valladolid,Sociedad,1,1,D,,,,,,,,,,,,,,,,
1994-10-29,Sociedad,Barcelona,1,1,D,,,,,,,,,,,,,,,,
1994-11-06,La Coruna,Sociedad,3,1,H,,,,,,,,,,,,,,,,
1994-11-20,Sociedad,Celta,2,3,A,,,,,,,,,,,,,,,,
1994-11-27,Betis,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1994-12-03,Sociedad,Real Madrid,1,1,D,,,,,,,,,,,,,,,,
1994-12-11,Logrones,Sociedad,0,4,A,,,,,,,,,,,,,,,,
1994-12-21,Sociedad,Albacete,2,0,H,,,,,,,,,,,,,,,,
1995-01-08,Ath Bilbao,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1995-01-15,Sociedad,Sp Gijon,2,2,D,,,,,,,,,,,,,,,,
1995-01-22,Santander,Sociedad,0,0,D,,,,,,,,,,,,,,,,
