Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Valladolid,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,
1993-09-12,Sp Gijon,La Coruna,0,2,A,,,,,,,,,,,,,,,,
1993-09-19,Oviedo,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,
1993-09-26,Sp Gijon,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,
1993-10-03,Santander,Sp Gijon,2,0,H,,,,,,,,,,,,,,,,
1993-10-06,Sp Gijon,Tenerife,1,2,A,,,,,,,,,,,,,,,,
1993-10-17,Lerida,Sp Gijon,1,1,D,,,,,,,,,,,,,,,,
1993-10-24,Sp Gijon,Vallecano,2,0,H,,,,,,,,,,,,,,,,
1993-10-31,Logrones,Sp Gijon,1,2,A,,,,,,,,,,,,,,,,
1993-11-07,Sp Gijon,Valencia,2,0,H,,,,,,,,,,,,,,,,
1993-11-10,Celta,Sp Gijon,0,2,A,,,,,,,,,,,,,,,,
1993-11-21,Sp Gijon,Ath Bilbao,0,1,A,,,,,,,,,,,,,,,,
1993-11-28,Sp Gijon,Real Madrid,2,1,H,,,,,,,,,,,,,,,,
1993-12-05,Sevilla,Sp Gijon,1,2,A,,,,,,,,,,,,,,,,
1993-12-12,Sp Gijon,Sociedad,3,2,H,,,,,,,,,,,,,,,,
1993-12-19,Albacete,Sp Gijon,3,1,H,,,,,,,,,,,,,,,,
1994-01-02,Sp Gijon,Barcelona,2,0,H,,,,,,,,,,,,,,,,
1994-01-09,Zaragoza,Sp Gijon,3,0,H,,,,,,,,,,,,,,,,
1994-01-16,Sp Gijon,Osasuna,7,1,H,,,,,,,,,,,,,,,,
1994-01-23,Sp Gijon,Valladolid,2,0,H,,,,,,,,,,,,,,,,
1994-01-30,La Coruna,Sp Gijon,2,1,H,,,,,,,,,,,,,,,,
1994-02-06,Sp Gijon,Oviedo,0,0,D,,,,,,,,,,,,,,,,
1994-02-13,Ath Madrid,Sp Gijon,2,0,H,,,,,,,,,,,,,,,,
1994-02-20,Sp Gijon,Santander,0,2,A,,,,,,,,,,,,,,,,
1994-02-23,Tenerife,Sp Gijon,3,0,H,,,,,,,,,,,,,,,,
1994-02-27,Sp Gijon,Lerida,1,1,D,,,,,,,,,,,,,,,,
1994-03-06,Vallecano,Sp Gijon,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Sp Gijon,Logrones,1,2,A,,,,,,,,,,,,,,,,
1994-03-20,Valencia,Sp Gijon,1,0,H,,,,,,,,,,,,,,,,
1994-03-27,Sp Gijon,Celta,2,1,H,,,,,,,,,,,,,,,,
1994-04-03,Ath Bilbao,Sp Gijon,7,0,H,,,,,,,,,,,,,,,,
1994-04-06,Real Madrid,Sp Gijon,2,2,D,,,,,,,,,,,,,,,,
1994-04-10,Sp Gijon,Sevilla,0,1,A,,,,,,,,,,,,,,,,
1994-04-17,Sociedad,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,
1994-04-24,Sp Gijon,Albacete,1,0,H,,,,,,,,,,,,,,,,
1994-05-01,Barcelona,Sp Gijon,4,0,H,,,,,,,,,,,,,,,,
1994-05-08,Sp Gijon,Zaragoza,0,3,A,,,,,,,,,,,,,,,,
1994-05-15,Osasuna,Sp Gijon,3,0,H,,,,,,,,,,,,,,,,
1994-09-04,Sp Gijon,Barcelona,2,1,H,,,,,,,,,,,,,,,,
1994-09-10,La Coruna,Sp Gijon,2,1,H,,,,,,,,,,,,,,,,
1994-09-18,Sp Gijon,Celta,0,0,D,,,,,,,,,,,,,,,,
1994-09-25,Betis,Sp Gijon,5,0,H,,,,,,,,,,,,,,,,
1994-10-02,Sp Gijon,Real Madrid,1,0,H,,,,,,,,,,,,,,,,
1994-10-09,Logrones,Sp Gijon,1,3,A,,,,,,,,,,,,,,,,
1994-10-16,Sp Gijon,Albacete,3,2,H,,,,,,,,,,,,,,,,
1994-10-23,Ath Bilbao,Sp Gijon,2,0,H,,,,,,,,,,,,,,,,
1994-10-30,Sevilla,Sp Gijon,5,1,H,,,,,,,,,,,,,,,,
1994-11-06,Sp Gijon,Santander,2,3,A,,,,,,,,,,,,,,,,
1994-11-20,Espanol,Sp Gijon,1,1,D,,,,,,,,,,,,,,,,
1994-11-27,Sp Gijon,Compostela,1,1,D,,,,,,,,,,,,,,,,
1994-12-04,Zaragoza,Sp Gijon,3,2,H,,,,,,,,,,,,,,,,
1994-12-11,Sp Gijon,Ath Madrid,0,2,A,,,,,,,,,,,,,,,,
1994-12-21,Valencia,Sp Gijon,0,0,D,,,,,,,,,,,,,,,,
1995-01-08,Sp Gijon,Tenerife,1,1,D,,,,,,,,,,,,,,,,
1995-01-15,Sociedad,Sp Gijon,2,2,D,,,,,,,,,,,,,,,,
1995-01-22,Sp Gijon,Oviedo,1,1,D,,,,,,,,,,,,,,,,
1995-01-29,Valladolid,Sp Gijon,2,0,H,,,,,,,,,,,,,,,,
1995-02-05,Barcelona,Sp Gijon,3,1,H,,,,,,,,,,,,,,,,
1995-02-12,Sp Gijon,La Coruna,3,1,H,,,,,,,,,,,,,,,,
1995-02-19,Celta,Sp Gijon,2,0,H,,,,,,,,,,,,,,,,
1995-02-25,Sp Gijon,Betis,1,1,D,,,,,,,,,,,,,,,,
1995-03-05,Real Madrid,Sp Gijon,4,0,H,,,,,,,,,,,,,,,,
1995-03-12,Sp Gijon,Logrones,2,2,D,,,,,,,,,,,,,,,,
