Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Tenerife,Lerida,1,0,H,,,,,,,,,,,,,,,,
1993-09-12,Vallecano,Tenerife,4,3,H,,,,,,,,,,,,,,,,
1993-09-19,Tenerife,Logrones,2,0,H,,,,,,,,,,,,,,,,
1993-09-26,Valencia,Tenerife,3,2,H,,,,,,,,,,,,,,,,
1993-10-03,Tenerife,Celta,0,0,D,,,,,,,,,,,,,,,,
1993-10-06,Sp Gijon,Tenerife,1,2,A,,,,,,,,,,,,,,,,
1993-10-17,Tenerife,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1993-10-24,Sevilla,Tenerife,4,0,H,,,,,,,,,,,,,,,,
1993-10-31,Tenerife,Sociedad,2,1,H,,,,,,,,,,,,,,,,
1993-11-07,Albacete,Tenerife,2,3,A,,,,,,,,,,,,,,,,
1993-11-10,Tenerife,Barcelona,2,3,A,,,,,,,,,,,,,,,,
1993-11-21,Zaragoza,Tenerife,6,2,H,,,,,,,,,,,,,,,,
1993-11-28,Tenerife,Osasuna,1,0,H,,,,,,,,,,,,,,,,
1993-12-05,Valladolid,Tenerife,2,0,H,,,,,,,,,,,,,,,,
1993-12-12,Tenerife,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1993-12-19,Oviedo,Tenerife,1,0,H,,,,,,,,,,,,,,,,
1994-01-02,Tenerife,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,
1994-01-09,Santander,Tenerife,1,0,H,,,,,,,,,,,,,,,,
1994-01-16,Tenerife,Ath Bilbao,2,1,H,,,,,,,,,,,,,,,,
1994-01-23,Lerida,Tenerife,1,1,D,,,,,,,,,,,,,,,,
1994-01-30,Tenerife,Vallecano,3,1,H,,,,,,,,,,,,,,,,
1994-02-06,Logrones,Tenerife,1,2,A,,,,,,,,,,,,,,,,
1994-02-13,Tenerife,Valencia,1,0,H,,,,,,,,,,,,,,,,
1994-02-20,Celta,Tenerife,1,0,H,,,,,,,,,,,,,,,,
1994-02-23,Tenerife,Sp Gijon,3,0,H,,,,,,,,,,,,,,,,
1994-02-27,Real Madrid,Tenerife,1,1,D,,,,,,,,,,,,,,,,
1994-03-06,Tenerife,Sevilla,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Sociedad,Tenerife,2,1,H,,,,,,,,,,,,,,,,
1994-03-20,Tenerife,Albacete,2,1,H,,,,,,,,,,,,,,,,
1994-03-27,Barcelona,Tenerife,2,1,H,,,,,,,,,,,,,,,,
1994-04-03,Tenerife,Zaragoza,5,3,H,,,,,,,,,,,,,,,,
