Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Oviedo,Valencia,0,3,A,,,,,,,,,,,,,,,,
1993-09-12,Valencia,Ath Madrid,2,2,D,,,,,,,,,,,,,,,,
1993-09-19,Santander,Valencia,0,1,A,,,,,,,,,,,,,,,,
1993-09-26,Valencia,Tenerife,3,2,H,,,,,,,,,,,,,,,,
1993-10-03,Lerida,Valencia,1,1,D,,,,,,,,,,,,,,,,
1993-10-06,Valencia,Vallecano,3,1,H,,,,,,,,,,,,,,,,
1993-10-17,Logrones,Valencia,2,0,H,,,,,,,,,,,,,,,,
1993-10-24,Valencia,Ath Bilbao,1,0,H,,,,,,,,,,,,,,,,
1993-10-31,Valencia,Celta,3,0,H,,,,,,,,,,,,,,,,
1993-11-07,Sp Gijon,Valencia,2,0,H,,,,,,,,,,,,,,,,
1993-11-10,Valencia,Real Madrid,0,3,A,,,,,,,,,,,,,,,,
1993-11-21,Sevilla,Valencia,0,1,A,,,,,,,,,,,,,,,,
1993-11-28,Valencia,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1993-12-05,Albacete,Valencia,3,1,H,,,,,,,,,,,,,,,,
1993-12-12,Valencia,Barcelona,0,4,A,,,,,,,,,,,,,,,,
1993-12-19,Zaragoza,Valencia,1,0,H,,,,,,,,,,,,,,,,
1994-01-02,Valencia,Osasuna,0,0,D,,,,,,,,,,,,,,,,
1994-01-09,Valladolid,Valencia,1,1,D,,,,,,,,,,,,,,,,
1994-01-16,Valencia,La Coruna,1,3,A,,,,,,,,,,,,,,,,
1994-01-23,Valencia,Oviedo,2,2,D,,,,,,,,,,,,,,,,
1994-01-30,Ath Madrid,Valencia,2,0,H,,,,,,,,,,,,,,,,
1994-02-06,Valencia,Santander,2,1,H,,,,,,,,,,,,,,,,
1994-02-13,Tenerife,Valencia,1,0,H,,,,,,,,,,,,,,,,
1994-02-20,Valencia,Lerida,3,3,D,,,,,,,,,,,,,,,,
1994-02-23,Vallecano,Valencia,1,1,D,,,,,,,,,,,,,,,,
1994-02-27,Valencia,Logrones,3,1,H,,,,,,,,,,,,,,,,
1994-03-06,Ath Bilbao,Valencia,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Celta,Valencia,1,2,A,,,,,,,,,,,,,,,,
1994-03-20,Valencia,Sp Gijon,1,0,H,,,,,,,,,,,,,,,,
1994-03-27,Real Madrid,Valencia,3,2,H,,,,,,,,,,,,,,,,
1994-04-03,Valencia,Sevilla,1,1,D,,,,,,,,,,,,,,,,
1994-04-06,Sociedad,Valencia,0,0,D,,,,,,,,,,,,,,,,
1994-04-10,Valencia,Albacete,4,0,H,,,,,,,,,,,,,,,,
1994-04-17,Barcelona,Valencia,3,1,H,,,,,,,,,,,,,,,,
1994-04-24,Valencia,Zaragoza,3,0,H,,,,,,,,,,,,,,,,
1994-05-01,Osasuna,Valencia,3,3,D,,,,,,,,,,,,,,,,
1994-05-08,Valencia,Valladolid,5,1,H,,,,,,,,,,,,,,,,
1994-05-15,La Coruna,Valencia,0,0,D,,,,,,,,,,,,,,,,
1994-09-04,Ath Madrid,Valencia,2,4,A,,,,,,,,,,,,,,,,
1994-09-11,Valencia,Sevilla,0,1,A,,,,,,,,,,,,,,,,
