Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Valladolid,Sp Gijon,0,1,A,,,,,,,,,,,,,,,,
1993-09-12,Real Madrid,Valladolid,1,3,A,,,,,,,,,,,,,,,,
1993-09-19,Valladolid,Sevilla,2,2,D,,,,,,,,,,,,,,,,
1993-09-26,Sociedad,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1993-10-03,Valladolid,Albacete,1,0,H,,,,,,,,,,,,,,,,
1993-10-06,Barcelona,Valladolid,3,0,H,,,,,,,,,,,,,,,,
1993-10-17,Valladolid,Zaragoza,0,0,D,,,,,,,,,,,,,,,,
1993-10-24,Osasuna,Valladolid,2,0,H,,,,,,,,,,,,,,,,
1993-10-31,Ath Bilbao,Valladolid,3,0,H,,,,,,,,,,,,,,,,
1993-11-07,Valladolid,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1993-11-10,Oviedo,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1993-11-21,Valladolid,Ath Madrid,1,1,D,,,,,,,,,,,,,,,,
1993-11-28,Santander,Valladolid,5,1,H,,,,,,,,,,,,,,,,
1993-12-05,Valladolid,Tenerife,2,0,H,,,,,,,,,,,,,,,,
1993-12-12,Lerida,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1993-12-19,Valladolid,Vallecano,1,3,A,,,,,,,,,,,,,,,,
1994-01-02,Logrones,Valladolid,0,0,D,,,,,,,,,,,,,,,,
1994-01-09,Valladolid,Valencia,1,1,D,,,,,,,,,,,,,,,,
1994-01-16,Celta,Valladolid,1,2,A,,,,,,,,,,,,,,,,
1994-01-23,Sp Gijon,Valladolid,2,0,H,,,,,,,,,,,,,,,,
1994-01-30,Valladolid,Real Madrid,0,0,D,,,,,,,,,,,,,,,,
1994-02-06,Sevilla,Valladolid,3,3,D,,,,,,,,,,,,,,,,
1994-02-13,Valladolid,Sociedad,0,0,D,,,,,,,,,,,,,,,,
1994-02-20,Albacete,Valladolid,1,1,D,,,,,,,,,,,,,,,,
1994-02-23,Valladolid,Barcelona,1,3,A,,,,,,,,,,,,,,,,
1994-02-27,Zaragoza,Valladolid,2,0,H,,,,,,,,,,,,,,,,
1994-03-06,Valladolid,Osasuna,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Valladolid,Ath Bilbao,1,1,D,,,,,,,,,,,,,,,,
1994-03-20,La Coruna,Valladolid,0,0,D,,,,,,,,,,,,,,,,
1994-03-27,Valladolid,Oviedo,0,0,D,,,,,,,,,,,,,,,,
1994-04-03,Ath Madrid,Valladolid,2,0,H,,,,,,,,,,,,,,,,
1994-04-06,Valladolid,Santander,0,3,A,,,,,,,,,,,,,,,,
1994-04-10,Tenerife,Valladolid,0,2,A,,,,,,,,,,,,,,,,
1994-04-17,Valladolid,Lerida,0,2,A,,,,,,,,,,,,,,,,
1994-04-24,Vallecano,Valladolid,0,1,A,,,,,,,,,,,,,,,,
1994-05-01,Valladolid,Logrones,2,0,H,,,,,,,,,,,,,,,,
1994-05-08,Valencia,Valladolid,5,1,H,,,,,,,,,,,,,,,,
1994-05-15,Valladolid,Celta,0,0,D,,,,,,,,,,,,,,,,
