Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Santander,Vallecano,1,0,H,,,,,,,,,,,,,,,,
1993-09-12,Vallecano,Tenerife,4,3,H,,,,,,,,,,,,,,,,
1993-09-19,Lerida,Vallecano,0,1,A,,,,,,,,,,,,,,,,
1993-09-26,Vallecano,Ath Bilbao,1,2,A,,,,,,,,,,,,,,,,
1993-10-03,Vallecano,Logrones,3,1,H,,,,,,,,,,,,,,,,
1993-10-06,Valencia,Vallecano,3,1,H,,,,,,,,,,,,,,,,
1993-10-17,Vallecano,Celta,1,1,D,,,,,,,,,,,,,,,,
1993-10-24,Sp Gijon,Vallecano,2,0,H,,,,,,,,,,,,,,,,
1993-10-31,Vallecano,Real Madrid,0,2,A,,,,,,,,,,,,,,,,
1993-11-07,Sevilla,Vallecano,3,1,H,,,,,,,,,,,,,,,,
1993-11-10,Vallecano,Sociedad,4,1,H,,,,,,,,,,,,,,,,
1993-11-21,Albacete,Vallecano,1,1,D,,,,,,,,,,,,,,,,
1993-11-28,Vallecano,Barcelona,2,4,A,,,,,,,,,,,,,,,,
1993-12-05,Zaragoza,Vallecano,4,1,H,,,,,,,,,,,,,,,,
1993-12-12,Vallecano,Osasuna,1,0,H,,,,,,,,,,,,,,,,
1993-12-19,Valladolid,Vallecano,1,3,A,,,,,,,,,,,,,,,,
1994-01-02,Vallecano,La Coruna,0,0,D,,,,,,,,,,,,,,,,
1994-01-09,Oviedo,Vallecano,5,0,H,,,,,,,,,,,,,,,,
1994-01-16,Vallecano,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,
1994-01-23,Vallecano,Santander,1,1,D,,,,,,,,,,,,,,,,
1994-01-30,Tenerife,Vallecano,3,1,H,,,,,,,,,,,,,,,,
1994-02-06,Vallecano,Lerida,1,2,A,,,,,,,,,,,,,,,,
1994-02-13,Ath Bilbao,Vallecano,0,0,D,,,,,,,,,,,,,,,,
1994-02-20,Logrones,Vallecano,1,1,D,,,,,,,,,,,,,,,,
1994-02-23,Vallecano,Valencia,1,1,D,,,,,,,,,,,,,,,,
1994-02-27,Celta,Vallecano,0,0,D,,,,,,,,,,,,,,,,
1994-03-06,Vallecano,Sp Gijon,2,1,H,,,,,,,,,,,,,,,,
1994-03-13,Real Madrid,Vallecano,5,2,H,,,,,,,,,,,,,,,,
1994-03-20,Vallecano,Sevilla,2,1,H,,,,,,,,,,,,,,,,
1994-03-27,Sociedad,Vallecano,1,1,D,,,,,,,,,,,,,,,,
1994-04-03,Vallecano,Albacete,0,0,D,,,,,,,,,,,,,,,,
1994-04-06,Barcelona,Vallecano,1,0,H,,,,,,,,,,,,,,,,
1994-04-10,Vallecano,Zaragoza,1,2,A,,,,,,,,,,,,,,,,
1994-04-17,Osasuna,Vallecano,1,1,D,,,,,,,,,,,,,,,,
1994-04-24,Vallecano,Valladolid,0,1,A,,,,,,,,,,,,,,,,
1994-05-01,La Coruna,Vallecano,0,0,D,,,,,,,,,,,,,,,,
1994-05-08,Vallecano,Oviedo,0,0,D,,,,,,,,,,,,,,,,
1994-05-15,Ath Madrid,Vallecano,2,0,H,,,,,,,,,,,,,,,,
1995-09-03,Vallecano,Real Madrid,1,5,A,0.0,1.0,A,,,,,,,,,,,,,
1995-09-10,Oviedo,Vallecano,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-09-17,Vallecano,Betis,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
1995-09-23,Barcelona,Vallecano,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1995-10-01,Vallecano,Valencia,3,2,H,0.0,0.0,D,,,,,,,,,,,,,
1995-10-04,Compostela,Vallecano,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
