Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1998-08-31,Real Madrid,Villareal,4,1,H,1.0,1.0,D,,,,,,,,,,,,,
1998-09-12,Villareal,Celta,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1998-09-20,Valencia,Villareal,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1998-09-27,Villareal,Salamanca,5,0,H,1.0,0.0,H,,,,,,,,,,,,,
1998-10-04,Espanol,Villareal,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
1998-10-17,Villareal,Sociedad,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
1998-10-25,Oviedo,Villareal,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1998-11-01,Villareal,Tenerife,2,5,A,1.0,2.0,A,,,,,,,,,,,,,
1998-11-08,Mallorca,Villareal,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1998-11-15,Villareal,Ath Madrid,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1998-11-22,La Coruna,Villareal,2,1,H,1.0,1.0,D,,,,,,,,,,,,,
1998-11-29,Villareal,Alaves,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
1998-12-06,Villareal,Valladolid,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
1998-12-13,Barcelona,Villareal,1,3,A,0.0,2.0,A,,,,,,,,,,,,,
1998-12-20,Villareal,Ath Bilbao,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
1999-01-03,Betis,Villareal,4,1,H,1.0,0.0,H,,,,,,,,,,,,,
1999-01-10,Villareal,Zaragoza,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1999-01-17,Santander,Villareal,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
1999-01-24,Villareal,Extremadura,1,1,D,1.0,1.0,D,,,,,,,,,,,,,
1999-01-30,Villareal,Real Madrid,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
1999-02-07,Celta,Villareal,4,1,H,1.0,1.0,D,,,,,,,,,,,,,
1999-02-14,Villareal,Valencia,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-02-21,Salamanca,Villareal,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-02-28,Villareal,Espanol,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1999-03-07,Sociedad,Villareal,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
1999-03-14,Villareal,Oviedo,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
1999-03-21,Tenerife,Villareal,2,2,D,1.0,0.0,H,,,,,,,,,,,,,
1999-04-04,Villareal,Mallorca,0,2,A,0.0,0.0,D,,,,,,,,,,,,,
1999-04-11,Ath Madrid,Villareal,2,2,D,0.0,2.0,A,,,,,,,,,,,,,
1999-04-18,Villareal,La Coruna,1,2,A,0.0,2.0,A,,,,,,,,,,,,,
1999-04-25,Alaves,Villareal,2,1,H,0.0,0.0,D,,,,,,,,,,,,,
1999-05-02,Valladolid,Villareal,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
1999-05-09,Villareal,Barcelona,2,3,A,1.0,0.0,H,,,,,,,,,,,,,
1999-05-16,Ath Bilbao,Villareal,2,0,H,2.0,0.0,H,,,,,,,,,,,,,
1999-05-23,Villareal,Betis,3,4,A,1.0,2.0,A,,,,,,,,,,,,,
1999-05-30,Zaragoza,Villareal,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
1999-06-13,Villareal,Santander,3,0,H,2.0,0.0,H,,,,,,,,,,,,,
1999-06-20,Extremadura,Villareal,2,2,D,0.0,1.0,A,,,,,,,,,,,,,
