Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2000-09-10,Villarreal,Vallecano,1,5,A,0.0,3.0,A,,,,,,,,,,,,,
2000-09-17,Alaves,Villarreal,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2000-09-24,Villarreal,Oviedo,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2000-10-01,Valladolid,Villarreal,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-10-14,Villarreal,Valencia,1,1,D,0.0,0.0,D,,,,,,,,,,,,,
2000-10-22,Malaga,Villarreal,2,1,H,2.0,0.0,H,,,,,,,,,,,,,
2000-10-28,Villarreal,Ath Bilbao,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-11-01,Santander,Villarreal,3,1,H,2.0,0.0,H,,,,,,,,,,,,,
2000-11-04,Villarreal,La Coruna,3,2,H,1.0,1.0,D,,,,,,,,,,,,,
2000-11-12,Barcelona,Villarreal,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
2000-11-18,Villarreal,Real Madrid,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2000-11-25,Mallorca,Villarreal,2,1,H,0.0,1.0,A,,,,,,,,,,,,,
2000-12-03,Villarreal,Numancia,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2000-12-09,Las Palmas,Villarreal,1,5,A,0.0,2.0,A,,,,,,,,,,,,,
2000-12-16,Sociedad,Villarreal,0,2,A,0.0,1.0,A,,,,,,,,,,,,,
2000-12-20,Villarreal,Zaragoza,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2001-01-07,Osasuna,Villarreal,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-01-14,Villarreal,Celta,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-01-21,Espanol,Villarreal,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2001-01-28,Vallecano,Villarreal,0,1,A,0.0,0.0,D,,,,,,,,,,,,,
2001-02-04,Villarreal,Alaves,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-02-11,Oviedo,Villarreal,1,3,A,1.0,0.0,H,,,,,,,,,,,,,
2001-02-18,Villarreal,Valladolid,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2001-02-25,Valencia,Villarreal,3,1,H,1.0,1.0,D,,,,,,,,,,,,,
2001-03-04,Villarreal,Malaga,1,2,A,0.0,1.0,A,,,,,,,,,,,,,
2001-03-10,Ath Bilbao,Villarreal,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
2001-03-18,Villarreal,Santander,4,2,H,2.0,0.0,H,,,,,,,,,,,,,
2001-03-31,La Coruna,Villarreal,4,2,H,2.0,0.0,H,,,,,,,,,,,,,
2001-04-08,Villarreal,Barcelona,4,4,D,3.0,1.0,H,,,,,,,,,,,,,
2001-04-14,Real Madrid,Villarreal,4,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-04-22,Villarreal,Mallorca,2,2,D,2.0,0.0,H,,,,,,,,,,,,,
2001-04-29,Numancia,Villarreal,1,3,A,0.0,0.0,D,,,,,,,,,,,,,
2001-05-06,Villarreal,Las Palmas,2,1,H,1.0,0.0,H,,,,,,,,,,,,,
2001-05-12,Villarreal,Sociedad,1,3,A,1.0,1.0,D,,,,,,,,,,,,,
2001-05-20,Zaragoza,Villarreal,0,0,D,0.0,0.0,D,,,,,,,,,,,,,
2001-05-27,Villarreal,Osasuna,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-06-10,Celta,Villarreal,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2001-06-16,Villarreal,Espanol,4,0,H,2.0,0.0,H,,,,,,,,,,,,,
2001-08-26,Vallecano,Villarreal,1,2,A,1.0,2.0,A,,,,,,,,,,,,,
2001-09-08,Villarreal,Osasuna,3,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-09-16,Tenerife,Villarreal,2,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-09-22,Villarreal,Sociedad,1,0,H,0.0,0.0,D,,,,,,,,,,,,,
2001-09-30,Mallorca,Villarreal,0,1,A,0.0,1.0,A,,,,,,,,,,,,,
2001-10-03,Villarreal,La Coruna,1,1,D,1.0,0.0,H,,,,,,,,,,,,,
2001-10-07,Valencia,Villarreal,1,0,H,1.0,0.0,H,,,,,,,,,,,,,
2001-10-14,Villarreal,Malaga,1,2,A,1.0,1.0,D,,,,,,,,,,,,,
2001-10-20,Betis,Villarreal,1,1,D,0.0,1.0,A,,,,,,,,,,,,,
