Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
2009-08-30,Mallorca,Xerez,2,0,H,0.0,0.0,D,,10.0,7.0,3.0,3.0,14.0,13.0,6.0,6.0,3.0,1.0,0.0,2.0
2009-09-13,Xerez,Ath Bilbao,0,1,A,0.0,1.0,A,,17.0,15.0,4.0,5.0,14.0,17.0,7.0,3.0,4.0,3.0,1.0,0.0
2009-09-20,Real Madrid,Xerez,5,0,H,1.0,0.0,H,,23.0,11.0,13.0,3.0,13.0,11.0,7.0,7.0,0.0,1.0,0.0,0.0
2009-09-23,Xerez,La Coruna,0,3,A,0.0,1.0,A,,10.0,13.0,3.0,3.0,10.0,16.0,5.0,8.0,1.0,1.0,0.0,0.0
2009-09-27,Espanol,Xerez,0,0,D,0.0,0.0,D,,16.0,4.0,3.0,1.0,12.0,10.0,10.0,2.0,1.0,1.0,0.0,0.0
2009-10-04,Xerez,Malaga,1,1,D,0.0,0.0,D,,6.0,18.0,3.0,4.0,14.0,22.0,4.0,8.0,3.0,2.0,0.0,1.0
2009-10-18,Xerez,Villarreal,2,1,H,1.0,1.0,D,,11.0,13.0,3.0,6.0,16.0,14.0,3.0,4.0,2.0,3.0,0.0,1.0
2009-10-25,Tenerife,Xerez,1,0,H,0.0,0.0,D,,22.0,7.0,4.0,1.0,12.0,11.0,10.0,3.0,1.0,1.0,0.0,0.0
2009-10-31,Xerez,Sevilla,0,2,A,0.0,1.0,A,,8.0,16.0,2.0,7.0,23.0,18.0,5.0,9.0,4.0,3.0,0.0,0.0
2009-11-08,Valladolid,Xerez,0,0,D,0.0,0.0,D,,13.0,4.0,3.0,2.0,8.0,16.0,12.0,3.0,0.0,3.0,0.0,1.0
2009-11-22,Xerez,Sp Gijon,0,0,D,0.0,0.0,D,,10.0,5.0,3.0,2.0,10.0,11.0,12.0,1.0,2.0,2.0,0.0,0.0
2009-11-29,Getafe,Xerez,5,1,H,2.0,1.0,H,,16.0,7.0,6.0,2.0,8.0,17.0,7.0,3.0,0.0,3.0,0.0,1.0
2009-12-02,Xerez,Barcelona,0,2,A,0.0,0.0,D,,7.0,14.0,4.0,3.0,13.0,16.0,3.0,9.0,1.0,0.0,0.0,0.0
2009-12-05,Xerez,Ath Madrid,0,2,A,0.0,1.0,A,,11.0,9.0,4.0,6.0,17.0,18.0,8.0,7.0,1.0,1.0,1.0,1.0
2009-12-13,Santander,Xerez,3,2,H,1.0,1.0,D,,14.0,14.0,7.0,4.0,20.0,11.0,6.0,6.0,3.0,3.0,0.0,0.0
2010-01-03,Almeria,Xerez,1,0,H,0.0,0.0,D,,12.0,10.0,4.0,2.0,18.0,13.0,7.0,1.0,3.0,5.0,0.0,0.0
2010-01-10,Xerez,Valencia,1,3,A,1.0,2.0,A,,10.0,13.0,4.0,6.0,12.0,13.0,7.0,4.0,3.0,3.0,0.0,0.0
2010-01-17,Zaragoza,Xerez,0,0,D,0.0,0.0,D,,21.0,5.0,5.0,1.0,19.0,15.0,4.0,2.0,1.0,3.0,0.0,1.0
2010-01-24,Xerez,Osasuna,1,2,A,1.0,1.0,D,,7.0,15.0,2.0,7.0,14.0,15.0,2.0,3.0,1.0,1.0,0.0,0.0
2010-01-31,Xerez,Mallorca,2,1,H,0.0,1.0,A,,10.0,14.0,5.0,7.0,14.0,13.0,5.0,2.0,2.0,2.0,0.0,0.0
2010-02-07,Ath Bilbao,Xerez,3,2,H,1.0,2.0,A,,17.0,15.0,5.0,5.0,12.0,17.0,11.0,4.0,2.0,5.0,0.0,0.0
2010-02-13,Xerez,Real Madrid,0,3,A,0.0,0.0,D,,5.0,22.0,1.0,11.0,15.0,16.0,1.0,6.0,2.0,3.0,0.0,0.0
2010-02-20,La Coruna,Xerez,2,1,H,2.0,1.0,H,,11.0,11.0,5.0,2.0,24.0,20.0,3.0,3.0,3.0,5.0,0.0,0.0
2010-02-28,Xerez,Espanol,1,1,D,0.0,1.0,A,,11.0,19.0,5.0,1.0,17.0,21.0,4.0,3.0,2.0,1.0,0.0,0.0
2010-03-07,Malaga,Xerez,2,4,A,1.0,1.0,D,,23.0,11.0,6.0,8.0,14.0,18.0,12.0,3.0,2.0,7.0,1.0,1.0
2010-03-14,Villarreal,Xerez,2,0,H,1.0,0.0,H,,25.0,4.0,9.0,2.0,11.0,19.0,6.0,3.0,1.0,3.0,0.0,0.0
2010-03-20,Xerez,Tenerife,2,1,H,2.0,0.0,H,,13.0,17.0,4.0,5.0,18.0,14.0,2.0,9.0,1.0,4.0,1.0,0.0
2010-03-23,Sevilla,Xerez,1,1,D,0.0,0.0,D,,19.0,6.0,3.0,1.0,8.0,17.0,4.0,5.0,0.0,2.0,0.0,0.0
2010-03-28,Xerez,Valladolid,3,0,H,2.0,0.0,H,,12.0,17.0,4.0,5.0,22.0,19.0,4.0,6.0,2.0,4.0,0.0,1.0
2010-04-04,Sp Gijon,Xerez,2,2,D,1.0,0.0,H,,15.0,12.0,7.0,4.0,18.0,18.0,3.0,4.0,1.0,0.0,0.0,0.0
2010-04-10,Xerez,Getafe,0,1,A,0.0,0.0,D,,14.0,9.0,4.0,2.0,23.0,14.0,12.0,3.0,3.0,2.0,0.0,1.0
2010-04-14,Ath Madrid,Xerez,1,2,A,1.0,1.0,D,,21.0,11.0,5.0,3.0,19.0,16.0,8.0,4.0,3.0,4.0,0.0,0.0
2010-04-18,Xerez,Santander,2,2,D,1.0,1.0,D,,11.0,14.0,4.0,7.0,16.0,13.0,5.0,13.0,1.0,2.0,0.0,0.0
2010-04-24,Barcelona,Xerez,3,1,H,2.0,1.0,H,,14.0,8.0,7.0,4.0,17.0,17.0,3.0,6.0,1.0,9.0,0.0,2.0
2010-05-01,Xerez,Almeria,2,1,H,1.0,1.0,D,,11.0,18.0,2.0,3.0,8.0,17.0,4.0,6.0,2.0,4.0,1.0,1.0
2010-05-04,Valencia,Xerez,3,1,H,1.0,1.0,D,,22.0,7.0,6.0,3.0,12.0,15.0,8.0,0.0,3.0,0.0,0.0,1.0
2010-05-08,Xerez,Zaragoza,3,2,H,1.0,0.0,H,,9.0,14.0,6.0,7.0,16.0,15.0,2.0,4.0,3.0,3.0,0.0,1.0
2010-05-16,Osasuna,Xerez,1,1,D,0.0,0.0,D,,9.0,17.0,4.0,6.0,9.0,11.0,5.0,7.0,0.0,0.0,0.0,1.0
