Date_ddmmyy,H_Team,A_Team,Full_Time_H_Goals,Full_Time_A_Goals,Full_Time_Result,Half_Time_H_Goals,Half_Time_A_Goals,Half_Time_Result,Referee,H_Shots,A_Shots,H_Shots_on_Target,A_Shots_on_Target,H_Fouls,A_Fouls,H_Corners,A_Corners,H_Yellow,A_Yellow,H_Red,A_Red
1993-09-05,Zaragoza,Sevilla,1,2,A,,,,,,,,,,,,,,,,
1993-09-12,Sociedad,Zaragoza,2,2,D,,,,,,,,,,,,,,,,
1993-09-19,Zaragoza,Albacete,1,1,D,,,,,,,,,,,,,,,,
1993-09-26,Barcelona,Zaragoza,4,1,H,,,,,,,,,,,,,,,,
1993-10-03,Ath Bilbao,Zaragoza,2,1,H,,,,,,,,,,,,,,,,
1993-10-06,Zaragoza,Osasuna,2,1,H,,,,,,,,,,,,,,,,
1993-10-17,Valladolid,Zaragoza,0,0,D,,,,,,,,,,,,,,,,
1993-10-24,Zaragoza,La Coruna,0,1,A,,,,,,,,,,,,,,,,
1993-10-31,Oviedo,Zaragoza,2,1,H,,,,,,,,,,,,,,,,
1993-11-07,Zaragoza,Ath Madrid,2,1,H,,,,,,,,,,,,,,,,
1993-11-10,Santander,Zaragoza,2,0,H,,,,,,,,,,,,,,,,
1993-11-21,Zaragoza,Tenerife,6,2,H,,,,,,,,,,,,,,,,
1993-11-28,Lerida,Zaragoza,0,1,A,,,,,,,,,,,,,,,,
1993-12-05,Zaragoza,Vallecano,4,1,H,,,,,,,,,,,,,,,,
1993-12-12,Logrones,Zaragoza,2,2,D,,,,,,,,,,,,,,,,
1993-12-19,Zaragoza,Valencia,1,0,H,,,,,,,,,,,,,,,,
1994-01-02,Celta,Zaragoza,1,0,H,,,,,,,,,,,,,,,,
1994-01-09,Zaragoza,Sp Gijon,3,0,H,,,,,,,,,,,,,,,,
1994-01-16,Real Madrid,Zaragoza,3,2,H,,,,,,,,,,,,,,,,
1994-01-23,Sevilla,Zaragoza,0,1,A,,,,,,,,,,,,,,,,
1994-01-30,Zaragoza,Sociedad,3,0,H,,,,,,,,,,,,,,,,
1994-02-06,Albacete,Zaragoza,2,1,H,,,,,,,,,,,,,,,,
1994-02-13,Zaragoza,Barcelona,6,3,H,,,,,,,,,,,,,,,,
1994-02-20,Zaragoza,Ath Bilbao,1,0,H,,,,,,,,,,,,,,,,
1994-02-23,Osasuna,Zaragoza,0,0,D,,,,,,,,,,,,,,,,
1994-02-27,Zaragoza,Valladolid,2,0,H,,,,,,,,,,,,,,,,
1994-03-06,La Coruna,Zaragoza,1,1,D,,,,,,,,,,,,,,,,
1994-03-13,Zaragoza,Oviedo,2,1,H,,,,,,,,,,,,,,,,
1994-03-20,Ath Madrid,Zaragoza,0,4,A,,,,,,,,,,,,,,,,
1994-03-27,Zaragoza,Santander,2,0,H,,,,,,,,,,,,,,,,
1994-04-03,Tenerife,Zaragoza,5,3,H,,,,,,,,,,,,,,,,
1994-04-06,Zaragoza,Lerida,1,1,D,,,,,,,,,,,,,,,,
1994-04-10,Vallecano,Zaragoza,1,2,A,,,,,,,,,,,,,,,,
1994-04-17,Zaragoza,Logrones,1,1,D,,,,,,,,,,,,,,,,
1994-04-24,Valencia,Zaragoza,3,0,H,,,,,,,,,,,,,,,,
1994-05-01,Zaragoza,Celta,4,1,H,,,,,,,,,,,,,,,,
1994-05-08,Sp Gijon,Zaragoza,0,3,A,,,,,,,,,,,,,,,,
1994-05-15,Zaragoza,Real Madrid,4,1,H,,,,,,,,,,,,,,,,
1994-09-04,Zaragoza,Tenerife,2,2,D,,,,,,,,,,,,,,,,
1994-09-11,Sociedad,Zaragoza,1,2,A,,,,,,,,,,,,,,,,
1994-09-18,Zaragoza,Oviedo,2,1,H,,,,,,,,,,,,,,,,
1994-09-24,Valladolid,Zaragoza,2,0,H,,,,,,,,,,,,,,,,
1994-10-02,Zaragoza,Barcelona,2,1,H,,,,,,,,,,,,,,,,
1994-10-09,La Coruna,Zaragoza,3,3,D,,,,,,,,,,,,,,,,
1994-10-16,Zaragoza,Celta,4,0,H,,,,,,,,,,,,,,,,
1994-10-23,Betis,Zaragoza,0,1,A,,,,,,,,,,,,,,,,
1994-10-29,Zaragoza,Real Madrid,3,2,H,,,,,,,,,,,,,,,,
1994-11-06,Logrones,Zaragoza,0,0,D,,,,,,,,,,,,,,,,
1994-11-20,Zaragoza,Albacete,1,0,H,,,,,,,,,,,,,,,,
1994-11-27,Ath Bilbao,Zaragoza,1,0,H,,,,,,,,,,,,,,,,
1994-12-04,Zaragoza,Sp Gijon,3,2,H,,,,,,,,,,,,,,,,
1994-12-11,Santander,Zaragoza,0,1,A,,,,,,,,,,,,,,,,
1994-12-21,Zaragoza,Espanol,1,0,H,,,,,,,,,,,,,,,,
1995-01-08,Compostela,Zaragoza,3,2,H,,,,,,,,,,,,,,,,
1995-01-15,Sevilla,Zaragoza,2,1,H,,,,,,,,,,,,,,,,
1995-01-22,Zaragoza,Ath Madrid,3,1,H,,,,,,,,,,,,,,,,
1995-01-29,Valencia,Zaragoza,3,0,H,,,,,,,,,,,,,,,,
1995-02-05,Tenerife,Zaragoza,2,0,H,,,,,,,,,,,,,,,,
1995-02-12,Zaragoza,Sociedad,1,1,D,,,,,,,,,,,,,,,,
1995-02-19,Oviedo,Zaragoza,2,1,H,,,,,,,,,,,,,,,,
1995-02-25,Zaragoza,Valladolid,1,0,H,,,,,,,,,,,,,,,,
1995-03-05,Barcelona,Zaragoza,3,0,H,,,,,,,,,,,,,,,,
1995-03-12,Zaragoza,La Coruna,1,0,H,,,,,,,,,,,,,,,,
1995-03-19,Celta,Zaragoza,0,0,D,,,,,,,,,,,,,,,,
1995-04-01,Zaragoza,Betis,3,0,H,,,,,,,,,,,,,,,,
1995-04-09,Real Madrid,Zaragoza,3,0,H,,,,,,,,,,,,,,,,
1995-04-15,Zaragoza,Logrones,3,0,H,,,,,,,,,,,,,,,,
1995-04-23,Albacete,Zaragoza,0,3,A,,,,,,,,,,,,,,,,
1995-04-30,Zaragoza,Ath Bilbao,1,4,A,,,,,,,,,,,,,,,,
1995-05-06,Sp Gijon,Zaragoza,1,3,A,,,,,,,,,,,,,,,,
1995-05-14,Zaragoza,Santander,1,1,D,,,,,,,,,,,,,,,,
